"","feature","EM_ClimatePriorityArea_tos_585","EM_Penalty_tos_585","EM_Feature_tos_585","EM_Percentile_tos_585"
"1","Abalistes_filamentosus",66.5895953757225,50.2890173410405,52.1387283236994,67.6300578034682
"2","Abalistes_stellaris",70.5636743215031,43.8413361169102,54.0709812108559,63.8830897703549
"3","Abdopus_abaculus",59.1160220994475,48.0662983425414,45.0276243093923,59.6685082872928
"4","Abietinaria_immersa",57.3065902578797,43.8395415472779,48.1375358166189,75.0716332378224
"5","Ablennes_hians",75.5450236966825,45.8767772511848,60.6635071090047,69.6682464454976
"6","Abralia_andamanica",70.9523809523809,41.6190476190476,56.2857142857143,62.9523809523809
"7","Abralia_astrosticta",69.9257425742574,49.009900990099,60.7054455445545,73.2054455445545
"8","Abraliopsis_hoylei",69.2539887882708,43.3376455368693,60.1552393272963,69.2108667529107
"9","Abudefduf_septemfasciatus",74.6031746031746,46.7261904761905,59.0277777777778,68.9484126984127
"10","Abudefduf_sexfasciatus",73.9591836734694,45.1428571428571,58.2040816326531,69.1428571428571
"11","Abudefduf_sordidus",75.3831417624521,45.8812260536398,60.3448275862069,69.5402298850575
"12","Abudefduf_vaigiensis",74.7450980392157,44.7843137254902,59.6078431372549,70.0392156862745
"13","Abyla_haeckeli",74.4530244530245,44.3371943371943,61.8404118404118,70.3989703989704
"14","Abylopsis_eschscholtzi",74.310692669805,45.2589105581708,61.4660390047075,70.6792199058507
"15","Abylopsis_tetragona",74.1035856573705,46.4807436918991,62.8154050464807,72.0451527224436
"16","Acalyptophis_peronii",67.906976744186,36.1240310077519,49.6124031007752,56.5891472868217
"17","Acanthanas_pusillus",74.8344370860927,45.7899716177862,62.4408703878903,68.4957426679281
"18","Acanthaster_planci",75.346462436178,44.9307075127644,60.9773887673231,70.5324580598104
"19","Acanthastrea_echinata",74.7090768037238,44.8409619860357,59.8138091543832,70.0543056633049
"20","Acanthastrea_ishigakiensis",70.2167766258247,43.5438265786993,53.2516493873704,65.7869934024505
"21","Acanthaxius_miyazakiensis",69.1150442477876,43.8938053097345,54.6902654867257,65.3097345132743
"22","Acanthaxius_spinosissimus",70.8333333333333,46.2365591397849,59.2741935483871,65.3225806451613
"23","Acanthella_cavernosa",70.4800817160368,43.8202247191011,53.4218590398366,64.7599591419816
"24","Acanthella_costata",67.7372262773723,49.9270072992701,50.8029197080292,63.9416058394161
"25","Acanthephyra_eximia",57.3047107930829,36.7322599880739,57.832864809609,71.2241247124968
"26","Acanthephyra_quadrispinosa",61.829808165273,39.2031480570585,49.9754058042302,62.321692080669
"27","Acanthephyra_smithi",39.5172140878512,31.610605461021,37.9145231499802,54.7566284131381
"28","Acanthochaetetes_wellsi",73.1825525040388,53.3117932148627,54.6042003231018,76.7366720516963
"29","Acanthocybium_solandri",44.5986196876135,30.7700690156193,41.2931347620777,56.1096985107156
"30","Acanthodendrilla_australis",51.4925373134328,35.0746268656716,35.0746268656716,64.9253731343284
"31","Acanthogorgia_spinosa",64.7058823529412,51.1764705882353,52.3529411764706,76.4705882352941
"32","Acanthophora_spicifera",75.3799392097264,44.8328267477204,60.4103343465046,70.2127659574468
"33","Acanthopleura_gemmata",73.0238393977415,46.0476787954831,58.0928481806775,67.1267252195734
"34","Acanthopleura_spinosa",67.601246105919,38.1619937694704,49.6884735202492,56.0747663551402
"35","Acanthosphex_leurynnis",72.3192019950125,37.9052369077307,51.9950124688279,60.7231920199501
"36","Acanthosquilla_derijardi",72.8448275862069,44.3965517241379,59.698275862069,69.1091954022989
"37","Acanthosquilla_multifasciata",71.2048192771084,44.0963855421687,60.421686746988,68.1927710843374
"38","Acanthurus_achilles",74.9209694415174,52.3709167544784,61.6438356164384,73.0242360379347
"39","Acanthurus_albipectoralis",78.3783783783784,55.9459459459459,65.945945945946,84.8648648648649
"40","Acanthurus_auranticavus",69.1457286432161,45.1256281407035,54.4723618090452,65.427135678392
"41","Acanthurus_blochii",71.0810810810811,45.4054054054054,56.3063063063063,67.1171171171171
"42","Acanthurus_dussumieri",72.1299093655589,43.8066465256798,57.02416918429,67.6737160120846
"43","Acanthurus_fowleri",69.311377245509,40.7185628742515,53.2934131736527,61.377245508982
"44","Acanthurus_grammoptilus",66.2721893491124,62.1301775147929,59.1715976331361,81.6568047337278
"45","Acanthurus_guttatus",72.153024911032,46.1743772241993,58.8078291814947,68.7722419928826
"46","Acanthurus_japonicus",71.0382513661202,37.8415300546448,49.5901639344262,59.6994535519126
"47","Acanthurus_leucopareius",72.8045325779037,51.5580736543909,60.3399433427762,71.1048158640227
"48","Acanthurus_lineatus",74.9405233941316,45.1229183187946,60.1110229976209,70.4996034892942
"49","Acanthurus_maculiceps",71.606334841629,44.2307692307692,56.3348416289593,64.5927601809955
"50","Acanthurus_mata",74.1405082212257,45.1420029895366,59.49177877429,69.880418535127
"51","Acanthurus_nigricans",74.6489283074649,45.3806356245381,60.0147819660015,70.2882483370288
"52","Acanthurus_nigricauda",70.7650273224044,45.9016393442623,56.4663023679417,66.9398907103825
"53","Acanthurus_nigrofuscus",75.2286585365854,45.1219512195122,60.3658536585366,70.1981707317073
"54","Acanthurus_nigroris",70.9507042253521,47.2711267605634,58.1866197183099,69.806338028169
"55","Acanthurus_nubilus",75.1250893495354,45.746962115797,63.3309506790565,71.0507505360972
"56","Acanthurus_olivaceus",72.6688102893891,43.9710610932476,56.7524115755627,68.3279742765273
"57","Acanthurus_pyroferus",74.140625,45.9375,60.546875,69.921875
"58","Acanthurus_thompsoni",71.219512195122,46.0162601626016,58.0487804878049,68.2926829268293
"59","Acanthurus_triostegus",75.4770318021201,45.1590106007067,60.9187279151943,70.9540636042403
"60","Acanthurus_xanthopterus",75.1596877217885,45.0674237047551,60.8942512420156,70.9013484740951
"61","Acar_domingensis",69.8019801980198,43.8943894389439,55.7755775577558,66.6666666666667
"62","Acar_plicata",74.7260273972603,44.9315068493151,61.3013698630137,70.6164383561644
"63","Acarnus_caledoniensis",45.679012345679,33.3333333333333,33.3333333333333,49.3827160493827
"64","Acartia_danae",73.0215827338129,49.2805755395683,66.9064748201439,71.9424460431655
"65","Acartia_negligens",100,100,100,100
"66","Acasta_conica",66.7757774140753,43.2078559738134,52.3731587561375,63.3387888707038
"67","Acasta_cyathus",74.5727956254272,47.0266575529733,63.4996582365003,72.5905673274094
"68","Acasta_echinata",71.1772665764547,36.5358592692828,51.4208389715832,60.893098782138
"69","Acasta_fenestrata",71.7532467532468,42.5324675324675,53.3549783549784,63.0952380952381
"70","Acasta_japonica",69.1650853889943,37.3814041745731,53.8899430740038,57.9696394686907
"71","Acasta_purpurata",64.0552995391705,48.6175115207373,51.6129032258064,60.8294930875576
"72","Acaudina_molpadioides",69.1275167785235,37.6957494407159,53.8031319910515,59.0604026845638
"73","Accalathura_themeda",67.9144385026738,53.475935828877,54.0106951871658,77.0053475935829
"74","Acentrogobius_janthinopterus",70.5389221556886,41.6766467065868,51.377245508982,61.7964071856287
"75","Acentrogobius_moloanus",69.6670776818742,41.4303329223181,52.0345252774353,60.9124537607892
"76","Acentrogobius_nebulosus",70.3146374829001,37.3461012311901,48.8372093023256,58.8235294117647
"77","Acentrogobius_suluensis",71.2857142857143,41.8571428571429,50,63.5714285714286
"78","Acentronura_breviperula",71.1729622266402,43.9363817097416,54.4731610337972,65.0099403578529
"79","Acesta_rathbuni",69.2896174863388,38.4699453551913,54.0983606557377,60.2185792349727
"80","Achaeus_curvirostris",67.6880222841226,37.6044568245125,52.7855153203343,58.3565459610028
"81","Achaeus_lacertosus",69.1135734072022,40.8587257617729,50.1385041551247,60.803324099723
"82","Achelia_assimilis",71.0509348807221,43.1979368149581,59.1231463571889,64.28110896196
