"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"1","Abalistes_filamentosus",31.6010498687664,34.0759075907591,33.7293729372937,34.8844884488449,34.0759075907591
"2","Abalistes_stellaris",31.30081300813,34.1641791044776,31.7611940298507,34.8955223880597,33.3283582089552
"3","Abdopus_abaculus",32.3584905660377,34.1732283464567,33.8976377952756,34.7244094488189,34.7244094488189
"4","Abietinaria_immersa",32.4180327868853,32.4180327868853,33.5655737704918,35,33.5655737704918
"5","Ablennes_hians",31.1417322834645,34.4308943089431,31.7750677506775,34.6205962059621,32.9132791327913
"6","Abralia_andamanica",31.2270642201835,33.8586956521739,31.6711956521739,34.8097826086956,33.5733695652174
"7","Abralia_astrosticta",31.5995260663507,33.0830388692579,33.1448763250884,34.6908127208481,32.7120141342756
"8","Abraliopsis_hoylei",32.2509578544061,33.3189655172414,31.8534482758621,34.4396551724138,32.6724137931034
"9","Abudefduf_septemfasciatus",31.2121212121212,34.4050991501416,31.628895184136,34.8016997167139,33.2152974504249
"10","Abudefduf_sexfasciatus",30.8227848101266,34.1025641025641,31.8181818181818,34.9184149184149,33.3682983682984
"11","Abudefduf_sordidus",31.0721442885771,34.4262295081967,31.7486338797814,34.6174863387978,32.896174863388
"12","Abudefduf_vaigiensis",30.764705882353,34.1367713004485,31.9394618834081,34.9215246636771,33.195067264574
"13","Abyla_haeckeli",31.0958005249344,34.0349264705883,31.71875,34.5496323529412,33.1341911764706
"14","Abylopsis_eschscholtzi",31.027027027027,33.9923224568138,31.8426103646833,34.7984644913627,33.1190019193858
"15","Abylopsis_tetragona",31.0286783042394,34.0037950664137,31.8785578747628,34.7343453510437,33.1404174573055
"16","Acalyptophis_peronii",31.3318777292576,34.5353982300885,31.1283185840708,34.8451327433628,33.141592920354
"17","Acanthanas_pusillus",30.988909426987,34.2432432432432,30.7432432432432,34.4324324324324,33.0135135135135
"18","Acanthaster_planci",30.8669656203289,34.125,31.7916666666667,34.78125,32.9583333333333
"19","Acanthastrea_echinata",30.8251633986928,34.1463414634146,31.8957871396895,34.8447893569845,33.2150776053215
"20","Acanthastrea_ishigakiensis",30.9069212410501,34.1532258064516,32.1774193548387,34.9059139784946,33.494623655914
"21","Acanthaxius_miyazakiensis",31.8870192307692,33.8510101010101,32.260101010101,34.9116161616162,33.5858585858586
"22","Acanthaxius_spinosissimus",31.4646464646464,34.5977011494253,32.3180076628352,34.7318007662835,33.6590038314176
"23","Acanthella_cavernosa",30.7294429708223,33.9795918367347,32.1428571428572,34.8979591836735,33.469387755102
"24","Acanthella_costata",31.5358361774744,33.6875,33.8333333333333,34.8541666666667,34.5625
"25","Acanthephyra_eximia",32.1156351791531,31.6354344122657,31.6098807495741,30.5025553662691,30.6218057921635
"26","Acanthephyra_quadrispinosa",31.9522471910112,31.5098314606741,32.3946629213483,34.6067415730337,33.9676966292135
"27","Acanthephyra_smithi",30.6828716789146,30.0378745053703,30.967778405879,30.255511588468,30.6195590729225
"28","Acanthochaetetes_wellsi",31.4516129032258,34.1935483870968,34.0322580645161,35,33.5483870967742
"29","Acanthocybium_solandri",31.1462224989622,30.3253424657534,30.4742631797426,30.1764217517642,30.793897882939
"30","Acanthodendrilla_australis",34.2553191489362,35,32.7659574468085,35,35
"31","Acanthogorgia_spinosa",32.6666666666667,33.8333333333333,33.25,35,35
"32","Acanthophora_spicifera",30.875796178344,34.0889370932755,31.8872017353579,34.8481561822126,33.0260303687635
"33","Acanthopleura_gemmata",31.5406976744186,34.4982078853047,31.6129032258064,34.7491039426523,33.3691756272401
"34","Acanthopleura_spinosa",31.6521739130435,34.3777777777778,31.1111111111111,34.8444444444445,33.1333333333333
"35","Acanthosphex_leurynnis",30.6940063091483,34.2526690391459,31.2633451957296,34.8754448398576,33.2562277580071
"36","Acanthosquilla_derijardi",31.0869565217392,33.993839835729,31.9815195071868,34.7843942505133,33.347022587269
"37","Acanthosquilla_multifasciata",31.1472148541114,33.2530120481928,32.7108433734939,34.7590361445783,32.5903614457831
"38","Acanthurus_achilles",31.0573122529644,34.2620481927711,34.2620481927711,34.789156626506,33.5240963855421
"39","Acanthurus_albipectoralis",31.5,34.4615384615384,33.9230769230769,35,34.4615384615384
"40","Acanthurus_auranticavus",31.1111111111111,34.1954022988506,32.0833333333333,34.8994252873564,33.4913793103448
"41","Acanthurus_blochii",31.0333333333333,34.0102827763496,32.1208226221079,34.9100257069409,33.3804627249358
"42","Acanthurus_dussumieri",31.0900900900901,34.1702586206897,32.1336206896552,34.8491379310345,33.3405172413793
"43","Acanthurus_fowleri",31.3837638376384,34.2521367521367,31.2606837606838,34.8504273504274,33.0555555555555
"44","Acanthurus_grammoptilus",33.8135593220339,35,34.406779661017,35,35
"45","Acanthurus_guttatus",31.1867704280156,34.0228426395939,32.1573604060913,34.9111675126903,33.3121827411167
"46","Acanthurus_japonicus",30.7894736842105,34.31640625,31.30859375,34.86328125,33.22265625
"47","Acanthurus_leucopareius",31.0968921389397,34.0566037735849,33.7735849056604,34.9056603773585,33.6792452830189
"48","Acanthurus_lineatus",30.8892617449664,34.2081447963801,31.8325791855203,34.920814479638,33.1787330316742
"49","Acanthurus_maculiceps",30.9183673469388,34.2096774193548,31.1612903225807,34.8870967741936,32.9677419354839
"50","Acanthurus_mata",30.8791208791208,34.1773504273504,32.008547008547,34.775641025641,33.2799145299145
"51","Acanthurus_nigricans",30.7935285053929,34.3354430379747,31.7510548523206,34.7784810126582,33.3016877637131
"52","Acanthurus_nigricauda",31.3238512035011,34.1796875,31.9010416666667,34.9088541666667,33.359375
"53","Acanthurus_nigrofuscus",30.9983896940418,34.0849673202614,31.8736383442266,34.8474945533769,32.9411764705883
"54","Acanthurus_nigroris",31.2779850746268,34.2085427135678,32.3618090452261,34.9120603015076,33.3291457286432
"55","Acanthurus_nubilus",31.039603960396,34.1428571428571,31.7857142857143,34.7857142857143,32.9285714285714
"56","Acanthurus_olivaceus",31.001872659176,34.1169724770642,32.0298165137615,34.9197247706422,33.2339449541284
"57","Acanthurus_pyroferus",30.7748776508972,34.21875,32.03125,34.84375,33.28125
"58","Acanthurus_thompsoni",31.2025316455696,34.2691415313225,32.1577726218097,34.9187935034802,33.2946635730859
"59","Acanthurus_triostegus",30.8913043478261,34.2222222222222,31.8888888888889,34.7878787878788,33.0909090909091
"60","Acanthurus_xanthopterus",30.8673469387755,34.2190669371197,32.0182555780933,34.7870182555781,33.1541582150101
"61","Acar_domingensis",31.0642570281124,33.9268867924528,32.2759433962264,34.9174528301887,33.5966981132075
"62","Acar_plicata",31.0126582278481,34.041095890411,31.8493150684932,34.7260273972603,33.013698630137
"63","Acarnus_caledoniensis",31.3793103448276,35,31.3793103448276,35,35
"64","Acartia_danae",30.4437869822485,33.9175257731959,33.5567010309278,35,35
"65","Acartia_negligens",35,35,35,35,35
"66","Acasta_conica",31.4473684210526,34.3457943925234,31.5654205607476,34.8364485981308,33.5280373831775
"67","Acasta_cyathus",31.03515625,34.04296875,31.85546875,34.794921875,33.0859375
"68","Acasta_echinata",30.9106529209622,34.5945945945946,31.2162162162162,34.8648648648649,33.3783783783784
"69","Acasta_fenestrata",31.0027855153204,34.0277777777778,31.7592592592593,34.891975308642,33.3796296296296
"70","Acasta_japonica",31.30081300813,33.5772357723577,32.2493224932249,34.810298102981,33.3875338753387
"71","Acasta_purpurata",32.2368421052632,34.5394736842105,32.0065789473684,34.7697368421053,33.1578947368421
"72","Acaudina_molpadioides",31.2721893491125,33.6581469648563,31.5335463258786,34.888178913738,33.3226837060703
"73","Accalathura_themeda",32.3484848484848,33.9393939393939,33.4090909090909,35,35
"74","Acentrogobius_janthinopterus",31.2741935483871,33.9212328767123,31.6438356164384,34.8801369863014,33.4417808219178
"75","Acentrogobius_moloanus",30.9661016949152,33.8908450704226,31.5492957746479,34.8767605633803,33.2746478873239
"76","Acentrogobius_nebulosus",31.1867704280156,34.58984375,31.4453125,34.86328125,33.22265625
"77","Acentrogobius_suluensis",31.2407407407407,34.1428571428571,31,34.8571428571428,33.1428571428571
"78","Acentronura_breviperula",30.8208955223881,34.1051136363636,32.1164772727273,34.9005681818181,33.5085227272727
"79","Acesta_rathbuni",31.2787356321839,33.796875,31.5,34.890625,33.46875
"80","Achaeus_curvirostris",31.5953307392996,34.3027888446215,31.5139442231076,34.8605577689243,33.4661354581673
"81","Achaeus_lacertosus",31.5134099616858,34.1699604743083,31.6798418972332,34.8616600790514,33.201581027668
"82","Achelia_assimilis",31.4102564102564,32.8084714548803,32.4861878453038,34.6777163904235,33.195211786372
"83","Achelia_besnardi",31.1111111111111,34.2319749216301,31.7084639498432,34.8902821316615,33.2445141065831
"84","Achelia_nana",30.8314606741573,33.5842696629213,32.4831460674157,34.8426966292135,32.9550561797753
"85","Achelia_sawayai",31.0443490701002,34.1532258064516,32.0362903225807,34.7177419354839,33.0241935483871
"86","Aciculites_orientalis",31.9622641509434,33.1509433962264,33.9433962264151,34.8679245283019,32.2264150943396
"87","Aciculites_tulearensis",31.2893982808023,33.8255033557047,31.1241610738255,34.8825503355705,33.3557046979866
"88","Acoetes_pacifica",31.6475095785441,33.5492227979275,35,35,33.8388625592417
"89","Acreichthys_radiatus",31.0526315789474,34.0489130434783,32.241847826087,34.9048913043478,33.5733695652174
"90","Acreichthys_tomentosus",31.0737179487179,34.1312056737589,31.1524822695036,34.8758865248227,33.2624113475177
"91","Acrocalanus_gibber",31.8589743589743,32.4358974358974,32.3717948717948,34.6794871794871,33.6538461538462
"92","Acropoma_japonicum",31.5,33.6212121212121,31.8181818181818,34.7878787878788,33.6212121212121
"93","Acropoma_lecorneti",33.3303886925795,33.3303886925795,32.7120141342756,33.3303886925795,33.0212014134276
"94","Acropora_abrotanoides",30.9504132231405,34.0625,31.875,34.921875,33.046875
"95","Acropora_aculeus",30.8916478555305,34.0909090909091,32.1818181818182,34.9090909090909,33.3636363636364
"96","Acropora_anthocercis",30.8068459657701,34.0331491712707,32.1961325966851,34.9033149171271,33.4530386740332
"97","Acropora_aspera",30.7911392405063,34.1094147582697,32.1501272264631,34.910941475827,33.2188295165395
"98","Acropora_austera",30.7130872483222,34.1387024608501,31.8680089485458,34.9217002237137,33.2774049217002
"99","Acropora_carduus",30.9479865771812,34.2691415313225,32.0765661252901,34.8375870069606,33.3758700696056
"100","Acropora_cerealis",30.9555555555555,34.1116751269036,31.9796954314721,34.9111675126903,33.4010152284264
"101","Acropora_chesterfieldensis",31.6366366366366,34.180602006689,33.1270903010034,34.8829431438127,34.180602006689
"102","Acropora_clathrata",30.8,34.106728538283,32.0765661252901,34.9187935034802,33.3758700696056
"103","Acropora_cytherea",30.9060955518946,34.064587973274,31.8819599109131,34.9220489977729,33.0512249443207
"104","Acropora_danai",31.0087719298246,34.1803278688525,31.9672131147541,34.9180327868852,33.0327868852459
"105","Acropora_dendrum",30.8333333333333,34.0396341463415,32.1189024390244,34.8932926829269,33.3993902439024
"106","Acropora_digitifera",30.906779661017,34.1309255079007,31.9187358916478,34.9209932279909,33.2618510158014
"107","Acropora_divaricata",31.0397553516819,33.9739413680782,31.8078175895766,34.885993485342,33.2899022801303
"108","Acropora_donei",30.9504132231405,34.0625,32.0833333333333,34.8958333333333,33.4375
"109","Acropora_echinata",30.8194444444445,34.2172523961661,31.4217252396166,34.888178913738,33.3226837060703
"110","Acropora_efflorescens",31.1799410029498,34.1967213114754,31.672131147541,34.8852459016393,33.5081967213115
"111","Acropora_elseyi",30.8191126279863,34.1990846681922,31.9565217391304,34.9199084668193,33.2379862700229
"112","Acropora_exquisita",31.2404092071611,34.1788856304986,32.0234604105572,34.8973607038123,33.2551319648094
"113","Acropora_florida",30.9685863874346,34.0895953757225,32.0664739884393,34.8988439306359,33.4826589595375
"114","Acropora_formosa",30.8305369127517,34.1348314606741,31.9325842696629,34.9213483146067,33.1910112359551
"115","Acropora_gemmifera",30.7777777777778,34.1648590021692,31.9631236442517,34.8481561822126,33.2537960954447
"116","Acropora_glauca",30.7942973523422,34.1688654353562,31.7678100263852,34.9076517150396,33.245382585752
"117","Acropora_globiceps",31.0162601626016,34.197247706422,31.7087155963303,34.8394495412844,32.9128440366972
"118","Acropora_grandis",30.681233933162,34.002849002849,32.1082621082621,34.9002849002849,33.4045584045584
"119","Acropora_granulosa",30.8069883527454,34.2117117117117,32.0045045045045,34.8423423423424,33.3445945945946
"120","Acropora_halmaherae",30.5128205128205,34.5434782608695,31.195652173913,34.8478260869565,33.3260869565217
"121","Acropora_horrida",30.8863198458574,34.1183879093199,31.9143576826196,34.911838790932,33.3249370277078
