feature,EM_Percentile_tos_585,MM-NorESM2-MM_Percentile_tos_585,MM-IPSL-CM6A-LR_Percentile_tos_585,MM-GFDL-ESM4_Percentile_tos_585,MM-CMCC-ESM2_Percentile_tos_585,MM-CanESM5_Percentile_tos_585
Abalistes_filamentosus,32.9207920792079,32.9207920792079,33.38283828382839,34.884488448844856,33.844884488448876,33.49834983498353
Abalistes_stellaris,31.761194029850735,32.54901960784313,33.641791044776106,34.79104477611938,34.05970149253728,33.11940298507463
Abdopus_abaculus,33.897637795275585,33.34645669291335,34.724409448818875,33.62204724409447,34.17322834645671,33.62204724409447
Abietinaria_immersa,33.85245901639343,32.131147540983605,32.991803278688515,31.844262295081947,33.27868852459017,35
Ablennes_hians,30.731707317073138,32.30263157894738,33.57723577235769,33.95663956639563,34.05149051490515,33.1029810298103
Abralia_andamanica,31.48097826086955,31.916666666666668,33.57336956521737,34.144021739130444,33.76358695652173,33.2880434782609
Abralia_astrosticta,30.547703180211975,32.217314487632535,31.227915194346284,33.268551236749076,33.88692579505303,32.40282685512369
Abraliopsis_hoylei,30.25862068965519,31.98275862068966,31.379310344827616,33.103448275862085,33.70689655172413,31.63793103448278
Abudefduf_septemfasciatus,30.538243626062336,32.19135802469139,33.61189801699715,33.90934844192637,34.20679886685551,33.11614730878188
Abudefduf_sexfasciatus,30.675990675990658,32.47540983606556,33.44988344988346,34.02097902097902,34.2657342657343,33.20512820512818
Abudefduf_sordidus,30.696721311475375,32.32824427480914,33.66120218579237,33.948087431693956,34.04371584699456,33.087431693989046
Abudefduf_vaigiensis,30.840807174887917,32.37366003062786,33.43049327354261,33.9798206278027,34.21524663677127,33.195067264573964
Abyla_haeckeli,31.139705882352967,32.381235154394275,33.26286764705884,33.39154411764703,33.77757352941174,33.32720588235297
Abylopsis_eschscholtzi,30.969289827255288,32.324029126213574,33.25335892514398,33.58925143953932,33.723608445297536,33.32053742802302
Abylopsis_tetragona,31.01518026565462,32.37201365187713,33.273244781783646,33.40607210626189,33.738140417457274,33.273244781783646
Acalyptophis_peronii,32.83185840707962,33.29646017699113,34.07079646017698,33.14159292035396,33.761061946902636,33.14159292035396
Acanthanas_pusillus,32.06756756756756,32.89699570815448,33.86486486486488,33.77027027027024,33.959459459459445,33.29729729729732
