"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585"
"1","Abalistes_filamentosus",32.8052805280528,35,33.7293729372937,33.8448844884488,34.3069306930693
"2","Abalistes_stellaris",32.5970149253731,34.4473684210526,33.8507462686567,34.3731343283582,34.1641791044776
"3","Abdopus_abaculus",32.5196850393701,34.359756097561,33.3464566929134,34.7244094488189,34.7244094488189
"4","Abietinaria_immersa",30.983606557377,34.7131147540984,33.8524590163934,31.5573770491803,33.5655737704918
"5","Ablennes_hians",32.3441734417344,33.9212328767123,33.0081300813008,33.2926829268293,32.9132791327913
"6","Abralia_andamanica",31.4591439688716,33.8863636363636,32.4493927125506,33.2068311195446,33.6717267552182
"7","Abralia_astrosticta",32.8356890459364,33.0830388692579,32.773851590106,32.773851590106,32.9593639575972
"8","Abraliopsis_hoylei",32.2413793103448,32.9310344827586,32.3275862068966,32.2413793103448,32.8879310344828
"9","Abudefduf_septemfasciatus",32.4220963172805,33.6118980169972,33.0169971671388,33.314447592068,33.2152974504249
"10","Abudefduf_sexfasciatus",32.4708624708625,34.1841491841492,33.3682983682984,33.041958041958,33.3682983682984
"11","Abudefduf_sordidus",32.3224043715847,33.9688041594454,33.0874316939891,33.2786885245902,33.1830601092896
"12","Abudefduf_vaigiensis",32.567264573991,33.9690721649485,33.2735426008969,33.0381165919283,33.4304932735426
"13","Abyla_haeckeli",32.7481617647059,33.7514863258026,32.7118644067797,32.9411764705882,32.8125
"14","Abylopsis_eschscholtzi",32.7159309021113,33.8362068965517,32.8097622027534,32.8502879078695,33.0518234165067
"15","Abylopsis_tetragona",32.9411764705882,33.6053130929791,33.0740037950664,32.9411764705882,32.8083491461101
"16","Acalyptophis_peronii",32.1043165467626,33.141592920354,33.363309352518,33.8669064748201,33.8448844884488
"17","Acanthanas_pusillus",33.1081081081081,34.2657342657343,32.8630363036304,33.0135135135135,34.0540540540541
"18","Acanthaster_planci",32.59375,33.7483443708609,33.1041666666667,32.9583333333333,33.1041666666667
"19","Acanthastrea_echinata",32.5942350332594,33.9795918367347,33.2116788321168,32.9046563192905,33.370288248337
"20","Acanthastrea_ishigakiensis",32.741935483871,34.3413978494624,33.6827956989247,33.5887096774194,34.247311827957
"21","Acanthaxius_miyazakiensis",32.6136363636364,34.765625,33.7692307692308,33.8510101010101,34.2929292929293
