"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585"
"1","Abalistes_filamentosus",33.743093922652,33.6138613861386,34.8844884488449,33.7293729372937,31.996699669967
"2","Abalistes_stellaris",32.7014925373135,32.3880597014925,31.4477611940299,31.9701492537314,30.7164179104478
"3","Abdopus_abaculus",32.244094488189,33.0708661417323,35,33.6220472440945,33.0708661417323
"4","Abietinaria_immersa",34.4262295081967,32.7049180327869,31.8442622950819,32.1311475409836,32.1311475409836
"5","Ablennes_hians",32.1544715447154,32.6287262872628,30.5420054200542,31.9647696476965,30.7317073170731
"6","Abralia_andamanica",32.1467391304348,32.4320652173913,31.0054347826087,31.9565217391304,30.4347826086956
"7","Abralia_astrosticta",34.1604197901049,33.9899623588456,34.0849673202614,33.8665803108808,32.4786324786325
"8","Abraliopsis_hoylei",32.9278445883441,32.5431034482758,30.5172413793103,32.4568965517241,30.1724137931035
"9","Abudefduf_septemfasciatus",32.1246458923512,32.7195467422096,30.7365439093484,32.0254957507082,30.5382436260623
"10","Abudefduf_sexfasciatus",32.4708624708625,32.3076923076923,30.8391608391609,32.1445221445221,30.6759906759907
"11","Abudefduf_sordidus",32.1311475409836,32.7049180327869,30.6010928961748,31.9398907103825,30.6967213114754
"12","Abudefduf_vaigiensis",32.567264573991,32.3318385650224,30.8408071748879,32.0964125560538,30.8408071748879
"13","Abyla_haeckeli",33.0872093023256,32.4264705882353,30.110294117647,32.297794117647,30.6893382352941
"14","Abylopsis_eschscholtzi",33.3210332103321,32.5815738963532,30.5662188099808,32.2456813819577,30.767754318618
"15","Abylopsis_tetragona",33.7344139650873,32.8747628083491,32.9411764705883,32.6091081593928,30.8823529411764
"16","Acalyptophis_peronii",33.4513274336283,31.7477876106195,31.4380530973452,31.5929203539823,31.1283185840708
"17","Acanthanas_pusillus",32.2567567567568,32.4459459459459,31.6891891891892,31.8783783783783,31.5
"18","Acanthaster_planci",33.1530343007916,32.375,30.625,32.15625,30.9166666666667
"19","Acanthastrea_echinata",32.5166297117516,32.3614190687362,30.8869179600887,32.1286031042129,30.8869179600887
"20","Acanthastrea_ishigakiensis",32.1774193548387,32.3655913978494,30.7661290322581,31.989247311828,30.6720430107527
"21","Acanthaxius_miyazakiensis",31.9949494949495,32.4368686868687,30.8459595959596,31.9949494949495,30.4040404040404
"22","Acanthaxius_spinosissimus",32.8544061302682,33.5249042145594,34.1954022988506,32.9885057471264,33.1226053639846
"23","Acanthella_cavernosa",32.3469387755102,32.2448979591837,31.3265306122449,31.8367346938775,30.4081632653061
"24","Acanthella_costata",33.7459283387622,33.25,35,33.5416666666667,32.6666666666667
"25","Acanthephyra_eximia",32.3661649838064,32.3714437179714,32.3889409559513,33.3574244415243,32.140827561712
"26","Acanthephyra_quadrispinosa",31.4606741573034,32.3946629213483,31.4606741573034,31.8539325842697,30.8707865168539
"27","Acanthephyra_smithi",30.6789146410401,30.0378745053703,30.7422272470322,30.4256642170718,30.7145279819107
"28","Acanthochaetetes_wellsi",31.1290322580645,34.1935483870968,32.5806451612903,32.2580645161291,31.2903225806452
"29","Acanthocybium_solandri",30.4270444167705,30.0311332503113,30.1074097135741,30.4415732669157,30.4161477791615
"30","Acanthodendrilla_australis",30.5319148936171,33.5106382978723,35,34.2553191489362,34.2553191489362
"31","Acanthogorgia_spinosa",35,35,35,35,33.8333333333333
"32","Acanthophora_spicifera",32.5704989154013,32.3427331887201,30.9002169197397,32.1908893709327,30.9002169197397
"33","Acanthopleura_gemmata",31.4874551971326,32.3655913978494,30.3584229390681,31.7383512544803,30.7347670250896
"34","Acanthopleura_spinosa",33.4444444444445,31.7333333333333,32.2,31.5777777777778,31.2666666666667
"35","Acanthosphex_leurynnis",33.1316725978647,32.0106761565836,31.3879003558719,31.8861209964412,30.6405693950178
"36","Acanthosquilla_derijardi",32.2689938398358,32.4127310061602,30.5441478439425,32.1252566735113,30.7597535934291
"37","Acanthosquilla_multifasciata",32.289156626506,32.4096385542168,30.6626506024096,32.1084337349397,30.5421686746988
"38","Acanthurus_achilles",34.6517412935324,34.6541501976284,34.6949891067538,34.4190871369295,33.7526205450734
"39","Acanthurus_albipectoralis",33.3846153846154,34.1923076923077,33.1153846153846,32.3076923076923,32.8461538461538
"40","Acanthurus_auranticavus",32.183908045977,32.485632183908,31.9827586206897,31.9827586206897,31.0775862068965
"41","Acanthurus_blochii",32.3907455012854,32.4807197943445,31.1311053984576,32.1208226221079,30.681233933162
"42","Acanthurus_dussumieri",32.1336206896552,32.4353448275862,30.5495689655172,32.1336206896552,30.7004310344828
"43","Acanthurus_fowleri",32.008547008547,31.7094017094017,31.4102564102564,31.7094017094017,30.6623931623932
"44","Acanthurus_grammoptilus",35,34.406779661017,31.4406779661017,33.8135593220339,35
"45","Acanthurus_guttatus",33.3514492753623,32.7791878172589,32.3350253807106,31.8908629441625,31.6243654822335
"46","Acanthurus_japonicus",33.359375,31.71875,31.4453125,31.71875,30.76171875
"47","Acanthurus_leucopareius",34.4543429844098,33.9622641509434,33.90625,33.6608695652174,33.2278481012658
