"","feature","EM_Percentile_tos_585","MM-NorESM2-MM_Percentile_tos_585","MM-IPSL-CM6A-LR_Percentile_tos_585","MM-GFDL-ESM4_Percentile_tos_585","MM-CMCC-ESM2_Percentile_tos_585","MM-CanESM5_Percentile_tos_585"
"1","Abalistes_filamentosus",66.242774566474,74.6820809248555,76.5317919075144,69.7109826589595,67.1676300578035,66.242774566474
"2","Abalistes_stellaris",62.9436325678497,68.2672233820459,73.5908141962422,60.7515657620042,62.4217118997912,62.9436325678497
"3","Abdopus_abaculus",59.1160220994475,70.1657458563536,80.939226519337,59.3922651933702,64.9171270718232,59.1160220994475
"4","Abietinaria_immersa",69.3409742120344,85.6733524355301,82.8080229226361,86.5329512893983,60.458452722063,69.3409742120344
"5","Ablennes_hians",67.3933649289099,73.7440758293839,80,66.7298578199052,66.6350710900474,67.3933649289099
"6","Abralia_andamanica",62.1904761904762,67.6190476190476,72,60.8571428571429,62.5714285714286,62.1904761904762
"7","Abralia_astrosticta",70.9158415841584,75.6188118811881,79.269801980198,71.4727722772277,69.6782178217822,70.9158415841584
"8","Abraliopsis_hoylei",67.1841310909875,69.987063389392,76.9728331177232,64.8986632169038,65.2867615351444,67.1841310909875
"9","Abudefduf_septemfasciatus",66.2698412698413,72.9166666666667,79.3650793650794,65.7738095238095,65.7738095238095,66.2698412698413
"10","Abudefduf_sexfasciatus",67.1836734693878,71.7551020408163,77.8775510204082,65.9591836734694,66.9387755102041,67.1836734693878
"11","Abudefduf_sordidus",67.2413793103448,73.7547892720306,80.1724137931034,66.6666666666667,66.4750957854406,67.2413793103448
"12","Abudefduf_vaigiensis",68.156862745098,72.6274509803922,78.9019607843137,67.0588235294118,67.6862745098039,68.156862745098
"13","Abyla_haeckeli",68.3397683397683,71.6859716859717,75.4826254826255,67.7606177606178,68.018018018018,68.3397683397683
"14","Abylopsis_eschscholtzi",68.9979825151311,72.8312037659718,75.7901815736382,68.4599865501009,68.6617350369872,68.9979825151311
"15","Abylopsis_tetragona",71.1819389110226,74.7011952191235,76.5604249667995,70.3851261620186,70.2523240371846,71.1819389110226
"16","Acalyptophis_peronii",55.968992248062,62.6356589147287,69.6124031007752,51.7829457364341,57.3643410852713,55.968992248062
"17","Acanthanas_pusillus",67.9280983916746,70.6717123935667,74.6452223273415,64.1438032166509,68.7795648060549,67.9280983916746
