"","feature","MM-NorESM2-MM_Percentile_MHW_SumCumInt_585","MM-IPSL-CM6A-LR_Percentile_MHW_SumCumInt_585","MM-GFDL-ESM4_Percentile_MHW_SumCumInt_585","MM-CMCC-ESM2_Percentile_MHW_SumCumInt_585","MM-CanESM5_Percentile_MHW_SumCumInt_585","EM_Percentile_MHW_SumCumInt_585"
"1","Abalistes_filamentosus",66.242774566474,80,84.1618497109827,83.4682080924856,79.1907514450867,72.8323699421965
"2","Abalistes_stellaris",69.3110647181628,74.8434237995825,82.776617954071,79.7494780793319,76.0960334029228,71.3987473903967
"3","Abdopus_abaculus",67.4033149171271,78.7292817679558,90.3314917127072,86.4640883977901,83.1491712707182,70.9944751381215
"4","Abietinaria_immersa",68.1948424068768,88.2521489971347,85.6733524355301,93.4097421203438,69.6275071633238,82.5214899713467
"5","Ablennes_hians",70.521327014218,78.957345971564,85.781990521327,83.8862559241706,79.7156398104265,76.6824644549763
"6","Abralia_andamanica",69.0476190476191,74.2857142857143,82.0952380952381,79.0476190476191,75.6190476190476,70.9523809523809
"7","Abralia_astrosticta",67.0792079207921,80.7549504950495,83.4158415841584,82.9207920792079,77.1039603960396,75.6188118811881
"8","Abraliopsis_hoylei",66.7529107373868,75.7222940922811,82.3199655023717,81.6731349719707,73.738680465718,74.0836567485985
"9","Abudefduf_septemfasciatus",69.5436507936508,78.1746031746032,85.4166666666667,83.3333333333333,79.265873015873,75.8928571428571
"10","Abudefduf_sexfasciatus",69.5510204081633,78.1224489795918,83.4285714285714,81.9591836734694,77.3877551020408,74.530612244898
"11","Abudefduf_sordidus",70.6896551724138,79.0229885057471,86.0153256704981,84.0038314176245,80.0766283524904,76.8199233716475
"12","Abudefduf_vaigiensis",70.3529411764706,78.8235294117647,84,82.5882352941177,77.9607843137255,75.3725490196078
"13","Abyla_haeckeli",68.2754182754183,78.0566280566281,82.6898326898327,81.2097812097812,76.3191763191763,74.1956241956242
"14","Abylopsis_eschscholtzi",68.728984532616,79.6906523201076,83.1876260928043,81.8426361802287,77.6059179556153,74.9831876260928
"15","Abylopsis_tetragona",66.6666666666667,82.0717131474104,82.8021248339974,82.2045152722444,78.1540504648074,74.5019920318725
"16","Acalyptophis_peronii",68.3720930232558,69.922480620155,82.4806201550388,77.3643410852713,72.8682170542636,67.1317829457364
"17","Acanthanas_pusillus",67.7388836329234,79.3755912961211,83.0652790917692,80.9839167455061,78.9971617786187,74.4560075685904
"18","Acanthaster_planci",69.0736688548505,79.3581327498177,83.6615609044493,82.4215900802334,77.6075857038658,75.127644055434
"19","Acanthastrea_echinata",70.0543056633049,78.8207913110939,83.4755624515128,82.3894491854151,77.8898370830101,74.7866563227308
"20","Acanthastrea_ishigakiensis",67.4835061262959,76.6258246936852,82.186616399623,81.4326107445806,75.7775683317625,71.7247879359095
"21","Acanthaxius_miyazakiensis",68.0530973451327,75.0442477876106,83.0088495575221,81.7699115044248,75.6637168141593,72.4778761061947
"22","Acanthaxius_spinosissimus",72.4462365591398,76.4784946236559,84.6774193548387,79.3010752688172,78.7634408602151,73.252688172043
"23","Acanthella_cavernosa",69.2543411644535,76.3023493360572,82.9417773237998,81.511746680286,76.7109295199183,71.9101123595506
"24","Acanthella_costata",67.5912408759124,77.6642335766423,82.4817518248175,81.3138686131387,78.978102189781,70.3649635036496
"25","Acanthephyra_eximia",55.8139534883721,70.150779453105,71.6074623051367,73.00451486498,67.6633444075305,68.2596473294148
"26","Acanthephyra_quadrispinosa",64.1908509591736,68.0767338908018,83.7678307919331,78.652238071815,70.6837186424004,70.6345302508608
"27","Acanthephyra_smithi",47.5623268698061,49.184804115552,50.9814008705975,51.8440838939454,49.5251286110012,49.3114364859517
"28","Acanthochaetetes_wellsi",63.1663974151858,84.1680129240711,79.6445880452342,83.3602584814216,77.8675282714055,75.4442649434572
"29","Acanthocybium_solandri",51.3766799854704,51.7253904831093,54.9872865964402,55.0490374137305,52.8187431892481,52.8078459861969
"30","Acanthodendrilla_australis",71.6417910447761,88.0597014925373,85.0746268656716,92.5373134328358,64.1791044776119,77.6119402985075
"31","Acanthogorgia_spinosa",75.2941176470588,92.9411764705882,91.7647058823529,92.9411764705882,73.5294117647059,85.2941176470588
"32","Acanthophora_spicifera",70.0607902735562,78.7234042553192,83.4346504559271,82.2948328267477,77.7355623100304,75.1519756838906
"33","Acanthopleura_gemmata",75.2823086574655,77.2898368883312,86.4491844416562,83.0614805520703,80.8030112923463,76.9134253450439
"34","Acanthopleura_spinosa",69.6261682242991,71.9626168224299,82.0872274143302,77.1028037383178,73.3644859813084,67.7570093457944
"35","Acanthosphex_leurynnis",68.2044887780549,71.072319201995,81.5461346633416,77.1820448877805,73.0673316708229,68.4538653366584
"36","Acanthosquilla_derijardi",67.2413793103448,78.735632183908,83.0459770114943,81.3218390804598,76.3649425287356,74.2816091954023
"37","Acanthosquilla_multifasciata",69.2771084337349,78.1927710843374,84.0963855421687,82.710843373494,77.0481927710843,75.1807228915663
"38","Acanthurus_achilles",67.9662802950474,81.7702845100105,83.8777660695469,82.8240252897787,78.7144362486828,76.290832455216
"39","Acanthurus_albipectoralis",72.1621621621622,93.5135135135135,91.0810810810811,93.2432432432432,82.1621621621622,86.7567567567568
"40","Acanthurus_auranticavus",67.8391959798995,79.0954773869347,83.6180904522613,82.4120603015075,76.78391959799,73.3668341708543
"41","Acanthurus_blochii",67.2972972972973,78.2882882882883,82.7927927927928,81.3513513513514,75.4954954954955,73.5135135135135
"42","Acanthurus_dussumieri",66.238670694864,76.2839879154079,81.4954682779456,80.1359516616314,74.3202416918429,72.7341389728097
"43","Acanthurus_fowleri",70.9580838323353,76.1976047904192,86.9760479041916,81.8862275449102,76.7964071856288,72.1556886227545
"44","Acanthurus_grammoptilus",88.1656804733728,97.6331360946746,96.4497041420118,96.4497041420118,95.8579881656805,93.491124260355
"45","Acanthurus_guttatus",67.5266903914591,80.4270462633452,83.4519572953737,82.0284697508897,77.5800711743772,74.7330960854093
"46","Acanthurus_japonicus",69.8087431693989,69.672131147541,81.6939890710383,77.1857923497268,73.4972677595628,67.896174863388
"47","Acanthurus_leucopareius",65.0613786591124,80.6421152030217,81.9641170915958,81.6808309726157,76.6761095372993,73.0878186968839
"48","Acanthurus_lineatus",70.4203013481364,79.4607454401269,84.3774781919112,83.2672482157018,78.3505154639175,75.5749405233941
"49","Acanthurus_maculiceps",64.8190045248869,74.5475113122172,80.2036199095023,78.5067873303167,74.6606334841629,70.0226244343891
"50","Acanthurus_mata",68.7593423019432,78.6995515695067,83.2585949177877,82.2122571001495,77.5037369207773,74.7384155455904
"51","Acanthurus_nigricans",68.2926829268293,78.7878787878788,83.2963784183296,81.9660014781966,76.940133037694,74.6489283074649
"52","Acanthurus_nigricauda",66.9398907103825,78.7795992714025,82.7868852459016,81.511839708561,75.4098360655738,73.3151183970856
"53","Acanthurus_nigrofuscus",70.2743902439024,78.734756097561,83.6128048780488,82.3932926829268,77.8963414634146,75.1524390243902
"54","Acanthurus_nigroris",65.1408450704225,80.8978873239437,81.9542253521127,81.8661971830986,77.112676056338,73.4154929577465
"55","Acanthurus_nubilus",67.9771265189421,81.0578984989278,83.8456040028592,82.5589706933524,77.3409578270193,75.482487491065
"56","Acanthurus_olivaceus",66.3987138263666,76.9292604501608,81.7524115755627,80.6270096463023,74.91961414791,72.427652733119
"57","Acanthurus_pyroferus",68.125,80.234375,83.984375,82.421875,77.03125,75.3125
"58","Acanthurus_thompsoni",66.4227642276423,79.349593495935,82.4390243902439,81.4634146341463,75.2845528455285,73.9837398373984
"59","Acanthurus_triostegus",68.6925795053004,78.9399293286219,83.1802120141343,82.1908127208481,77.243816254417,75.1236749116608
"60","Acanthurus_xanthopterus",68.9850958126331,79.0631653655074,83.3924769339957,82.3988644428673,77.2888573456352,75.2306600425834
"61","Acar_domingensis",65.9240924092409,78.3003300330033,81.5181518151815,80.4455445544555,74.3399339933993,72.3597359735974
"62","Acar_plicata",68.8356164383562,78.8356164383562,83.4931506849315,81.986301369863,77.3287671232877,75.0684931506849
"63","Acarnus_caledoniensis",76.5432098765432,83.9506172839506,83.9506172839506,90.1234567901235,55.5555555555556,70.3703703703704
"64","Acartia_danae",75.8992805755396,91.0071942446043,86.6906474820144,85.6115107913669,83.8129496402878,81.6546762589928
"65","Acartia_negligens",100,100,100,100,100,100
"66","Acasta_conica",66.2847790507365,80.5237315875614,81.505728314239,81.6693944353519,80.6873977086743,70.2127659574468
"67","Acasta_cyathus",67.3274094326726,82.8434723171565,83.6637047163363,82.5017088174983,78.673957621326,75.5980861244019
"68","Acasta_echinata",68.4709066305819,72.5304465493911,83.6265223274696,78.8903924221921,74.5602165087957,69.553450608931
"69","Acasta_fenestrata",69.4805194805195,74.8917748917749,82.3593073593074,79.7619047619048,75.8658008658009,70.6709956709957
