"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"1","Abalistes_filamentosus",34.0759075907591,34.4224422442244,35,33.3828382838284,33.7293729372937
"2","Abalistes_stellaris",33.7462686567164,32.4925373134328,34.7910447761194,31.25284738041,31.4808043875686
"3","Abdopus_abaculus",33.8976377952756,34.4488188976378,34.4488188976378,33.8976377952756,34.1732283464567
"4","Abietinaria_immersa",35,35,35,35,31.2704918032787
"5","Ablennes_hians",34.3360433604336,33.0081300813008,34.1463414634146,32.7529182879377,32.6287262872629
"6","Abralia_andamanica",33.0027173913043,32.4320652173913,34.5244565217391,31.8426103646833,33.7635869565217
"7","Abralia_astrosticta",34.1961130742049,33.9487632508834,33.8250883392226,34.1342756183746,31.4134275618375
"8","Abraliopsis_hoylei",33.8793103448276,33.7068965517241,33.6637931034483,31.8392070484581,30.948275862069
"9","Abudefduf_septemfasciatus",34.5042492917847,33.7110481586402,34.1076487252125,32.7564102564103,32.8186968838527
"10","Abudefduf_sexfasciatus",34.1841491841492,33.2051282051282,34.5104895104895,32.3126142595978,32.7972027972028
"11","Abudefduf_sordidus",34.5218579234973,32.9918032786885,34.2349726775956,32.8599605522682,32.6092896174863
"12","Abudefduf_vaigiensis",34.2152466367713,32.8811659192825,34.5291479820628,32.5126903553299,32.6457399103139
"13","Abyla_haeckeli",34.0349264705882,32.3621323529412,34.0349264705882,32.3114525139665,32.6838235294118
"14","Abylopsis_eschscholtzi",34.1938579654511,32.3800383877159,34.3282149712092,32.6597325408618,32.6487523992322
"15","Abylopsis_tetragona",34.2030360531309,32.6091081593928,34.0037950664137,32.5,32.1442125237192
"16","Acalyptophis_peronii",30.2030456852792,32.5221238938053,33.962962962963,31.3521126760563,34.5353982300885
"17","Acanthanas_pusillus",33.9594594594595,33.5810810810811,34.4324324324324,33.9594594594595,32.2567567567568
"18","Acanthaster_planci",34.125,32.375,34.125,32.4322169059011,32.8125
"19","Acanthastrea_echinata",34.1463414634146,32.6718403547672,34.3791574279379,32.5418060200669,32.6718403547672
"20","Acanthastrea_ishigakiensis",34.1532258064516,32.8360215053763,34.6236559139785,31.6050808314088,30.9845890410959
"21","Acanthaxius_miyazakiensis",34.2045454545455,33.9393939393939,34.8232323232323,31.640625,32.0288624787776
"22","Acanthaxius_spinosissimus",33.314447592068,34.0613026819923,34.3346007604563,34.7318007662835,33.3908045977011
"23","Acanthella_cavernosa",33.9795918367347,33.469387755102,34.7959183673469,31.8024691358025,31.6044776119403
"24","Acanthella_costata",33.9791666666667,33.8333333333333,34.7083333333333,34.578313253012,33.9791666666667
"25","Acanthephyra_eximia",31.0817717206133,31.9761499148211,31.2010221465077,30.5338759875509,30.7836456558773
"26","Acanthephyra_quadrispinosa",32.7387640449438,33.9185393258427,34.8033707865169,30.1611226611227,30.0351123595506
"27","Acanthephyra_smithi",30.3069530808366,30.552289429056,30.8807235726399,31.0152628603731,30.6314301865461
"28","Acanthochaetetes_wellsi",34.1935483870968,33.5483870967742,34.0322580645161,34.0322580645161,31.7741935483871
"29","Acanthocybium_solandri",30.7466791199668,31.7709630552096,31.6837899543379,31.233395599834,30.7067247820672
"30","Acanthodendrilla_australis",33.3132530120482,32.7659574468085,35,34.2553191489362,34.2553191489362
"31","Acanthogorgia_spinosa",35,35,35,35,31.5
"32","Acanthophora_spicifera",33.9370932754881,32.4945770065076,34.0130151843818,32.3606557377049,32.7223427331887
"33","Acanthopleura_gemmata",33.494623655914,33.1182795698925,34.34375,32.6351351351351,33.3691756272401
"34","Acanthopleura_spinosa",32.5111111111111,33.4444444444444,34.3777777777778,31.9653179190751,34.6888888888889
"35","Acanthosphex_leurynnis",30.4285714285714,31.2633451957295,33.4357541899441,31.1973392461197,33.6298932384342
"36","Acanthosquilla_derijardi",34.2813141683778,33.347022587269,34.2813141683778,32.2665534804754,32.5564681724846
"37","Acanthosquilla_multifasciata",34.1566265060241,33.7349397590361,34.2988313856427,32.0395634379263,32.4096385542169
"38","Acanthurus_achilles",34.2620481927711,34.0512048192771,33.8403614457831,34.1151685393258,32.5753012048193
"39","Acanthurus_albipectoralis",34.7307692307692,35,32.5769230769231,34.7307692307692,32.5769230769231
"40","Acanthurus_auranticavus",34.0948275862069,34.0948275862069,34.5977011494253,32.0675675675676,31.6699029126214
"41","Acanthurus_blochii",34.1002570694087,34.0102827763496,34.0102827763496,32.1551724137931,31.7051509769094
"42","Acanthurus_dussumieri",34.2456896551724,32.8125,34.0948275862069,31.6666666666667,31.2626262626263
"43","Acanthurus_fowleri",32.7564102564103,33.2051282051282,34.7008547008547,31.7094017094017,34.5512820512821
"44","Acanthurus_grammoptilus",35,34.4067796610169,35,35,34.5625
"45","Acanthurus_guttatus",34.1116751269036,34.3781725888325,33.9340101522843,33.2009345794392,32.8680203045685
"46","Acanthurus_japonicus",30.3333333333333,31.58203125,33.7311178247734,31.3559322033898,34.04296875
"47","Acanthurus_leucopareius",34.3396226415094,33.9622641509434,33.7735849056604,34.0909090909091,32.7358490566038
"48","Acanthurus_lineatus",34.2081447963801,33.0203619909502,34.2873303167421,32.6260869565217,32.7036199095023
"49","Acanthurus_maculiceps",33.9838709677419,33.8709677419355,33.9838709677419,31.9363395225464,33.4193548387097
"50","Acanthurus_mata",34.1773504273504,32.6068376068376,34.7008547008547,32.1746293245469,32.9059829059829
"51","Acanthurus_nigricans",34.1877637130802,32.710970464135,34.0400843881857,32.2185430463576,32.9324894514768
"52","Acanthurus_nigricauda",34.0885416666667,34.0885416666667,33.9973958333333,32.1717171717172,33.359375
"53","Acanthurus_nigrofuscus",34.161220043573,32.7124183006536,34.0087145969499,32.5581395348837,32.7124183006536
"54","Acanthurus_nigroris",34.2085427135678,34.0326633165829,33.856783919598,33.5929648241206,33.4170854271357
"55","Acanthurus_nubilus",34.1428571428571,33.2857142857143,34.0714285714286,32.0926517571885,32.5
"56","Acanthurus_olivaceus",34.197247706422,32.993119266055,33.9564220183486,31.92,31.3884673748103
"57","Acanthurus_pyroferus",34.21875,33.4375,34.0625,32.4683544303797,32.890625
"58","Acanthurus_thompsoni",34.1879350348028,33.8631090487239,33.9443155452436,32.0261437908497,33.1322505800464
"59","Acanthurus_triostegus",34.1515151515151,32.3131313131313,33.9393939393939,32.2368421052632,32.8080808080808
"60","Acanthurus_xanthopterus",34.2190669371197,32.5152129817444,34.5030425963489,32.241112828439,32.7991886409736
"61","Acar_domingensis",34.2570754716981,33.2665094339623,33.9268867924528,31.989247311828,31.3099041533546
"62","Acar_plicata",34.1780821917808,32.4657534246575,34.3150684931507,32.4517087667162,32.6027397260274
"63","Acarnus_caledoniensis",35,33.7931034482759,35,32.5862068965517,33.7931034482759
"64","Acartia_danae",31.7015706806283,32.3305084745763,34.2783505154639,34.2164179104478,30.8823529411765
"65","Acartia_negligens",35,35,35,35,35
"66","Acasta_conica",33.3644859813084,32.7102803738318,34.6728971962617,32.1481481481481,34.6728971962617
"67","Acasta_cyathus",34.1796875,33.0859375,34.111328125,32.6813880126183,32.12890625
"68","Acasta_echinata",30.6724511930586,31.3513513513513,33.4186746987952,31.0739856801909,34.0540540540541
"69","Acasta_fenestrata",33.4876543209877,32.2993827160494,34.5679012345679,31.4840182648402,31.0890151515151
"70","Acasta_japonica",30.2006688963211,32.2493224932249,33.8305489260143,30.405872193437,30.7303370786517
"71","Acasta_purpurata",34.3092105263158,33.8486842105263,34.3092105263158,33.9942528735632,34.5394736842105
"72","Acaudina_molpadioides",30.4347826086957,32.5399361022364,33.8461538461538,31.7592592592593,33.7699680511182
"73","Accalathura_themeda",35,35,35,35,30.7575757575758
"74","Acentrogobius_janthinopterus",32.9623287671233,32.6027397260274,34.5205479452055,31.8028846153846,31.4931237721022
"75","Acentrogobius_moloanus",32.6584507042253,32.7816901408451,34.7535211267606,31.6379310344828,34.137323943662
"76","Acentrogobius_nebulosus",30.3485838779956,31.85546875,33.8080495356037,31.6101694915254,34.31640625
"77","Acentrogobius_suluensis",33.7142857142857,33,34.5714285714286,31.6160220994475,34.4285714285714
"78","Acentronura_breviperula",34.0056818181818,33.2102272727273,34.8011363636364,31.6824644549763,31.2992831541219
"79","Acesta_rathbuni",30.2,32.8125,33.9705882352941,31.7034068136273,33.6875
"80","Achaeus_curvirostris",30.5707196029777,32.7689243027888,34.0540540540541,31.2236842105263,34.3027888446215
"81","Achaeus_lacertosus",32.9249011857708,33.0632411067194,34.5849802371541,31.7837837837838,34.4466403162055
"82","Achelia_assimilis",31.0692951015532,32.8729281767956,33.990990990991,31.5311308767471,32.5506445672192
"83","Achelia_besnardi",34.1222570532915,34.3416927899686,34.7805642633229,31.9685039370079,33.5736677115987
"84","Achelia_nana",34.2134831460674,33.5056179775281,34.4494382022472,31.3276231263383,31.5
"85","Achelia_sawayai",34.0826612903226,32.6713709677419,33.9415322580645,32.3119122257053,32.6008064516129
"86","Aciculites_orientalis",34.0754716981132,35,35,34.0754716981132,32.9783393501805
"87","Aciculites_tulearensis",32.7684563758389,33.1208053691275,34.5302013422819,32.109375,33.9429530201342
"88","Acoetes_pacifica",35,30.9473684210526,34.2631578947368,34.2631578947368,32.4210526315789
"89","Acreichthys_radiatus",34.2391304347826,33.6684782608696,34.6195652173913,31.8719806763285,31.4183123877917
"90","Acreichthys_tomentosus",33.5106382978723,32.8900709219858,34.7517730496454,31.71875,33.8829787234043
"91","Acrocalanus_gibber",33.4615384615385,33.0769230769231,34.4679054054054,30.4390934844193,30.0303398058252
"92","Acropoma_japonicum",30.5454545454545,33.3030303030303,34.4473684210526,31.040404040404,31.7721518987342
"93","Acropoma_lecorneti",30.5473372781065,33.9487632508834,32.5883392226148,30.0530035335689,33.9487632508834
"94","Acropora_abrotanoides",34.140625,33.046875,34.0625,32.7068965517241,32.65625
"95","Acropora_aculeus",34.1818181818182,32.8181818181818,34.6363636363636,31.5,31.1306532663317
"96","Acropora_anthocercis",34.1298342541436,33.7430939226519,34.6132596685083,31.8103448275862,31.4492753623188
"97","Acropora_aspera",34.1094147582697,32.5954198473282,34.4656488549618,31.5853658536585,30.9302325581395
"98","Acropora_austera",34.1387024608501,32.8076062639821,34.5302013422819,32.3898305084746,32.7293064876957
"99","Acropora_carduus",34.1067285382831,33.7819025522042,34.6751740139211,32.6122082585278,32.7262180974478
"100","Acropora_cerealis",34.2005076142132,33.4010152284264,34.4670050761421,31.9495412844037,31.5118243243243
"101","Acropora_chesterfieldensis",34.2976588628762,34.6488294314381,34.4147157190635,33.5953177257525,33.0100334448161
"102","Acropora_clathrata",34.1067285382831,33.3758700696056,34.6751740139211,32.6207513416816,32.7262180974478
"103","Acropora_cytherea",34.1425389755011,33.0512249443207,34.2204899777283,32.5903614457831,32.6614699331848
"104","Acropora_danai",34.2622950819672,33.3606557377049,34.4262295081967,32.6838235294118,32.7868852459016
"105","Acropora_dendrum",33.6128048780488,32.8658536585366,34.7865853658537,31.7874396135266,31.6759776536313
"106","Acropora_digitifera",34.2099322799097,33.1828442437923,34.3679458239278,32.6027397260274,32.7878103837472
"107","Acropora_divaricata",33.4039087947883,32.8338762214984,34.771986970684,31.6265060240964,31.5272373540856
"108","Acropora_donei",33.8541666666667,33.3333333333333,34.7916666666667,31.8259803921569,31.638418079096
"109","Acropora_echinata",33.8817891373802,33.0990415335463,34.776357827476,31.6707317073171,33.8817891373802
"110","Acropora_efflorescens",33.6229508196721,32.5901639344262,34.5409836065574,31.7028985507246,33.8524590163934
"111","Acropora_elseyi",34.1990846681922,33.2379862700229,34.3592677345538,32.6788830715532,32.6773455377574
"112","Acropora_exquisita",34.1788856304985,33.8709677419355,34.7947214076246,31.675,32.9472140762463
"113","Acropora_florida",33.9884393063584,32.8757225433526,34.7976878612717,31.5914489311164,31.4556962025316
"114","Acropora_formosa",34.1348314606742,32.9550561797753,34.3707865168539,32.598627787307,32.6404494382022
"115","Acropora_gemmifera",34.1648590021692,32.8741865509761,34.3926247288503,32.5041459369818,32.8741865509761
