"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585","EM_Percentile_phos_585"
"1","Abalistes_filamentosus",87.6300578034682,86.1271676300578,85.4335260115607,86.0115606936416,84.2774566473988,88.5549132947977
"2","Abalistes_stellaris",82.3590814196242,79.4363256784969,79.9582463465553,81.5240083507307,79.6450939457202,81.419624217119
"3","Abdopus_abaculus",84.2541436464088,89.2265193370166,82.8729281767956,91.1602209944751,90.3314917127072,89.5027624309392
"4","Abietinaria_immersa",76.2177650429799,73.6389684813754,68.4813753581662,64.756446991404,67.621776504298,77.3638968481375
"5","Ablennes_hians",84.1706161137441,83.6018957345972,83.0331753554502,84.739336492891,83.4123222748815,85.3080568720379
"6","Abralia_andamanica",83.0476190476191,80.2857142857143,80.6666666666667,80.3809523809524,80.9523809523809,82.0952380952381
"7","Abralia_astrosticta",84.4059405940594,84.1584158415842,83.4158415841584,82.3019801980198,82.4876237623762,86.4480198019802
"8","Abraliopsis_hoylei",79.387667097887,79.387667097887,79.6463993100474,77.6196636481242,78.3096162138853,81.3281586890901
"9","Abudefduf_septemfasciatus",83.6309523809524,83.234126984127,82.3412698412698,84.2261904761905,83.234126984127,84.9206349206349
"10","Abudefduf_sexfasciatus",83.4285714285714,82.530612244898,81.3061224489796,82.4489795918367,81.7959183673469,84
"11","Abudefduf_sordidus",84.2911877394636,83.8122605363985,82.8544061302682,84.7701149425287,83.6206896551724,85.4406130268199
"12","Abudefduf_vaigiensis",84.078431372549,83.0588235294118,81.5686274509804,83.1372549019608,82.1960784313726,84.7058823529412
"13","Abyla_haeckeli",83.4620334620335,81.981981981982,81.6602316602317,81.2097812097812,81.016731016731,83.4620334620335
"14","Abylopsis_eschscholtzi",83.8601210490921,82.5823806321453,82.044384667115,81.7081371889711,80.9683927370545,84.0618695359785
"15","Abylopsis_tetragona",82.6029216467464,80.8764940239044,81.0756972111554,80.3452855245684,80.2124833997344,83.1341301460823
"16","Acalyptophis_peronii",78.9147286821705,79.3798449612403,77.5193798449613,81.5503875968992,81.3953488372093,79.8449612403101
"17","Acanthanas_pusillus",84.5789971617786,82.9706717123936,83.3491012298959,83.9167455061495,82.9706717123936,85.1466414380322
"18","Acanthaster_planci",83.6615609044493,82.2027716994894,81.6192560175055,82.1298322392414,81.3274981765135,84.1721371261853
"19","Acanthastrea_echinata",83.8634600465477,83.1652443754849,81.5360744763382,82.699767261443,82.2342901474011,84.5616757176106
"20","Acanthastrea_ishigakiensis",82.4693685202639,81.3383600377003,79.3590951932139,81.5268614514609,80.8671065032988,82.2808671065033
"21","Acanthaxius_miyazakiensis",83.0088495575221,81.1504424778761,79.8230088495575,81.858407079646,80.7079646017699,83.0088495575221
"22","Acanthaxius_spinosissimus",85.752688172043,85.8870967741936,84.5430107526882,86.9623655913979,86.5591397849462,88.0376344086021
"23","Acanthella_cavernosa",82.2267620020429,81.0010214504597,79.9795709908069,81.8181818181818,80.4902962206333,82.0224719101124
"24","Acanthella_costata",87.1532846715328,86.2773722627737,85.4014598540146,86.2773722627737,85.985401459854,89.051094890511
"25","Acanthephyra_eximia",67.8081608314166,66.3344407530454,62.8247721270977,62.5521765056649,66.8114830905529,67.0585228724764
"26","Acanthephyra_quadrispinosa",79.2424987702902,79.3408755533694,77.7176586325627,80.1770782095426,80.8165272995573,81.6035415641908
"27","Acanthephyra_smithi",73.0708349821923,73.9572615749901,63.4784329244163,71.191135734072,73.2647407993668,73.9770478828651
"28","Acanthochaetetes_wellsi",86.4297253634895,83.6833602584814,83.5218093699515,83.8449111470113,80.7754442649434,87.2374798061389
"29","Acanthocybium_solandri",72.5426807119506,70.3632401017072,63.7922266618235,68.9393389030149,72.3901198692336,71.5437704322557
"30","Acanthodendrilla_australis",79.8507462686567,75.3731343283582,67.910447761194,69.4029850746269,60.4477611940298,82.089552238806
"31","Acanthogorgia_spinosa",88.2352941176471,88.8235294117647,81.1764705882353,81.7647058823529,77.6470588235294,94.1176470588235
