"","feature","EM_Percentile_tos_585","MM-NorESM2-MM_Percentile_tos_585","MM-IPSL-CM6A-LR_Percentile_tos_585","MM-GFDL-ESM4_Percentile_tos_585","MM-CMCC-ESM2_Percentile_tos_585","MM-CanESM5_Percentile_tos_585"
"1","Abalistes_filamentosus",34.3069306930693,34.8967551622419,33.960396039604,33.3828382838284,32.0321637426901,34.5379537953795
"2","Abalistes_stellaris",33.1194029850746,33.6341463414634,32.5970149253731,32.910447761194,31.6414141414141,32.3880597014925
"3","Abdopus_abaculus",31.9685039370079,33.0708661417323,34.1732283464567,33.3464566929134,31.1417322834646,33.6220472440945
"4","Abietinaria_immersa",35,35,34.7131147540984,35,35,33.2786885245902
"5","Ablennes_hians",33.5772357723577,33.3734939759036,32.2453703703704,34.0514905149051,31.5853658536585,32.8036437246964
"6","Abralia_andamanica",32.4664879356568,33.3257403189066,32.1467391304348,32.4320652173913,31.6103603603604,32.0448548812665
"7","Abralia_astrosticta",33.5159010600707,34.0724381625442,33.5777385159011,34.4434628975265,32.8975265017668,33.7719298245614
"8","Abraliopsis_hoylei",32.801724137931,33.8205828779599,33.0172413793103,34.051724137931,30.7758620689655,32.6089517078916
"9","Abudefduf_septemfasciatus",33.7110481586402,33.7295825771325,32.3772609819121,34.2067988668555,31.5262172284644,32.9642058165548
"10","Abudefduf_sexfasciatus",32.5625,33.6915887850467,32.4161073825503,33.8578088578089,31.093023255814,32.7049180327869
"11","Abudefduf_sordidus",33.4699453551912,33.6514886164623,32.3647058823529,34.3306010928962,31.4617486338798,32.9752066115702
"12","Abudefduf_vaigiensis",33.4304932735426,33.7537091988131,32.4074074074074,34.2152466367713,30.9977578475336,32.7230483271375
"13","Abyla_haeckeli",32.9411764705882,33.2456140350877,31.9618055555556,33.90625,31.3970588235294,32.3363774733638
"14","Abylopsis_eschscholtzi",33.1190019193858,33.476253298153,32.4236983842011,34.0595009596929,31.4395393474088,32.5
"15","Abylopsis_tetragona",33.4060721062619,33.53889943074,32.5862068965517,34.0702087286528,31.1480075901328,32.6307692307692
"16","Acalyptophis_peronii",31.5929203539823,33.0882352941176,31.5929203539823,32.5221238938053,31.7477876106195,31.5929203539823
"17","Acanthanas_pusillus",32.4717832957111,33.7065217391304,33.2027027027027,34.0540540540541,31.3876146788991,32.5275938189845
"18","Acanthaster_planci",33.03125,33.5843793584379,32.447216890595,34.2708333333333,31.0625,32.6384083044983
"19","Acanthastrea_echinata",33.2926829268293,33.5979228486647,32.5152129817444,34.0687361419069,30.8869179600887,32.5186567164179
"20","Acanthastrea_ishigakiensis",32.1929824561403,33.3300198807157,32.2715053763441,33.3064516129032,31.6152263374486,32.3655913978495
"21","Acanthaxius_miyazakiensis",33.7626262626263,34.1213389121339,33.4974747474747,32.8787878787879,32.152034261242,32.8787878787879
"22","Acanthaxius_spinosissimus",32.875,34.6111111111111,33.9272030651341,33.3908045977011,32.5729927007299,33.5369774919614
"23","Acanthella_cavernosa",32.9768786127168,33.8202247191011,32.6530612244898,33.1632653061224,31.7957746478873,32.6530612244898
"24","Acanthella_costata",32.8125,34.2363636363636,33.3958333333333,33.1041666666667,32.015503875969,33.5416666666667
"25","Acanthephyra_eximia",32.9216354344123,32.7086882453152,32.0698466780239,33.2197614991482,31.6439522998296,30.8006814310051
"26","Acanthephyra_quadrispinosa",32.8370786516854,33.1320224719101,31.5098314606742,32.001404494382,30.2317415730337,31.2640449438202
"27","Acanthephyra_smithi",30.1684567552289,30.6670435274166,30.8451102317694,31.0785754663652,30.6868287167891,30.6670435274166
"28","Acanthochaetetes_wellsi",33.3870967741935,34.1935483870968,33.0645161290323,34.6774193548387,32.258064516129,33.8709677419355
"29","Acanthocybium_solandri",30.1219385637194,30.2599626400996,30.6776670817767,30.2708592777086,30.8556454960565,30.6849315068493
"30","Acanthodendrilla_australis",31.2765957446808,35,35,35,35,34.2553191489362
"31","Acanthogorgia_spinosa",35,35,35,35,35,35
"32","Acanthophora_spicifera",33.177874186551,33.2303370786517,32.12890625,34.0889370932755,31.2039045553145,32.4434782608696
"33","Acanthopleura_gemmata",32.7777777777778,33.731884057971,32.5147928994083,33.8709677419355,32.360097323601,32.5537634408602
"34","Acanthopleura_spinosa",31.4222222222222,32.8969957081545,32.8222222222222,32.8222222222222,32.2,31.8888888888889
"35","Acanthosphex_leurynnis",31.0142348754448,32.3667711598746,31.1387900355872,32.0106761565836,30.9661016949153,31.2666666666667
"36","Acanthosquilla_derijardi",32.5882352941176,33.8473053892216,32.6283367556468,33.8501026694045,30.9034907597536,32.9293893129771
"37","Acanthosquilla_multifasciata",33.0188679245283,34.3194444444444,33.3132530120482,33.6144578313253,31.8674698795181,32.4705882352941
"38","Acanthurus_achilles",33.3132530120482,34.2620481927711,33.0724637681159,34.3674698795181,32.2590361445783,33.6295180722892
"39","Acanthurus_albipectoralis",34.7307692307692,35,34.359756097561,35,32.5769230769231,34.7904191616766
"40","Acanthurus_auranticavus",33.2102272727273,33.9301310043668,33.6925287356322,33.5919540229885,31.5813953488372,32.7873563218391
"41","Acanthurus_blochii",33.1787330316742,33.8940520446097,33.6503856041131,34.1002570694087,31.074144486692,33.2005141388175
"42","Acanthurus_dussumieri",32.5415896487985,33.3965244865719,32.510775862069,33.7931034482759,31.0518292682927,32.5214592274678
"43","Acanthurus_fowleri",31.7094017094017,33.1297709923664,32.7564102564103,32.7564102564103,31.4102564102564,31.7647058823529
"44","Acanthurus_grammoptilus",34.4067796610169,34.5977011494253,35,35,33.2051282051282,35
"45","Acanthurus_guttatus",33.489847715736,33.9298561151079,33.0456852791878,34.0228426395939,30.9137055837563,33.3091787439614
"46","Acanthurus_japonicus",31.4453125,32.5252525252525,31.171875,32.265625,31.4453125,31.5884476534296
"47","Acanthurus_leucopareius",33.9622641509434,34.5283018867924,33.2075471698113,34.4339622641509,32.1698113207547,33.5731414868105
"48","Acanthurus_lineatus",33.4162895927602,33.8020833333333,32.6569037656904,34.3665158371041,31.3574660633484,32.8986866791745
"49","Acanthurus_maculiceps",32.5709779179811,33.5655737704918,33.5322580645161,33.5322580645161,31.1612903225806,32.9347826086956
"50","Acanthurus_mata",32.4545454545455,33.6315789473684,32.3838383838384,33.8034188034188,31.1858974358974,32.312734082397
"51","Acanthurus_nigricans",33.2278481012658,33.5919540229885,32.4048096192385,33.9662447257384,31.3080168776371,32.625
"52","Acanthurus_nigricauda",32.8983833718245,33.7429111531191,33.5416666666667,34.1796875,31.2254901960784,33.0859375
"53","Acanthurus_nigrofuscus",33.2461873638344,33.5106382978723,32.3611111111111,34.3899782135076,31.2636165577342,32.5352112676056
"54","Acanthurus_nigroris",32.9185022026432,34.1954022988506,33.5050251256281,34.0326633165829,31.0427135678392,33.6809045226131
"55","Acanthurus_nubilus",33.1428571428571,33.8571428571429,33.0592734225621,34,31.2857142857143,32.6351351351351
"56","Acanthurus_olivaceus",32.5426944971537,33.5608552631579,32.5114678899083,33.7155963302752,30.968,32.5995575221239
"57","Acanthurus_pyroferus",33.203125,33.9641744548287,33.046875,34.140625,31.328125,33.0632411067194
"58","Acanthurus_thompsoni",32.7674897119342,33.8103756708408,33.4570765661253,33.8631090487239,31.1111111111111,33.0510440835267
"59","Acanthurus_triostegus",33.1616161616162,33.5258152173913,32.2676579925651,34.1515151515151,31.2525252525252,32.4333333333333
"60","Acanthurus_xanthopterus",33.2251521298174,33.6,32.4533582089552,34.0060851926978,31.0953346855984,32.5126903553299
"61","Acar_domingensis",32.5452488687783,33.475499092559,33.1014150943396,33.5141509433962,31.4247311827957,32.4410377358491
"62","Acar_plicata",33.013698630137,33.6502659574468,32.3272727272727,34.041095890411,31.3013698630137,32.5941080196399
"63","Acarnus_caledoniensis",33.7931034482759,35,31.3793103448276,35,35,35
"64","Acartia_danae",31.5789473684211,33.0434782608696,31.9565217391304,31.3917525773196,31.7525773195876,31.9444444444444
"65","Acartia_negligens",35,35,35,35,35,35
"66","Acasta_conica",33.0373831775701,33.8963963963964,33.2009345794392,31.5654205607477,31.7289719626168,33.2009345794392
"67","Acasta_cyathus",33.49609375,33.90625,33.0128205128205,34.04296875,31.513671875,32.914653784219
"68","Acasta_echinata",31.6216216216216,32.6588628762542,31.7567567567568,32.1621621621622,31.0810810810811,31.5124555160142
"69","Acasta_fenestrata",32.2590361445783,33.1578947368421,31.8672839506173,32.7314814814815,31.3670886075949,31.8672839506173
"70","Acasta_japonica",31.3008130081301,32.8815789473684,31.3956639566396,31.7750677506775,31.2059620596206,30.8265582655827
"71","Acasta_purpurata",32.0065789473684,33.2608695652174,32.6973684210526,32.9276315789474,32.6973684210526,32.9276315789474
"72","Acaudina_molpadioides",31.8690095846645,33.1748466257669,32.6517571884984,32.0926517571885,30.9744408945687,31.4217252396166
"73","Accalathura_themeda",35,35,35,35,35,35
"74","Acentrogobius_janthinopterus",32.0034246575342,33.2644628099174,32.0034246575342,32.6027397260274,31.9753086419753,32.0637583892617
"75","Acentrogobius_moloanus",32.5352112676056,33.2551319648094,32.0422535211268,32.5352112676056,31.4309210526316,32.2887323943662
