"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"1","Abalistes_filamentosus",72.0231213872832,73.0635838150289,67.514450867052,74.1040462427746,68.3236994219653,72.1387283236994
"2","Abalistes_stellaris",65.1356993736952,72.3382045929019,66.3883089770355,73.2776617954071,68.4759916492693,69.937369519833
"3","Abdopus_abaculus",67.4033149171271,69.3370165745856,70.7182320441989,71.8232044198895,64.6408839779006,73.4806629834254
"4","Abietinaria_immersa",93.1232091690544,90.2578796561605,81.9484240687679,82.2349570200573,84.8137535816619,86.8194842406877
"5","Ablennes_hians",72.1327014218009,71.8483412322275,69.5734597156398,75.0710900473934,70.1421800947867,73.175355450237
"6","Abralia_andamanica",63.1428571428571,69.3333333333333,64.0952380952381,70.0952380952381,67.2380952380952,67.5238095238095
"7","Abralia_astrosticta",73.700495049505,70.2351485148515,70.2970297029703,72.1534653465346,67.2029702970297,74.1955445544555
"8","Abraliopsis_hoylei",69.9439413540319,67.0547649849073,67.8309616213885,68.0465717981889,64.4674428633031,70.1595515308323
"9","Abudefduf_septemfasciatus",71.6269841269841,73.4126984126984,70.4365079365079,75.7936507936508,70.5357142857143,73.7103174603175
"10","Abudefduf_sexfasciatus",70.2040816326531,73.7142857142857,68.734693877551,75.265306122449,71.3469387755102,74.3673469387755
"11","Abudefduf_sordidus",72.3180076628352,72.0306513409962,69.6360153256705,75.2873563218391,70.1149425287356,73.3716475095785
"12","Abudefduf_vaigiensis",70.6666666666667,72.6274509803922,68.7843137254902,75.0588235294118,70.9019607843137,74.3529411764706
"13","Abyla_haeckeli",70.0772200772201,70.2702702702703,68.2110682110682,72.7799227799228,69.4980694980695,72.0720720720721
"14","Abylopsis_eschscholtzi",70.7464694014795,71.2844653665097,68.3927370544721,73.9071956960323,70.3429724277068,73.0329522528581
"15","Abylopsis_tetragona",72.8419654714476,72.2443559096946,70.3851261620186,75.3652058432935,71.1155378486056,74.9667994687915
"16","Acalyptophis_peronii",57.984496124031,69.1472868217054,62.9457364341085,69.1472868217054,66.9767441860465,67.7519379844961
"17","Acanthanas_pusillus",65.6575212866604,69.2526017029328,66.5089877010407,70.4824976348155,66.7928098391675,70.5771050141911
"18","Acanthaster_planci",70.2407002188184,72.1371261852662,68.8548504741065,74.54412837345,70.3865791393144,73.3770970094821
"19","Acanthastrea_echinata",70.3646237393328,72.3816912335144,68.3475562451513,74.6314972847168,70.4422032583398,73.7005430566331
