"","feature","EM_Feature_MHW_SumCumInt_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"1","Abalistes_filamentosus",59.4219653179191,64.8554913294798,52.9479768786127,48.5549132947977,52.1387283236994
"2","Abalistes_stellaris",62.6304801670146,58.0375782881002,46.4509394572025,46.5553235908142,54.0709812108559
"3","Abdopus_abaculus",51.6574585635359,53.0386740331492,54.4198895027624,48.6187845303867,45.0276243093923
"4","Abietinaria_immersa",70.2005730659026,95.9885386819484,30.3724928366762,31.2320916905444,48.1375358166189
"5","Ablennes_hians",65.781990521327,62.9383886255924,52.0379146919431,43.2227488151659,60.6635071090047
"6","Abralia_andamanica",62,57.7142857142857,46.5714285714286,48.3809523809524,56.2857142857143
"7","Abralia_astrosticta",62.7475247524753,68.0693069306931,53.6509900990099,43.8737623762376,60.7054455445545
"8","Abraliopsis_hoylei",61.0608020698577,66.8391548081069,50.1940491591203,43.72574385511,60.1552393272963
"9","Abudefduf_septemfasciatus",65.5753968253968,62.797619047619,51.0912698412698,41.5674603174603,59.0277777777778
"10","Abudefduf_sexfasciatus",66.1224489795918,63.0204081632653,50.1224489795918,42.4489795918367,58.2040816326531
"11","Abudefduf_sordidus",65.9961685823755,62.6436781609195,51.6283524904215,43.007662835249,60.3448275862069
"12","Abudefduf_vaigiensis",66.2745098039216,62.8235294117647,50.7450980392157,43.4509803921569,59.6078431372549
"13","Abyla_haeckeli",65.3796653796654,65.5727155727156,51.8018018018018,44.4015444015444,61.8404118404118
"14","Abylopsis_eschscholtzi",66.7114996637525,65.635507733692,51.7821116341627,43.7794216543376,61.4660390047075
"15","Abylopsis_tetragona",67.6626826029216,68.0610889774236,54.1168658698539,42.3638778220452,62.8154050464807
"16","Acalyptophis_peronii",56.4341085271318,51.3178294573643,43.7209302325581,49.4573643410853,49.6124031007752
"17","Acanthanas_pusillus",62.6300851466414,60.1702932828761,53.2639545884579,46.8306527909177,62.4408703878903
