"","feature","EM_ClimatePriorityArea_velocity_585","EM_ClimatePriorityArea_o2os_585","EM_ClimatePriorityArea_phos_585","EM_ClimatePriorityArea_tos_585"
"1","Abalistes_filamentosus",5,5,5,5
"2","Abalistes_stellaris",5,5,5,5
"3","Abdopus_abaculus",5,5,5,5
"4","Abietinaria_immersa",5,5,5,5
"5","Ablennes_hians",5,5,5,5
"6","Abralia_andamanica",5,5,5,5
"7","Abralia_astrosticta",5,5,5,5
"8","Abraliopsis_hoylei",5,5,5,5
"9","Abudefduf_septemfasciatus",5,5,5,5
"10","Abudefduf_sexfasciatus",5,5,5,5
"11","Abudefduf_sordidus",5,5,5,5
"12","Abudefduf_vaigiensis",5,5,5,5
"13","Abyla_haeckeli",5,5,5,5
"14","Abylopsis_eschscholtzi",5,5,5,5
"15","Abylopsis_tetragona",5,5,5,5
"16","Acalyptophis_peronii",5,5,5,5
"17","Acanthanas_pusillus",5,5,5,5
"18","Acanthaster_planci",5,5,5,5
"19","Acanthastrea_echinata",5,5,5,5
"20","Acanthastrea_ishigakiensis",5,5,5,5
"21","Acanthaxius_miyazakiensis",5,5,5,5
"22","Acanthaxius_spinosissimus",5,5,5,5
"23","Acanthella_cavernosa",5,5,5,5
"24","Acanthella_costata",5,5,5,5
"25","Acanthephyra_eximia",5,5,5,5
"26","Acanthephyra_quadrispinosa",5,5,5,5
"27","Acanthephyra_smithi",5,5,5,5
"28","Acanthochaetetes_wellsi",5,5,5,5
"29","Acanthocybium_solandri",5,5,5,5
"30","Acanthodendrilla_australis",5,5,5,5
"31","Acanthogorgia_spinosa",5,5,5,5
"32","Acanthophora_spicifera",5,5,5,5
"33","Acanthopleura_gemmata",5,5,5,5
"34","Acanthopleura_spinosa",5,5,5,5
"35","Acanthosphex_leurynnis",5,5,5,5
"36","Acanthosquilla_derijardi",5,5,5,5
"37","Acanthosquilla_multifasciata",5,5,5,5
"38","Acanthurus_achilles",5,5,5,5
"39","Acanthurus_albipectoralis",5,5,5,5
"40","Acanthurus_auranticavus",5,5,5,5
"41","Acanthurus_blochii",5,5,5,5
"42","Acanthurus_dussumieri",5,5,5,5
"43","Acanthurus_fowleri",5,5,5,5
"44","Acanthurus_grammoptilus",5,5,5,5
"45","Acanthurus_guttatus",5,5,5,5
"46","Acanthurus_japonicus",5,5,5,5
"47","Acanthurus_leucopareius",5,5,5,5
"48","Acanthurus_lineatus",5,5,5,5
"49","Acanthurus_maculiceps",5,5,5,5
"50","Acanthurus_mata",5,5,5,5
"51","Acanthurus_nigricans",5,5,5,5
"52","Acanthurus_nigricauda",5,5,5,5
"53","Acanthurus_nigrofuscus",5,5,5,5
"54","Acanthurus_nigroris",5,5,5,5
"55","Acanthurus_nubilus",5,5,5,5
"56","Acanthurus_olivaceus",5,5,5,5
"57","Acanthurus_pyroferus",5,5,5,5
"58","Acanthurus_thompsoni",5,5,5,5
"59","Acanthurus_triostegus",5,5,5,5
"60","Acanthurus_xanthopterus",5,5,5,5
"61","Acar_domingensis",5,5,5,5
"62","Acar_plicata",5,5,5,5
"63","Acarnus_caledoniensis",5,5,5,5
"64","Acartia_danae",5,5,5,5
"65","Acartia_negligens",5,5,5,5
"66","Acasta_conica",5,5,5,5
"67","Acasta_cyathus",5,5,5,5
"68","Acasta_echinata",5,5,5,5
"69","Acasta_fenestrata",5,5,5,5
"70","Acasta_japonica",5,5,5,5
"71","Acasta_purpurata",5,5,5,5
"72","Acaudina_molpadioides",5,5,5,5
"73","Accalathura_themeda",5,5,5,5
"74","Acentrogobius_janthinopterus",5,5,5,5
"75","Acentrogobius_moloanus",5,5,5,5
"76","Acentrogobius_nebulosus",5,5,5,5
"77","Acentrogobius_suluensis",5,5,5,5
"78","Acentronura_breviperula",5,5,5,5
"79","Acesta_rathbuni",5,5,5,5
"80","Achaeus_curvirostris",5,5,5,5
"81","Achaeus_lacertosus",5,5,5,5
"82","Achelia_assimilis",5,5,5,5
"83","Achelia_besnardi",5,5,5,5
"84","Achelia_nana",5,5,5,5
"85","Achelia_sawayai",5,5,5,5
"86","Aciculites_orientalis",5,5,5,5
"87","Aciculites_tulearensis",5,5,5,5
"88","Acoetes_pacifica",5,5,5,5
"89","Acreichthys_radiatus",5,5,5,5
"90","Acreichthys_tomentosus",5,5,5,5
"91","Acrocalanus_gibber",5,5,5,5
"92","Acropoma_japonicum",5,5,5,5
"93","Acropoma_lecorneti",5,5,5,5
"94","Acropora_abrotanoides",5,5,5,5
"95","Acropora_aculeus",5,5,5,5
"96","Acropora_anthocercis",5,5,5,5
"97","Acropora_aspera",5,5,5,5
"98","Acropora_austera",5,5,5,5
"99","Acropora_carduus",5,5,5,5
"100","Acropora_cerealis",5,5,5,5
"101","Acropora_chesterfieldensis",5,5,5,5
"102","Acropora_clathrata",5,5,5,5
"103","Acropora_cytherea",5,5,5,5
"104","Acropora_danai",5,5,5,5
"105","Acropora_dendrum",5,5,5,5
"106","Acropora_digitifera",5,5,5,5
"107","Acropora_divaricata",5,5,5,5
"108","Acropora_donei",5,5,5,5
"109","Acropora_echinata",5,5,5,5
"110","Acropora_efflorescens",5,5,5,5
"111","Acropora_elseyi",5,5,5,5
"112","Acropora_exquisita",5,5,5,5
"113","Acropora_florida",5,5,5,5
"114","Acropora_formosa",5,5,5,5
"115","Acropora_gemmifera",5,5,5,5
"116","Acropora_glauca",5,5,5,5
"117","Acropora_globiceps",5,5,5,5
"118","Acropora_grandis",5,5,5,5
"119","Acropora_granulosa",5,5,5,5
"120","Acropora_halmaherae",5,5,5,5
"121","Acropora_horrida",5,5,5,5
"122","Acropora_humilis",5,5,5,5
"123","Acropora_hyacinthus",5,5,5,5
"124","Acropora_inermis",5,5,5,5
"125","Acropora_insignis",5,5,5,5
"126","Acropora_intermedia",5,5,5,5
"127","Acropora_kirstyae",5,5,5,5
"128","Acropora_latistella",5,5,5,5
"129","Acropora_listeri",5,5,5,5
"130","Acropora_longicyathus",5,5,5,5
"131","Acropora_loripes",5,5,5,5
"132","Acropora_lovelli",5,5,5,5
"133","Acropora_lutkeni",5,5,5,5
"134","Acropora_macrostoma",5,5,5,5
"135","Acropora_microclados",5,5,5,5
"136","Acropora_microphthalma",5,5,5,5
"137","Acropora_millepora",5,5,5,5
"138","Acropora_monticulosa",5,5,5,5
"139","Acropora_muricata",5,5,5,5
"140","Acropora_nasuta",5,5,5,5
"141","Acropora_nobilis",5,5,5,5
"142","Acropora_palmerae",5,5,5,5
"143","Acropora_paniculata",5,5,5,5
"144","Acropora_parilis",5,5,5,5
"145","Acropora_polystoma",5,5,5,5
"146","Acropora_prostrata",5,5,5,5
"147","Acropora_pulchra",5,5,5,5
"148","Acropora_rambleri",5,5,5,5
"149","Acropora_retusa",5,5,5,5
"150","Acropora_robusta",5,5,5,5
"151","Acropora_rosaria",5,5,5,5
"152","Acropora_samoensis",5,5,5,5
"153","Acropora_sarmentosa",5,5,5,5
"154","Acropora_secale",5,5,5,5
"155","Acropora_selago",5,5,5,5
"156","Acropora_solitaryensis",5,5,5,5
"157","Acropora_spathulata",5,5,5,5
"158","Acropora_speciosa",5,5,5,5
"159","Acropora_spicifera",5,5,5,5
"160","Acropora_subglabra",5,5,5,5
"161","Acropora_subulata",5,5,5,5
"162","Acropora_tenella",5,5,5,5
"163","Acropora_tenuis",5,5,5,5
"164","Acropora_teres",5,5,5,5
"165","Acropora_valenciennesi",5,5,5,5
"166","Acropora_valida",5,5,5,5
"167","Acropora_vaughani",5,5,5,5
"168","Acropora_verweyi",5,5,5,5
"169","Acropora_willisae",5,5,5,5
"170","Acropora_yongei",5,5,5,5
"171","Acrosterigma_dianthinum",5,5,5,5
"172","Acrosterigma_hobbsae",5,5,5,5
"173","Acrosterigma_maculosum",5,5,5,5
"174","Acrosterigma_profundum",5,5,5,5
"175","Acrosterigma_punctolineatum",5,5,5,5
"176","Acrosterigma_selene",5,5,5,5
"177","Acrosterigma_simplex",5,5,5,5
"178","Acrosterigma_transcendens",5,5,5,5
"179","Acrosterigma_unicolor",5,5,5,5
"180","Acryptolaria_conferta",5,5,5,5
"181","Actaea_polyacantha",5,5,5,5
"182","Actaeodes_consobrinus",5,5,5,5
"183","Actaeodes_hirsutissimus",5,5,5,5
"184","Actaeodes_tomentosus",5,5,5,5
"185","Actaeomorpha_erosa",5,5,5,5
"186","Acteocina_lepta",5,5,5,5
"187","Actinodendron_plumosum",5,5,5,5
"188","Actinopyga_caerulea",5,5,5,5
"189","Actinopyga_capillata",5,5,5,5
"190","Actinopyga_crassa",5,5,5,5
"191","Actinopyga_echinites",5,5,5,5
"192","Actinopyga_lecanora",5,5,5,5
"193","Actinopyga_mauritiana",5,5,5,5
"194","Actinopyga_miliaris",5,5,5,5
"195","Actinopyga_palauensis",5,5,5,5
"196","Actinopyga_spinea",5,5,5,5
"197","Actinopyga_varians",5,5,5,5
"198","Actinotrichia_fragilis",5,5,5,5
"199","Actumnus_setifer",5,5,5,5
"200","Aega_alazon",5,5,5,5
"201","Aega_excisa",5,5,5,5
"202","Aega_vigilans",5,5,5,5
"203","Aegaeon_lacazei",5,5,5,5
"204","Aegaeon_rathbuni",5,5,5,5
"205","Aegina_citrea",5,5,5,5
"206","Aeginura_grimaldii",5,5,5,5
"207","Aegires_exeches",5,5,5,5
"208","Aegisthus_mucronatus",5,5,5,5
"209","Aenigmathura_calliandra",5,5,5,5
"210","Aequorea_globosa",5,5,5,5
"211","Aesopia_cornuta",5,5,5,5
"212","Aesopus_clausiliformis",5,5,5,5
"213","Aethaloperca_rogaa",5,5,5,5
"214","Aethra_edentata",5,5,5,5
"215","Aethra_scruposa",5,5,5,5
"216","Aetideus_giesbrechti",5,5,5,5
"217","Aetobatus_flagellum",5,5,5,5
"218","Aetobatus_narinari",5,5,5,5
"219","Aetobatus_ocellatus",5,5,5,5
"220","Afrocardium_exochum",5,5,5,5
"221","Afrocardium_infantile",5,5,5,5
"222","Afrocardium_richardi",5,5,5,5
"223","Agalma_elegans",5,5,5,5
"224","Agalma_okeni",5,5,5,5
"225","Agelas_ceylonica",5,5,5,5
"226","Agelas_clathrodes",5,5,5,5
"227","Agelas_mauritiana",5,5,5,5
"228","Agelas_novaecaledoniae",5,5,5,5
"229","Aglaophamus_dibranchis",5,5,5,5
"230","Aglaophamus_verrilli",5,5,5,5
"231","Aglaophenia_cupressina",5,5,5,5
"232","Aglaophenia_lophocarpa",5,5,5,5
"233","Aglaophenia_postdentata",5,5,5,5
"234","Aglaura_hemistoma",5,5,5,5
"235","Agnezia_glaciata",5,5,5,5
"236","Agononida_incerta",5,5,5,5
"237","Agononida_simillima",5,5,5,5
"238","Agononida_squamosa",5,5,5,5
"239","Ahliesaurus_berryi",5,5,5,5
"240","Ahliesaurus_brevis",5,5,5,5
"241","Aidanosagitta_neglecta",5,5,5,5
"242","Aidanosagitta_oceania",5,5,5,5
"243","Aidanosagitta_regularis",5,5,5,5
"244","Aioliops_megastigma",5,5,5,5
"245","Aioliops_novaeguineae",5,5,5,5
"246","Aioliops_tetrophthalmus",5,5,5,5
"247","Aipysurus_duboisii",5,5,5,5
"248","Aipysurus_eydouxii",5,5,5,5
"249","Aipysurus_laevis",5,5,5,5
"250","Akera_soluta",5,5,5,5
"251","Alainodaeus_nuku",5,5,5,5
"252","Alainodaeus_rimatara",5,5,5,5
"253","Alainosquilla_foresti",5,5,5,5
"254","Alatina_alata",5,5,5,5
"255","Alaysia_spiralis",5,5,5,5
"256","Albula_argentea",5,5,5,5
"257","Albula_oligolepis",5,5,5,5
"258","Albunea_bulla",5,5,5,5
"259","Albunea_microps",5,5,5,5
"260","Alderina_tuberosa",5,5,5,5
"261","Alectis_ciliaris",5,5,5,5
"262","Alectis_indica",5,5,5,5
"263","Alectona_triradiata",5,5,5,5
"264","Alectryonella_plicatula",5,5,5,5
"265","Alepes_apercna",5,5,5,5
"266","Alepes_djedaba",5,5,5,5
"267","Alepes_vari",5,5,5,5
"268","Alepisaurus_ferox",5,5,5,5
"269","Aliaporcellana_suluensis",5,5,5,5
"270","Alima_hieroglyphica",5,5,5,5
"271","Alimopsoides_tuberculatus",5,5,5,5
"272","Alionematichthys_crassiceps",5,5,5,5
"273","Alionematichthys_piger",5,5,5,5
"274","Alionematichthys_riukiuensis",5,5,5,5
"275","Alionematichthys_winterbottomi",5,5,5,5
"276","Allocyttus_verrucosus",5,5,5,5
"277","Alloeocomatella_pectinifera",5,5,5,5
"278","Alloeocomatella_polycladia",5,5,5,5
"279","Allogalathea_elegans",5,5,5,5
"280","Allosergestes_sargassi",5,5,5,5
"281","Allothunnus_fallai",5,5,5,5
"282","Alopias_pelagicus",5,5,5,5
"283","Alopias_superciliosus",5,5,5,5
"284","Alopias_vulpinus",5,5,5,5
