"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"1","Abalistes_filamentosus",51.9075144508671,53.8728323699422,55.028901734104,51.3294797687861
"2","Abalistes_stellaris",48.8517745302714,49.7912317327766,51.2526096033403,47.9123173277662
"3","Abdopus_abaculus",63.8121546961326,62.707182320442,61.3259668508287,62.1546961325967
"4","Abietinaria_immersa",37.5358166189112,40.1146131805158,38.9684813753582,34.6704871060172
"5","Ablennes_hians",44.4549763033175,44.8341232227488,45.0236966824645,42.5592417061611
"6","Abralia_andamanica",48.1904761904762,48.952380952381,50.5714285714286,47.4285714285714
"7","Abralia_astrosticta",47.2772277227723,46.5346534653465,47.1534653465347,46.5965346534653
"8","Abraliopsis_hoylei",44.7606727037516,46.4424320827943,45.7524795170332,45.4506252695127
"9","Abudefduf_septemfasciatus",44.047619047619,45.4365079365079,45.734126984127,42.6587301587302
"10","Abudefduf_sexfasciatus",44.8979591836735,46.8571428571429,48.2448979591837,44
"11","Abudefduf_sordidus",44.2528735632184,44.9233716475096,45.4022988505747,42.72030651341
"12","Abudefduf_vaigiensis",45.0980392156863,46.3529411764706,47.6862745098039,44
"13","Abyla_haeckeli",45.1737451737452,46.010296010296,47.4259974259974,44.8519948519949
"14","Abylopsis_eschscholtzi",45.7296570275723,46.2004034969738,48.1506388702085,44.9899125756557
"15","Abylopsis_tetragona",46.1487383798141,45.5511288180611,47.0119521912351,44.8871181938911
"16","Acalyptophis_peronii",51.937984496124,52.4031007751938,52.2480620155039,50.2325581395349
"17","Acanthanas_pusillus",48.0605487228004,46.7360454115421,48.6281929990539,47.682119205298
"18","Acanthaster_planci",45.1495258935084,45.8789204959883,47.7024070021882,44.2742523705325
"19","Acanthastrea_echinata",45.1512800620636,46.5477114041893,47.711404189294,43.8324282389449
"20","Acanthastrea_ishigakiensis",47.8793590951932,49.6701225259189,50.4241281809614,46.6540999057493
"21","Acanthaxius_miyazakiensis",49.9115044247788,51.1504424778761,52.4778761061947,49.0265486725664
"22","Acanthaxius_spinosissimus",50.2688172043011,50.1344086021505,51.6129032258064,50.2688172043011
"23","Acanthella_cavernosa",48.6210418794688,50.1532175689479,50.4596527068437,46.6802860061287
"24","Acanthella_costata",52.1167883211679,52.5547445255474,53.5766423357664,51.5328467153285
"25","Acanthephyra_eximia",39.0663599965926,39.0067297044041,39.0152483175739,39.9778516057586
"26","Acanthephyra_quadrispinosa",52.1396950319725,53.0742744712248,52.7791441219872,51.7461878996557
"27","Acanthephyra_smithi",30.0870597546498,30.4234269885239,30.0831024930748,30.5263157894737
