"","feature","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"1","Abalistes_filamentosus",52.1387283236994,50.0578034682081,46.7052023121387,50.7514450867052
"2","Abalistes_stellaris",44.258872651357,42.4843423799582,47.4947807933194,41.9624217118998
"3","Abdopus_abaculus",58.5635359116022,55.8011049723757,52.2099447513812,61.6022099447514
"4","Abietinaria_immersa",47.8510028653295,59.3123209169054,42.4068767908309,52.4355300859599
"5","Ablennes_hians",44.6445497630332,40.7582938388626,42.1800947867299,40
"6","Abralia_andamanica",42.2857142857143,40.5714285714286,46.3809523809524,40.4761904761905
"7","Abralia_astrosticta",48.1435643564356,43.6881188118812,40.6559405940594,45.4207920792079
"8","Abraliopsis_hoylei",40.7503234152652,38.3786114704614,39.4566623544631,39.8016386373437
"9","Abudefduf_septemfasciatus",45.0396825396825,40.3769841269841,43.0555555555556,40.1785714285714
"10","Abudefduf_sexfasciatus",43.0204081632653,43.0204081632653,44.6530612244898,41.1428571428571
"11","Abudefduf_sordidus",44.8275862068966,40.8045977011494,42.2413793103448,40.3256704980843
"12","Abudefduf_vaigiensis",43.0588235294118,42.8235294117647,44.078431372549,41.0980392156863
"13","Abyla_haeckeli",40.4118404118404,40.9266409266409,42.4066924066924,38.996138996139
"14","Abylopsis_eschscholtzi",41.2239408204438,41.8291862811029,43.3086751849361,39.8789509078682
"15","Abylopsis_tetragona",42.4966799468791,42.7622841965471,44.3559096945551,41.2350597609562
"16","Acalyptophis_peronii",39.5348837209302,41.0852713178295,48.2170542635659,38.7596899224806
"17","Acanthanas_pusillus",40.2081362346263,36.7076631977294,41.6272469252602,36.0454115421003
"18","Acanthaster_planci",42.0131291028446,41.7213712618527,42.8154631655726,40.2625820568928
"19","Acanthastrea_echinata",42.5135764158262,42.5135764158262,43.677269200931,40.6516679596587
"20","Acanthastrea_ishigakiensis",43.7323279924599,43.6380772855796,45.1460885956645,41.564561734213
"21","Acanthaxius_miyazakiensis",42.5663716814159,44.2477876106195,46.3716814159292,42.1238938053097
"22","Acanthaxius_spinosissimus",45.2956989247312,42.8763440860215,46.1021505376344,41.9354838709677
"23","Acanthella_cavernosa",45.1481103166496,44.6373850868233,46.9867211440245,42.5944841675179
"24","Acanthella_costata",57.5182481751825,49.3430656934307,47.007299270073,52.7007299270073
"25","Acanthephyra_eximia",31.6466479257177,32.8818468353352,30.9992333248147,33.1288866172587
"26","Acanthephyra_quadrispinosa",38.5636989670438,40.482046237088,47.9094933595671,41.711756025578
"27","Acanthephyra_smithi",32.5524337158686,32.406015037594,30.0356153541749,32.5128611001187
"28","Acanthochaetetes_wellsi",51.8578352180937,49.1114701130856,40.2261712439418,46.3651050080775
"29","Acanthocybium_solandri",30.8972030512169,33.5488557936796,31.2168543407192,33.1747184889212
"30","Acanthodendrilla_australis",32.8358208955224,88.8059701492537,50,73.8805970149254
"31","Acanthogorgia_spinosa",53.5294117647059,67.0588235294118,53.5294117647059,60
"32","Acanthophora_spicifera",43.161094224924,42.4012158054711,43.6170212765958,40.7294832826748
"33","Acanthopleura_gemmata",44.2910915934755,40.1505646173149,44.2910915934755,40.5269761606023
"34","Acanthopleura_spinosa",42.6791277258567,41.588785046729,48.2866043613707,39.8753894080997
"35","Acanthosphex_leurynnis",40.0249376558603,39.5261845386534,46.1346633416459,38.6533665835411
"36","Acanthosquilla_derijardi",40.5890804597701,42.1695402298851,43.8218390804598,40.5890804597701
"37","Acanthosquilla_multifasciata",40.7831325301205,42.289156626506,43.3734939759036,41.6265060240964
"38","Acanthurus_achilles",53.6354056902002,46.259220231823,43.5194942044257,47.2075869336143
"39","Acanthurus_albipectoralis",62.4324324324324,51.0810810810811,39.1891891891892,52.972972972973
"40","Acanthurus_auranticavus",46.0301507537688,44.9246231155779,46.1306532663317,43.7185929648241
"41","Acanthurus_blochii",45.945945945946,43.963963963964,46.5765765765766,42.972972972973
"42","Acanthurus_dussumieri",41.9939577039275,41.9939577039275,43.5045317220544,40.9365558912387
"43","Acanthurus_fowleri",41.1676646706587,42.2155688622754,49.4011976047904,41.1676646706587
"44","Acanthurus_grammoptilus",81.0650887573965,70.414201183432,43.7869822485207,66.8639053254438
"45","Acanthurus_guttatus",46.1743772241993,44.8398576512456,45.729537366548,43.9501779359431
"46","Acanthurus_japonicus",41.2568306010929,40.8469945355191,47.4043715846995,39.344262295082
"47","Acanthurus_leucopareius",51.2747875354108,46.8366383380548,44.8536355051936,45.7979225684608
"48","Acanthurus_lineatus",43.5368754956384,42.5852498017446,44.1712926249009,41.3164155432197
"49","Acanthurus_maculiceps",43.7782805429864,38.0090497737557,45.5882352941176,36.6515837104072
"50","Acanthurus_mata",41.0313901345291,42.526158445441,43.796711509716,40.2092675635277
"51","Acanthurus_nigricans",41.4634146341463,41.3155949741316,42.9416112342942,39.9113082039911
"52","Acanthurus_nigricauda",45.9016393442623,43.8069216757741,45.7194899817851,43.4426229508197
"53","Acanthurus_nigrofuscus",43.0640243902439,42.530487804878,43.75,40.8536585365854
"54","Acanthurus_nigroris",46.7429577464789,44.7183098591549,45.5105633802817,44.1901408450704
"55","Acanthurus_nubilus",42.0300214438885,41.8155825589707,43.8884917798427,40.7433881343817
"56","Acanthurus_olivaceus",43.6495176848875,41.6398713826367,44.1318327974276,41.0771704180064
"57","Acanthurus_pyroferus",41.875,41.640625,43.75,40.15625
"58","Acanthurus_thompsoni",43.5772357723577,43.2520325203252,44.4715447154472,42.3577235772358
"59","Acanthurus_triostegus",41.4840989399293,41.5547703180212,42.8975265017668,40.2120141342756
"60","Acanthurus_xanthopterus",41.3768630234209,41.5897799858055,43.3640880056778,40.2413058907026
"61","Acar_domingensis",41.9141914191419,43.0693069306931,44.8019801980198,41.006600660066
"62","Acar_plicata",40.7534246575342,41.5068493150685,43.1506849315069,39.7945205479452
"63","Acarnus_caledoniensis",37.037037037037,100,43.2098765432099,82.7160493827161
"64","Acartia_danae",58.6330935251799,58.273381294964,46.7625899280576,56.1151079136691
"65","Acartia_negligens",100,100,100,100
"66","Acasta_conica",50.5728314238953,47.9541734860884,53.0278232405892,42.0621931260229
"67","Acasta_cyathus",42.5837320574163,42.5837320574163,44.565960355434,41.4900888585099
"68","Acasta_echinata",39.6481732070365,39.106901217862,46.1434370771313,37.8890392422192
"69","Acasta_fenestrata",44.8051948051948,42.8571428571429,46.6450216450216,41.7748917748918
"70","Acasta_japonica",37.5711574952562,38.8045540796964,47.9127134724858,39.753320683112
"71","Acasta_purpurata",63.3640552995392,55.2995391705069,53.9170506912442,50.2304147465438
"72","Acaudina_molpadioides",39.7091722595078,39.5973154362416,47.8747203579418,39.3736017897092
"73","Accalathura_themeda",57.2192513368984,58.2887700534759,51.8716577540107,52.4064171122995
"74","Acentrogobius_janthinopterus",45.0299401197605,43.3532934131737,47.9041916167665,42.2754491017964
"75","Acentrogobius_moloanus",45.0061652281134,43.8964241676942,48.3353884093711,42.786683107275
"76","Acentrogobius_nebulosus",41.1764705882353,40.218878248974,47.0588235294118,38.5772913816689
"77","Acentrogobius_suluensis",45.4285714285714,42.8571428571429,47.1428571428571,43.1428571428571
"78","Acentronura_breviperula",44.4333996023857,43.5387673956262,46.1232604373757,41.8489065606362
"79","Acesta_rathbuni",39.4535519125683,40,47.431693989071,40.2185792349727
"80","Achaeus_curvirostris",39.9721448467967,40.9470752089136,48.3286908077994,39.2757660167131
"81","Achaeus_lacertosus",46.1218836565097,43.3518005540166,48.1994459833795,43.6288088642659
"82","Achelia_assimilis",41.3281753707286,41.3926499032882,45.3255963894262,41.779497098646
"83","Achelia_besnardi",45.7142857142857,40.8791208791209,46.3736263736264,39.6703296703297
"84","Achelia_nana",43.6220472440945,44.6456692913386,43.3070866141732,42.9133858267717
"85","Achelia_sawayai",41.5373765867419,41.8899858956276,43.0183356840621,40.0564174894217
"86","Aciculites_orientalis",50.0660501981506,50.330250990753,42.8005284015852,49.8018494055482
"87","Aciculites_tulearensis",41.0798122065728,39.3192488262911,46.9483568075117,39.6713615023474
"88","Acoetes_pacifica",42.5925925925926,40,34.0740740740741,38.8888888888889
"89","Acreichthys_radiatus",44.9096098953378,44.1484300666032,46.0513796384396,42.1503330161751
"90","Acreichthys_tomentosus",45.1492537313433,40.1741293532338,47.2636815920398,39.5522388059701
"91","Acrocalanus_gibber",40.6670942912123,40.9236690186017,47.0814624759461,42.5272610647851
"92","Acropoma_japonicum",41.2513255567338,41.4634146341463,49.2046659597031,41.7815482502651
"93","Acropoma_lecorneti",37.7475247524753,59.7153465346535,49.6287128712871,42.2648514851485
"94","Acropora_abrotanoides",43.75,43.046875,44.21875,41.40625
"95","Acropora_aculeus",44.5454545454545,43.4545454545455,45.2727272727273,42.1818181818182
"96","Acropora_anthocercis",45.3049370764763,44.3368828654405,46.0793804453049,42.3039690222652
"97","Acropora_aspera",43.1878895814782,41.8521816562778,44.4345503116652,40.6055209260908
"98","Acropora_austera",42.9913860610807,42.6781519185591,43.9310884886453,41.1119812059514
"99","Acropora_carduus",42.3701298701299,43.1006493506493,44.0746753246753,41.1525974025974
"100","Acropora_cerealis",45.017793594306,43.5943060498221,45.6405693950178,42.5266903914591
"101","Acropora_chesterfieldensis",51.6998827667057,49.3552168815944,45.6037514654162,47.5967174677608
"102","Acropora_clathrata",43.4959349593496,43.4959349593496,44.7967479674797,41.5447154471545
"103","Acropora_cytherea",43.6477007014809,43.0241621200312,44.1932969602494,41.3873733437256
"104","Acropora_danai",44.954881050041,43.8063986874487,43.9704675963905,42.7399507793273
"105","Acropora_dendrum",43.2835820895522,46.2686567164179,46.1620469083156,44.3496801705757
"106","Acropora_digitifera",43.1962025316456,42.879746835443,44.1455696202532,41.2183544303797
"107","Acropora_divaricata",46.0045662100457,43.6073059360731,47.6027397260274,42.5799086757991
"108","Acropora_donei",45.1041666666667,45.1041666666667,47.0833333333333,43.3333333333333
"109","Acropora_echinata",45.5767077267637,40.8734602463606,46.4725643896976,40.3135498320269
"110","Acropora_efflorescens",45.6422018348624,42.0871559633028,46.1009174311927,41.3990825688073
"111","Acropora_elseyi",43.3841218925421,42.822774659182,44.1860465116279,41.1387329591018
"112","Acropora_exquisita",44.4102564102564,42.5641025641026,45.1282051282051,40.9230769230769
"113","Acropora_florida",44.5344129554656,44.331983805668,46.4574898785425,42.3076923076923
"114","Acropora_formosa",43.0708661417323,42.8346456692913,44.4094488188976,40.9448818897638
"115","Acropora_gemmifera",42.2930903568717,42.0652999240699,43.2801822323462,40.5466970387244
"116","Acropora_glauca",43.6229205175601,42.8835489833641,45.6561922365989,42.0517560073937
