"","feature","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"1","Abalistes_filamentosus",33.1518151815182,33.3828382838284,33.3828382838284,32.9207920792079
"2","Abalistes_stellaris",32.4410377358491,32.2835820895522,30.4029850746268,31.7611940298507
"3","Abdopus_abaculus",34.7244094488189,34.1732283464567,34.7244094488189,33.8976377952756
"4","Abietinaria_immersa",30.6967213114754,33.8524590163934,35,33.8524590163934
"5","Ablennes_hians",32.6287262872628,31.0162601626016,30.1626016260162,30.7317073170731
"6","Abralia_andamanica",31.9438669438669,32.241847826087,30.625,31.4809782608695
"7","Abralia_astrosticta",32.2173144876325,32.9593639575971,33.6714659685864,30.547703180212
"8","Abraliopsis_hoylei",32.1551724137931,32.0258620689655,30.7758620689655,30.2586206896552
"9","Abudefduf_septemfasciatus",32.8186968838527,31.2322946175638,30.2407932011331,30.5382436260623
"10","Abudefduf_sexfasciatus",33.3682983682984,31.5734265734266,30.2680652680652,30.6759906759907
"11","Abudefduf_sordidus",32.6092896174863,30.983606557377,30.1229508196721,30.6967213114754
"12","Abudefduf_vaigiensis",33.1165919282511,31.4686098654708,30.2914798206278,30.8408071748879
"13","Abyla_haeckeli",32.553317535545,31.7830882352941,30.4319852941177,31.139705882353
"14","Abylopsis_eschscholtzi",32.518337408313,31.7754318618042,30.5662188099808,30.9692898272553
"15","Abylopsis_tetragona",32.9411764705883,31.8121442125237,31.9449715370019,31.0151802656546
"16","Acalyptophis_peronii",33.6590038314176,31.1283185840708,30.5088495575221,32.8318584070796
"17","Acanthanas_pusillus",32.7980132450331,31.1216216216216,30.8378378378379,32.0675675675676
"18","Acanthaster_planci",32.9583333333333,31.5729166666667,30.2604166666667,30.9895833333333
"19","Acanthastrea_echinata",33.2150776053215,31.5853658536585,30.2660753880266,30.7317073170731
"20","Acanthastrea_ishigakiensis",33.494623655914,32.1774193548387,30.3897849462366,30.7661290322581
"21","Acanthaxius_miyazakiensis",33.1060606060606,32.3484848484848,30.4040404040404,31.9065656565657
"22","Acanthaxius_spinosissimus",33.5123042505593,31.5134099616858,32.72030651341,32.8544061302682
"23","Acanthella_cavernosa",33.469387755102,32.4489795918367,30.6122448979592,31.0204081632653
"24","Acanthella_costata",33.1041666666667,33.8333333333333,33.5416666666667,31.9375
"25","Acanthephyra_eximia",30.8006814310051,31.3032367972743,31.869540448158,30.4684838160136
"26","Acanthephyra_quadrispinosa",33.3804627249358,33.7219101123596,30.8216292134831,33.4761235955056
"27","Acanthephyra_smithi",30.3663086489542,30.9717354437535,30.7184850197852,31.0904465799887
"28","Acanthochaetetes_wellsi",32.2580645161291,33.2258064516129,30.9677419354839,32.0967741935484
"29","Acanthocybium_solandri",31.3887086307593,30.2599626400996,30.0020755500208,30.8011623080116
"30","Acanthodendrilla_australis",32.7659574468085,32.7659574468085,35,35
"31","Acanthogorgia_spinosa",30.3333333333333,33.25,34.4166666666667,33.25
"32","Acanthophora_spicifera",32.8741865509761,31.4316702819957,30.3687635574837,30.824295010846
"33","Acanthopleura_gemmata",33.4892086330935,31.236559139785,30.3584229390681,30.9856630824373
"34","Acanthopleura_spinosa",33.9964157706093,31.1111111111111,30.9555555555555,32.2
"35","Acanthosphex_leurynnis",32.5895316804408,31.6370106761565,30.2669039145908,32.7580071174377
"36","Acanthosquilla_derijardi",32.9158110882957,32.1252566735113,30.687885010267,30.9753593429158
"37","Acanthosquilla_multifasciata",32.6608910891089,32.6506024096386,30.9638554216867,31.3855421686747
"38","Acanthurus_achilles",32.1536144578313,33.3132530120482,34.1213389121339,31.3102409638554
"39","Acanthurus_albipectoralis",31.7692307692308,32.0384615384616,32.3076923076923,32.3076923076923
"40","Acanthurus_auranticavus",33.2902298850575,32.2844827586207,30.8764367816092,31.0775862068965
"41","Acanthurus_blochii",32.840616966581,31.8508997429306,30.9511568123393,31.1311053984576
"42","Acanthurus_dussumieri",33.114224137931,32.1336206896552,30.4741379310345,31.1530172413793
"43","Acanthurus_fowleri",33.3774834437086,31.5598290598291,30.6623931623932,32.6068376068376
"44","Acanthurus_grammoptilus",35,33.8135593220339,34.406779661017,35
"45","Acanthurus_guttatus",32.6903553299492,31.6243654822335,31.0913705583756,31.002538071066
"46","Acanthurus_japonicus",33.7660256410256,31.4453125,30.625,32.67578125
"47","Acanthurus_leucopareius",32.4528301886792,32.9245283018868,33.0998248686515,31.3207547169811
"48","Acanthurus_lineatus",33.0995475113122,31.5158371040724,30.2488687782805,30.7239819004525
"49","Acanthurus_maculiceps",33.3064516129032,31.5,30.8225806451613,32.2903225806451
"50","Acanthurus_mata",32.7482517482518,31.7094017094017,30.2136752136752,31.1111111111111
"51","Acanthurus_nigricans",33.1540084388185,31.6033755274261,30.2742616033755,31.1603375527426
"52","Acanthurus_nigricauda",32.8125,31.71875,30.9895833333333,31.171875
"53","Acanthurus_nigrofuscus",32.8649237472767,31.4923747276688,30.3485838779957,30.8061002178649
"54","Acanthurus_nigroris",32.8894472361809,32.0979899497487,31.3065326633166,31.4824120603015
"55","Acanthurus_nubilus",33.0714285714286,31.5,30.9285714285715,31.2142857142857
"56","Acanthurus_olivaceus",33.0733944954128,31.9495412844037,30.2637614678899,30.8256880733945
"57","Acanthurus_pyroferus",33.046875,31.71875,30.9375,30.9375
"58","Acanthurus_thompsoni",32.9698375870069,31.9141531322505,31.0208816705337,31.1020881670533
"59","Acanthurus_triostegus",33.020202020202,31.6767676767677,30.3333333333333,31.040404040404
"60","Acanthurus_xanthopterus",33.1541582150101,31.8762677484787,30.2434077079107,31.0953346855984
"61","Acar_domingensis",33.2665094339623,32.6061320754717,30.9551886792452,31.6155660377358
"62","Acar_plicata",32.9452054794521,31.7808219178083,30.4109589041096,31.1643835616438
"63","Acarnus_caledoniensis",33.7931034482759,31.3793103448276,31.3793103448276,35
"64","Acartia_danae",33.5567010309278,33.5567010309278,30.1960784313726,32.4742268041237
"65","Acartia_negligens",35,35,35,35
"66","Acasta_conica",34.8364485981308,31.892523364486,31.0747663551402,32.8738317757009
"67","Acasta_cyathus",33.017578125,31.787109375,31.513671875,31.376953125
"68","Acasta_echinata",32.6392961876833,31.2162162162162,30.5405405405405,33.1081081081081
"69","Acasta_fenestrata",32.4530516431925,32.0833333333333,30.3549382716049,31.1111111111111
"70","Acasta_japonica",32.8864734299517,32.3441734417344,30.2574525745257,33.1978319783198
"71","Acasta_purpurata",34.3092105263158,31.0855263157895,31.5460526315789,32.2368421052632
"72","Acaudina_molpadioides",32.1501272264631,31.8690095846646,30.4153354632588,32.6517571884984
"73","Accalathura_themeda",30.7575757575757,33.4090909090909,33.4090909090909,32.3484848484848
"74","Acentrogobius_janthinopterus",33.646408839779,32.0034246575343,30.5650684931507,32.0034246575343
"75","Acentrogobius_moloanus",33.6962750716332,31.9190140845071,30.4401408450704,32.5352112676056
"76","Acentrogobius_nebulosus",33.6451612903226,31.30859375,30.625,32.40234375
"77","Acentrogobius_suluensis",34.2857142857143,31.4285714285714,30.4285714285714,32.4285714285714
"78","Acentronura_breviperula",33.4090909090909,32.5142045454545,30.4261363636364,31.1221590909091
"79","Acesta_rathbuni",32.1268656716418,31.71875,30.40625,32.59375
"80","Achaeus_curvirostris",33.010033444816,31.9322709163347,30.6772908366534,33.0478087649403
"81","Achaeus_lacertosus",34.1699604743083,31.5415019762846,30.4347826086956,32.5098814229249
"82","Achelia_assimilis",32.7854195323246,32.6795580110497,30.2302025782689,32.0349907918969
"83","Achelia_besnardi",33.3542319749216,31.5987460815047,30.8307210031348,30.8307210031348
"84","Achelia_nana",33.1123595505618,32.4831460674157,30.438202247191,31.3033707865168
"85","Achelia_sawayai",32.9536290322581,31.6834677419355,30.554435483871,30.9072580645161
"86","Aciculites_orientalis",32.7547169811321,33.9433962264151,30.7735849056604,32.4905660377358
"87","Aciculites_tulearensis",32.2875,31.8288590604027,30.4194630872483,32.6510067114094
"88","Acoetes_pacifica",33.8034188034188,34.3488372093023,35,34.372197309417
"89","Acreichthys_radiatus",33.5733695652174,32.1467391304348,30.4347826086956,31.2907608695652
"90","Acreichthys_tomentosus",34.0070921985815,31.5248226950355,30.4078014184397,32.2695035460993
"91","Acrocalanus_gibber",32.6628664495114,33.2051282051282,30.3846153846154,31.9871794871795
"92","Acropoma_japonicum",33.5694822888284,32.6666666666667,30.7575757575757,33.0909090909091
"93","Acropoma_lecorneti",31.1728395061728,33.6395759717314,34.2579505300353,33.5777385159011
"94","Acropora_abrotanoides",32.8125,31.40625,30.46875,30.703125
"95","Acropora_aculeus",33.1818181818182,32,30.3636363636364,30.5454545454545
"96","Acropora_anthocercis",33.2596685082873,32.0994475138121,30.4558011049724,31.2292817679558
"97","Acropora_aspera",33.3078880407125,32.1501272264631,30.2798982188295,30.5470737913486
"98","Acropora_austera",33.1991051454139,31.6331096196868,30.2237136465324,30.8501118568233
"99","Acropora_carduus",33.2134570765661,31.7517401392111,30.7772621809745,30.9396751740139
"100","Acropora_cerealis",32.9568527918782,31.7131979695432,30.2918781725888,31.0913705583756
"101","Acropora_chesterfieldensis",32.8929765886287,32.7759197324415,33.010033444816,32.3076923076923
"102","Acropora_clathrata",33.2946635730859,31.7517401392111,30.3712296983759,30.7772621809745
"103","Acropora_cytherea",32.8953229398664,31.4142538975501,30.4788418708241,30.8685968819599
"104","Acropora_danai",32.8688524590164,31.2295081967213,30.327868852459,31.1475409836065
"105","Acropora_dendrum",33.425,32.3323170731707,30.5182926829269,32.6524390243902
"106","Acropora_digitifera",33.1038374717833,31.6027088036117,30.2595936794582,30.6546275395034
"107","Acropora_divaricata",33.2637075718016,32.0358306188925,30.3257328990228,31.8078175895766
"108","Acropora_donei",33.5416666666667,32.3958333333333,30.5208333333333,31.0416666666667
"109","Acropora_echinata",33.4345047923323,31.8690095846646,30.5271565495207,31.0862619808307
"110","Acropora_efflorescens",33.3934426229508,31.7868852459017,30.4098360655738,31.4426229508196
"111","Acropora_elseyi",33.0778032036613,31.7162471395881,30.3546910755149,30.675057208238
"112","Acropora_exquisita",33.4604105571847,32.0234604105572,30.6891495601173,31.099706744868
"113","Acropora_florida",33.4826589595375,32.4710982658959,30.4479768786127,31.1560693641618
"114","Acropora_formosa",33.1123595505618,31.5393258426966,30.3595505617977,30.6741573033708
"115","Acropora_gemmifera",33.177874186551,31.7353579175705,30.1409978308026,30.824295010846
"116","Acropora_glauca",33.2786885245902,31.8601583113456,30.3825857519789,31.2137203166227
"117","Acropora_globiceps",32.8325688073394,31.3876146788991,30.9059633027523,30.9059633027523
"118","Acropora_grandis",33.4045584045584,32.4074074074074,30.5128205128205,31.011396011396
"119","Acropora_granulosa",33.1869369369369,31.768018018018,30.5067567567568,30.9009009009009
"120","Acropora_halmaherae",33.9393939393939,31.9565217391304,30.8913043478261,33.3260869565217
"121","Acropora_horrida",33.3650519031142,32.0025188916877,30.2392947103274,31.2090680100755
"122","Acropora_humilis",32.9504504504505,31.3738738738739,30.2702702702702,30.822072072072
"123","Acropora_hyacinthus",33.177874186551,31.7353579175705,30.0650759219089,30.824295010846
"124","Acropora_inermis",32.9139072847682,31.3686534216336,30.364238410596,30.9823399558499
"125","Acropora_insignis",33.4782608695652,32.3623188405797,30.4347826086956,31.1449275362319
"126","Acropora_intermedia",33.3733974358975,31.75,30.3333333333333,31.0833333333333
"127","Acropora_kirstyae",33.4234234234235,32.3723723723723,30.7957957957958,31.006006006006
"128","Acropora_latistella",33.1910112359551,31.6179775280899,30.2808988764045,30.8314606741573
"129","Acropora_listeri",32.9642058165548,31.3982102908277,30.3020134228188,30.8501118568233
"130","Acropora_longicyathus",33.1147540983607,31.7213114754098,30.327868852459,30.7377049180328
"131","Acropora_loripes",33.162100456621,31.7237442922374,30.2853881278539,30.8447488584475
"132","Acropora_lovelli",33.0744336569579,32.3948220064725,32.7346278317152,31.7152103559871
"133","Acropora_lutkeni",32.8859060402685,31.3982102908277,30.5369127516778,30.8501118568233
"134","Acropora_macrostoma",33.4186746987952,32.1536144578313,30.7831325301205,31.2048192771084
"135","Acropora_microclados",33.1578947368421,32.1447368421052,30.3947368421053,30.8552631578947
"136","Acropora_microphthalma",33.1882352941177,31.7882352941176,30.3058823529412,30.8
"137","Acropora_millepora",33.4424083769633,32.1498371335505,30.3257328990228,31.4657980456026
"138","Acropora_monticulosa",33.5,32.2,30.3,31.2
"139","Acropora_muricata",33.2608695652174,32.1739130434783,30.5434782608696,31.0869565217392
"140","Acropora_nasuta",32.9092920353982,31.4380530973452,30.2765486725663,30.896017699115
"141","Acropora_nobilis",32.8953229398664,31.4142538975501,30.3229398663697,30.8685968819599
"142","Acropora_palmerae",32.9358974358975,31.8589743589743,30.3333333333333,30.9615384615384
"143","Acropora_paniculata",32.9198966408269,31.8346253229974,30.4780361757106,30.9302325581395
"144","Acropora_parilis",33.469387755102,32.3469387755102,30.5102040816327,31.2244897959184
"145","Acropora_polystoma",33.5060975609756,32.3323170731707,30.5182926829269,31.0518292682927
"146","Acropora_prostrata",32.9516539440204,31.793893129771,30.2798982188295,30.9033078880407
"147","Acropora_pulchra",33.1746031746032,31.5873015873016,30.3174603174603,30.7936507936508
"148","Acropora_rambleri",34.1666666666667,32.0833333333333,30.5208333333333,33.125
"149","Acropora_retusa",32.8486997635933,31.5248226950355,30.4491725768322,31.0283687943263
"150","Acropora_robusta",33.3142201834863,31.7087155963303,30.2637614678899,30.7454128440367
"151","Acropora_rosaria",33.3286516853933,32.3455056179775,30.3792134831461,30.8707865168539
"152","Acropora_samoensis",33.1910112359551,31.6179775280899,30.2808988764045,30.8314606741573
"153","Acropora_sarmentosa",33.1967213114754,31.8032786885246,30.327868852459,30.8196721311475
"154","Acropora_secale",33.2416267942584,31.566985645933,30.2272727272727,30.8133971291866
"155","Acropora_selago",33.1182795698924,31.989247311828,30.3897849462366,30.8602150537634
"156","Acropora_solitaryensis",33.3244680851064,31.8811881188118,30.4950495049505,31.8811881188118
"157","Acropora_spathulata",34.3371212121212,31.3738738738739,30.5855855855856,32.7927927927928
"158","Acropora_speciosa",33.1400966183575,31.7028985507247,30.5193236714976,31.195652173913
"159","Acropora_spicifera",33.5772357723577,31.9360269360269,30.5218855218855,32.0538720538721
"160","Acropora_subglabra",33.8986013986014,31.6958041958042,30.4720279720279,31.6958041958042
"161","Acropora_subulata",33.2134570765661,31.7517401392111,30.2088167053364,30.8584686774942
"162","Acropora_tenella",33.6312849162011,31.9692737430167,30.3072625698324,31.5782122905028
"163","Acropora_tenuis",33.1787330316742,31.7533936651583,30.2488687782805,30.8031674208145
"164","Acropora_teres",32.8125,31.6276041666667,30.4427083333333,30.3515625
"165","Acropora_valenciennesi",32.8710462287105,32.0743034055727,30.4489164086687,31.2074303405572
"166","Acropora_valida",33.0555555555555,31.5598290598291,30.0641025641025,30.8867521367521
"167","Acropora_vaughani",33.2978723404256,31.6705336426914,30.2900232018562,30.9396751740139
"168","Acropora_verweyi",32.9059829059829,31.5598290598291,30.3632478632479,30.8867521367521
"169","Acropora_willisae",33.0701754385965,32.3501577287066,30.4731861198738,31.2460567823344
"170","Acropora_yongei",33.646408839779,31.9152542372881,30.6101694915254,32.1525423728813
"171","Acrosterigma_dianthinum",32.2984562607204,32.5599128540305,30.2723311546841,31.2636165577342
"172","Acrosterigma_hobbsae",33.2575757575758,32.2727272727273,30.7575757575757,31.3636363636364
"173","Acrosterigma_maculosum",33.0325443786982,31.7712177121771,30.4797047970479,33.1918819188192
"174","Acrosterigma_profundum",32.1581196581196,32.9059829059829,32.008547008547,31.1111111111111
"175","Acrosterigma_punctolineatum",33.3810572687225,32.5330396475771,30.6828193832599,31.3766519823788
"176","Acrosterigma_selene",30.6923076923077,32.8461538461538,34.4615384615384,35
"177","Acrosterigma_simplex",32.0240295748614,32.5171624713959,30.3546910755149,31.3157894736842
"178","Acrosterigma_transcendens",33.2009345794393,31.6471962616823,30.338785046729,30.7476635514019
"179","Acrosterigma_unicolor",33.5060975609756,34.3597560975609,34.1463414634146,32.2256097560976
"180","Acryptolaria_conferta",33.5858585858586,33.5147601476015,34.9174528301887,34.5411985018726
"181","Actaea_polyacantha",32.9643527204503,31.5193370165746,30.3591160220995,32.5828729281768
"182","Actaeodes_consobrinus",32.9094412331406,31.2322946175638,30.3399433427762,32.7195467422096
"183","Actaeodes_hirsutissimus",33.0230125523012,31.6317991631799,30.3138075313807,30.9728033472803
"184","Actaeodes_tomentosus",33.0434782608696,31.6735537190083,30.2995867768595,31.0227272727273
"185","Actaeomorpha_erosa",32.8225806451613,31.5322580645162,30.5645161290323,31.2903225806452
"186","Acteocina_lepta",33.8829787234042,34.2677824267782,35,34.2708333333333
"187","Actinodendron_plumosum",33.7573964497041,34.3786982248521,33.7573964497041,30.8579881656805
"188","Actinopyga_caerulea",33.4090909090909,31.17903930131,30.414847161572,32.707423580786
