"","feature","EM_Percentile_CombinedMetric_585","EM_Percentile_MHW_585","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"1","Abalistes_filamentosus",58.6127167630058,73.1791907514451,70.2890173410405,49.4797687861272,80,66.242774566474
"2","Abalistes_stellaris",52.8183716075157,72.4425887265136,65.2400835073069,44.258872651357,75.1565762004175,62.9436325678497
"3","Abdopus_abaculus",58.8397790055249,71.2707182320442,70.9944751381215,51.6574585635359,84.8066298342541,59.1160220994475
"4","Abietinaria_immersa",51.0028653295129,81.6618911174785,82.8080229226361,46.9914040114613,91.404011461318,69.3409742120344
"5","Ablennes_hians",55.9241706161137,77.0616113744076,68.8151658767773,48.1516587677725,78.1990521327014,67.3933649289099
"6","Abralia_andamanica",50.6666666666667,70.7619047619048,62.8571428571429,42.3809523809524,74.5714285714286,62.1904761904762
"7","Abralia_astrosticta",54.4554455445545,76.299504950495,71.4727722772277,48.019801980198,79.2079207920792,70.9158415841584
"8","Abraliopsis_hoylei",50.4959034066408,74.9460974557999,66.6666666666667,43.8119879258301,73.9111686071583,67.1841310909875
"9","Abudefduf_septemfasciatus",56.0515873015873,76.2896825396825,69.6428571428571,47.9166666666667,77.7777777777778,66.2698412698413
"10","Abudefduf_sexfasciatus",53.7959183673469,74.6122448979592,68.9795918367347,46.2040816326531,77.1428571428572,67.1836734693878
"11","Abudefduf_sordidus",56.2260536398467,77.2030651340996,69.0613026819923,48.0842911877395,78.0651340996169,67.2413793103448
"12","Abudefduf_vaigiensis",53.8039215686275,75.5294117647059,68.7843137254902,46.5882352941176,77.5686274509804,68.156862745098
"13","Abyla_haeckeli",51.6087516087516,74.2599742599743,67.3101673101673,45.1093951093951,76.4478764478765,68.3397683397683
"14","Abylopsis_eschscholtzi",52.8581035642233,74.5796906523201,68.2582380632145,45.9314055144586,78.0766644250168,68.9979825151311
"15","Abylopsis_tetragona",53.9840637450199,74.7011952191235,70.7171314741036,47.875166002656,80.4780876494024,71.1819389110226
"16","Acalyptophis_peronii",47.7519379844961,67.2868217054264,60.4651162790698,42.015503875969,71.4728682170543,55.968992248062
"17","Acanthanas_pusillus",52.0340586565752,74.7398297067171,67.2658467360454,44.5600756859035,77.2942289498581,67.9280983916746
"18","Acanthaster_planci",53.0999270605398,75.200583515682,68.7819110138585,46.3165572574763,78.1911013858497,68.8548504741065
"19","Acanthastrea_echinata",53.4522885958107,74.7090768037238,68.7354538401862,46.1598138091544,77.5019394879752,68.1148176881303
