"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"1","Abalistes_filamentosus",57.5722543352601,57.6878612716763,58.4971098265896,57.2254335260116
"2","Abalistes_stellaris",53.1315240083507,53.6534446764092,54.4885177453027,51.9832985386221
"3","Abdopus_abaculus",66.5745856353591,67.4033149171271,70.1657458563536,66.5745856353591
"4","Abietinaria_immersa",38.6819484240688,38.9684813753582,36.676217765043,34.6704871060172
"5","Ablennes_hians",47.6777251184834,47.4881516587678,48.3412322274881,46.3507109004739
"6","Abralia_andamanica",53.1428571428571,52.9523809523809,54.0952380952381,51.5238095238095
"7","Abralia_astrosticta",49.1955445544554,49.1955445544554,49.8762376237624,48.700495049505
"8","Abraliopsis_hoylei",47.4342388960759,47.4342388960759,47.9517033203967,46.3561880120742
"9","Abudefduf_septemfasciatus",47.5198412698413,47.9166666666667,48.6111111111111,46.031746031746
"10","Abudefduf_sexfasciatus",49.7142857142857,50.2857142857143,50.4489795918367,48.0816326530612
"11","Abudefduf_sordidus",47.7011494252874,47.5095785440613,48.3716475095785,46.1685823754789
"12","Abudefduf_vaigiensis",49.5686274509804,49.7254901960784,50.4313725490196,48.078431372549
"13","Abyla_haeckeli",49.2277992277992,49.4851994851995,50.5148005148005,47.6833976833977
"14","Abylopsis_eschscholtzi",49.8991257565568,49.8991257565568,51.0423671822461,47.9488903833221
"15","Abylopsis_tetragona",49.867197875166,50.332005312085,51.261620185923,48.738379814077
"16","Acalyptophis_peronii",56.7441860465116,56.2790697674419,57.0542635658915,54.7286821705426
"17","Acanthanas_pusillus",51.5610217596973,52.6963103122044,52.6017029328288,49.8580889309366
"18","Acanthaster_planci",48.9423778264041,49.45295404814,50.036469730124,47.2647702407002
"19","Acanthastrea_echinata",49.4957331264546,49.8060512024825,50.3491078355314,47.866563227308
"20","Acanthastrea_ishigakiensis",52.497643732328,53.5344015080113,53.6286522148916,50.8011310084826
"21","Acanthaxius_miyazakiensis",55.5752212389381,56.0176991150443,56.6371681415929,53.0973451327434
"22","Acanthaxius_spinosissimus",54.5698924731183,53.6290322580645,55.1075268817204,53.494623655914
"23","Acanthella_cavernosa",53.5240040858018,54.1368743615935,54.2390194075587,52.5025536261491
"24","Acanthella_costata",54.8905109489051,55.036496350365,56.0583941605839,55.4744525547445
"25","Acanthephyra_eximia",39.4241417497231,39.390067297044,39.8415537950422,40.2845216798705
"26","Acanthephyra_quadrispinosa",54.2056074766355,53.5661583866208,54.8942449581899,52.7791441219872
"27","Acanthephyra_smithi",30.0158290463,30.5342303126237,30.6846062524733,30.415512465374
"28","Acanthochaetetes_wellsi",45.2342487883683,47.6575121163166,47.0113085621971,44.4264943457189
"29","Acanthocybium_solandri",31.3439883763167,31.7471848892118,32.2048674173629,31.354885579368
"30","Acanthodendrilla_australis",52.2388059701493,52.2388059701493,52.2388059701493,45.5223880597015
"31","Acanthogorgia_spinosa",44.1176470588235,45.2941176470588,45.8823529411765,42.3529411764706
"32","Acanthophora_spicifera",49.0121580547113,49.3920972644377,49.8480243161094,47.5683890577508
"33","Acanthopleura_gemmata",49.5608531994981,48.306148055207,49.6863237139272,48.1806775407779
"34","Acanthopleura_spinosa",56.5420560747664,55.607476635514,56.6978193146417,53.7383177570093
"35","Acanthosphex_leurynnis",53.8653366583541,54.2394014962594,54.6134663341646,51.9950124688279
"36","Acanthosquilla_derijardi",50.933908045977,51.7241379310345,52.5862068965517,49.1379310344828
"37","Acanthosquilla_multifasciata",51.0843373493976,51.144578313253,51.3253012048193,50.1807228915663
"38","Acanthurus_achilles",46.9968387776607,47.945205479452,48.2613277133825,46.8914646996839
"39","Acanthurus_albipectoralis",40.2702702702703,40.2702702702703,40,37.2972972972973
"40","Acanthurus_auranticavus",53.0653266331658,53.5678391959799,54.070351758794,51.7587939698493
"41","Acanthurus_blochii",52.1621621621622,52.6126126126126,52.8828828828829,50.2702702702703
"42","Acanthurus_dussumieri",51.3595166163142,51.6616314199396,52.5679758308157,49.0181268882175
"43","Acanthurus_fowleri",57.4850299401198,57.7844311377245,58.2335329341317,55.688622754491
"44","Acanthurus_grammoptilus",63.3136094674556,60.9467455621302,61.5384615384615,59.7633136094675
"45","Acanthurus_guttatus",51.067615658363,51.6903914590747,52.135231316726,50.1779359430605
"46","Acanthurus_japonicus",54.7814207650273,54.2349726775956,55.1912568306011,52.4590163934426
"47","Acanthurus_leucopareius",48.6307837582625,49.6694995278565,50.6137865911237,48.1586402266289
"48","Acanthurus_lineatus",49.3259318001586,49.563838223632,50.3568596352101,47.5019825535289
"49","Acanthurus_maculiceps",54.0723981900452,54.2986425339367,55.316742081448,52.6018099547511
"50","Acanthurus_mata",50.0747384155456,51.0463378176383,51.3452914798206,48.1315396113602
"51","Acanthurus_nigricans",49.3717664449372,50.480413895048,50.7021433850702,47.450110864745
"52","Acanthurus_nigricauda",52.0036429872495,52.5500910746812,52.7322404371585,50.0910746812386
"53","Acanthurus_nigrofuscus",49.2378048780488,49.390243902439,50.0762195121951,47.484756097561
"54","Acanthurus_nigroris",51.7605633802817,52.9929577464789,53.2570422535211,49.9119718309859
"55","Acanthurus_nubilus",50.3216583273767,50.7505360972123,51.3938527519657,48.963545389564
"56","Acanthurus_olivaceus",50.5627009646302,51.3665594855306,51.7684887459807,48.7942122186495
"57","Acanthurus_pyroferus",50,51.171875,51.171875,48.671875
"58","Acanthurus_thompsoni",52.2764227642276,53.1707317073171,53.3333333333333,50
"59","Acanthurus_triostegus",49.2579505300353,49.8939929328622,50.530035335689,47.2791519434629
"60","Acanthurus_xanthopterus",49.2547906316537,50.0354861603974,50.6742370475515,47.4095102909865
"61","Acar_domingensis",52.970297029703,53.3828382838284,54.042904290429,51.2376237623762
"62","Acar_plicata",49.4520547945205,49.9315068493151,50.6164383561644,47.6027397260274
"63","Acarnus_caledoniensis",51.8518518518518,50.6172839506173,51.8518518518518,39.5061728395062
"64","Acartia_danae",52.8776978417266,52.8776978417266,53.9568345323741,51.0791366906475
"65","Acartia_negligens",100,100,100,100
"66","Acasta_conica",55.9738134206219,55.3191489361702,56.3011456628478,53.6824877250409
"67","Acasta_cyathus",50.5126452494874,50.7860560492139,51.9480519480519,49.4873547505126
"68","Acasta_echinata",54.3978349120433,54.9391069012179,55.8863328822733,52.2327469553451
"69","Acasta_fenestrata",51.8398268398268,52.4891774891775,52.8138528138528,51.2987012987013
"70","Acasta_japonica",56.5464895635674,54.9335863377609,55.977229601518,54.1745730550285
"71","Acasta_purpurata",54.3778801843318,53.2258064516129,54.3778801843318,52.9953917050691
"72","Acaudina_molpadioides",55.7046979865772,55.3691275167785,56.8232662192394,53.8031319910515
"73","Accalathura_themeda",41.7112299465241,42.7807486631016,41.7112299465241,39.572192513369
"74","Acentrogobius_janthinopterus",53.7724550898204,53.2934131736527,54.6107784431138,51.7365269461078
"75","Acentrogobius_moloanus",54.3773119605425,53.2675709001233,54.8705302096178,53.0209617755857
"76","Acentrogobius_nebulosus",54.9931600547196,54.3091655266758,54.9931600547196,51.983584131327
"77","Acentrogobius_suluensis",55.4285714285714,54,55.5714285714286,53.5714285714286
"78","Acentronura_breviperula",53.1809145129225,54.0755467196819,53.9761431411531,52.1868787276342
"79","Acesta_rathbuni",55.3005464480874,55.5191256830601,56.8306010928962,53.7704918032787
"80","Achaeus_curvirostris",57.3816155988858,56.5459610027855,59.1922005571031,55.1532033426184
"81","Achaeus_lacertosus",54.7091412742382,53.4626038781163,54.5706371191136,53.0470914127424
"82","Achelia_assimilis",50.8704061895551,49.7098646034816,50.4190844616377,49.4519664732431
"83","Achelia_besnardi",54.1758241758242,54.7252747252747,55.0549450549451,53.8461538461538
"84","Achelia_nana",50.2362204724409,49.6062992125984,50.7086614173228,47.8740157480315
"85","Achelia_sawayai",49.5768688293371,50.0705218617772,50.7052186177715,47.6022566995769
"86","Aciculites_orientalis",45.8388375165125,45.5746367239102,45.1783355350066,43.9894319682959
"87","Aciculites_tulearensis",55.0469483568075,54.3427230046948,55.9859154929578,53.5211267605634
"88","Acoetes_pacifica",35.5555555555556,35.5555555555556,35.1851851851852,34.8148148148148
"89","Acreichthys_radiatus",52.8068506184586,53.2825880114177,53.7583254043768,51.3796384395814
"90","Acreichthys_tomentosus",53.2338308457711,53.6069651741293,54.8507462686567,51.865671641791
"91","Acrocalanus_gibber",53.4316869788326,52.0846696600385,52.9826812059012,51.0583707504811
"92","Acropoma_japonicum",57.3700954400848,55.8854718981972,57.9003181336161,55.0371155885472
"93","Acropoma_lecorneti",44.8638613861386,44.8638613861386,45.4826732673267,44.2450495049505
"94","Acropora_abrotanoides",49.53125,49.765625,50.3125,47.890625
"95","Acropora_aculeus",51.9090909090909,52.6363636363636,52.6363636363636,50.1818181818182
"96","Acropora_anthocercis",52.7589545014521,52.9525653436592,53.8238141335915,51.3068731848984
"97","Acropora_aspera",51.6473731077471,52.7159394479074,52.9830810329475,50.4007123775601
"98","Acropora_austera",49.3343774471417,49.5693030540329,50.2740798747063,47.8465152701644
"99","Acropora_carduus",50.2435064935065,51.0551948051948,51.1363636363636,48.8636363636364
"100","Acropora_cerealis",51.3345195729537,51.8683274021352,52.6690391459075,49.4661921708185
"101","Acropora_chesterfieldensis",54.0445486518171,54.9824150058617,55.3341148886284,53.1066822977726
"102","Acropora_clathrata",50.0813008130081,50.4878048780488,50.8130081300813,48.6178861788618
"103","Acropora_cytherea",49.4933749025721,49.805144193297,50.3507404520655,48.012470771629
"104","Acropora_danai",50.0410172272354,49.7128794093519,50.2871205906481,47.66201804758
"105","Acropora_dendrum",54.3710021321962,54.4776119402985,54.4776119402985,52.3454157782516
