"","feature","EM_Penalty_MHW_SumCumInt_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"1","Abalistes_filamentosus",54.3352601156069,50.8670520231214,49.9421965317919,51.7919075144509,50.2890173410405
"2","Abalistes_stellaris",51.9832985386221,45.1983298538622,45.8246346555324,45.4070981210856,43.8413361169102
"3","Abdopus_abaculus",58.2872928176796,46.4088397790055,48.6187845303867,49.171270718232,48.0662983425414
"4","Abietinaria_immersa",49.8567335243553,60.1719197707736,42.9799426934097,52.7220630372493,43.8395415472779
"5","Ablennes_hians",54.4075829383886,45.8767772511848,50.9952606635071,45.5924170616114,45.8767772511848
"6","Abralia_andamanica",49.7142857142857,43.5238095238095,43.8095238095238,46.0952380952381,41.6190476190476
"7","Abralia_astrosticta",52.1039603960396,49.009900990099,49.3811881188119,47.6485148514851,49.009900990099
"8","Abraliopsis_hoylei",47.7792151789564,43.8982319965502,44.2000862440707,42.7339370418284,43.3376455368693
"9","Abudefduf_septemfasciatus",53.7698412698413,46.9246031746032,52.0833333333333,44.5436507936508,46.7261904761905
"10","Abudefduf_sexfasciatus",51.5918367346939,47.265306122449,49.5510204081633,44.4081632653061,45.1428571428571
"11","Abudefduf_sordidus",54.4061302681992,46.264367816092,50.8620689655172,45.5938697318008,45.8812260536398
"12","Abudefduf_vaigiensis",51.843137254902,46.2745098039216,48.9411764705882,45.1764705882353,44.7843137254902
"13","Abyla_haeckeli",50.0643500643501,45.2380952380952,47.7477477477478,43.5649935649936,44.3371943371943
"14","Abylopsis_eschscholtzi",51.3113651647613,45.9314055144586,48.4868863483524,43.7794216543376,45.2589105581708
"15","Abylopsis_tetragona",51.660026560425,46.6799468791501,48.937583001328,42.7622841965471,46.4807436918991
"16","Acalyptophis_peronii",45.7364341085271,39.0697674418605,40.7751937984496,45.7364341085271,36.1240310077519
"17","Acanthanas_pusillus",49.2904446546831,43.99243140965,47.682119205298,43.8032166508988,45.7899716177862
"18","Acanthaster_planci",50.7658643326039,45.9518599562363,48.5776805251641,44.1283734500365,44.9307075127644
"19","Acanthastrea_echinata",51.0473235065943,46.4701318851823,48.9526764934057,45.2288595810706,44.8409619860357
"20","Acanthastrea_ishigakiensis",49.1046182846371,45.0518378887842,46.6540999057493,45.4288407163054,43.5438265786993
"21","Acanthaxius_miyazakiensis",50,45.8407079646018,45.2212389380531,46.9911504424779,43.8938053097345
"22","Acanthaxius_spinosissimus",54.4354838709677,45.6989247311828,49.4623655913978,48.1182795698925,46.2365591397849
"23","Acanthella_cavernosa",50.8682328907048,45.5566905005107,46.8845760980592,46.3738508682329,43.8202247191011
"24","Acanthella_costata",56.0583941605839,51.2408759124088,51.2408759124088,52.4087591240876,49.9270072992701
