"","feature","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"1","Abalistes_filamentosus",72.1387283236994,72.3699421965318,88.5549132947977,67.0520231213873
"2","Abalistes_stellaris",69.937369519833,67.9540709812109,81.419624217119,63.4655532359081
"3","Abdopus_abaculus",73.4806629834254,72.3756906077348,89.5027624309392,57.182320441989
"4","Abietinaria_immersa",86.8194842406877,78.2234957020057,77.3638968481375,74.2120343839541
"5","Ablennes_hians",73.175355450237,75.8293838862559,85.3080568720379,68.8151658767773
"6","Abralia_andamanica",67.5238095238095,66.4761904761905,82.0952380952381,62.2857142857143
"7","Abralia_astrosticta",74.1955445544555,77.2277227722772,86.4480198019802,72.3391089108911
"8","Abraliopsis_hoylei",70.1595515308323,71.280724450194,81.3281586890901,68.2621819749892
"9","Abudefduf_septemfasciatus",73.7103174603175,75.1984126984127,84.9206349206349,68.0555555555556
"10","Abudefduf_sexfasciatus",74.3673469387755,73.6326530612245,84,68.2448979591837
"11","Abudefduf_sordidus",73.3716475095785,75.7662835249042,85.4406130268199,68.6781609195402
"12","Abudefduf_vaigiensis",74.3529411764706,74.4313725490196,84.7058823529412,69.1764705882353
"13","Abyla_haeckeli",72.0720720720721,73.4877734877735,83.4620334620335,69.6911196911197
"14","Abylopsis_eschscholtzi",73.0329522528581,74.0416946872898,84.0618695359785,70.275722932078
"15","Abylopsis_tetragona",74.9667994687915,76.0956175298805,83.1341301460823,71.5803452855246
"16","Acalyptophis_peronii",67.7519379844961,63.8759689922481,79.8449612403101,54.8837209302326
"17","Acanthanas_pusillus",70.5771050141911,73.4153263954588,85.1466414380322,67.5496688741722
"18","Acanthaster_planci",73.3770970094821,74.2523705324581,84.1721371261853,69.8030634573304
"19","Acanthastrea_echinata",73.7005430566331,74.010861132661,84.5616757176106,69.1233514352211
"20","Acanthastrea_ishigakiensis",71.1592836946277,70.9707822808671,82.2808671065033,64.7502356267672
"21","Acanthaxius_miyazakiensis",68.9380530973451,68.6725663716814,83.0088495575221,64.5132743362832
"22","Acanthaxius_spinosissimus",70.6989247311828,71.9086021505376,88.0376344086021,63.9784946236559
"23","Acanthella_cavernosa",70.6843718079673,70.173646578141,82.0224719101124,64.0449438202247
"24","Acanthella_costata",74.1605839416058,70.948905109489,89.051094890511,62.6277372262774
"25","Acanthephyra_eximia",66.198142942329,69.4522531731834,67.0585228724764,71.0707896754408
"26","Acanthephyra_quadrispinosa",65.371372356124,60.2065912444663,81.6035415641908,61.2395474667978
"27","Acanthephyra_smithi",47.7285318559557,53.616937079541,73.9770478828651,54.6695686584883
"28","Acanthochaetetes_wellsi",76.2520193861066,80.2907915993538,87.2374798061389,76.2520193861066
"29","Acanthocybium_solandri",48.6632764257174,54.92553577915,71.5437704322557,56.0079912822376
"30","Acanthodendrilla_australis",82.8358208955224,68.6567164179104,82.089552238806,65.6716417910448
"31","Acanthogorgia_spinosa",85.8823529411765,79.4117647058823,94.1176470588235,77.0588235294118
"32","Acanthophora_spicifera",74.0881458966565,74.6960486322188,84.3465045592705,69.3009118541033
"33","Acanthopleura_gemmata",71.0163111668758,73.525721455458,83.8143036386449,66.2484316185696
"34","Acanthopleura_spinosa",68.380062305296,64.6417445482866,82.5545171339564,54.2056074766355
"35","Acanthosphex_leurynnis",67.2069825436409,65.5860349127182,80.0498753117207,59.7256857855362
"36","Acanthosquilla_derijardi",70.6896551724138,72.8448275862069,83.6206896551724,68.6063218390805
"37","Acanthosquilla_multifasciata",70.3614457831325,70.9036144578313,83.1927710843374,67.1084337349398
