"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"1","Abalistes_filamentosus",67.0520231213873,62.4277456647399,68.092485549133
"2","Abalistes_stellaris",63.4655532359081,58.5594989561587,63.7787056367432
"3","Abdopus_abaculus",57.182320441989,54.9723756906077,65.4696132596685
"4","Abietinaria_immersa",74.2120343839541,68.1948424068768,76.5042979942693
"5","Ablennes_hians",68.8151658767773,66.1611374407583,69.5734597156398
"6","Abralia_andamanica",62.2857142857143,58.0952380952381,63.9047619047619
"7","Abralia_astrosticta",72.3391089108911,68.9975247524752,71.9678217821782
"8","Abraliopsis_hoylei",68.2621819749892,64.5968089693834,66.7097887020267
"9","Abudefduf_septemfasciatus",68.0555555555556,65.0793650793651,68.6507936507936
"10","Abudefduf_sexfasciatus",68.2448979591837,64.8979591836735,67.8367346938776
"11","Abudefduf_sordidus",68.6781609195402,66.0919540229885,69.6360153256705
"12","Abudefduf_vaigiensis",69.1764705882353,66.0392156862745,68.7058823529412
"13","Abyla_haeckeli",69.6911196911197,66.2162162162162,69.0476190476191
"14","Abylopsis_eschscholtzi",70.275722932078,66.9804976462677,70.0067249495629
"15","Abylopsis_tetragona",71.5803452855246,68.7915006640106,71.4475431606906
"16","Acalyptophis_peronii",54.8837209302326,51.0077519379845,58.4496124031008
"17","Acanthanas_pusillus",67.5496688741722,64.7114474929045,67.6442762535478
"18","Acanthaster_planci",69.8030634573304,67.3231218088986,69.4383661560905
"19","Acanthastrea_echinata",69.1233514352211,66.3304887509697,68.7354538401862
"20","Acanthastrea_ishigakiensis",64.7502356267672,60.6974552309142,65.8812441093308
"21","Acanthaxius_miyazakiensis",64.5132743362832,58.4070796460177,64.9557522123894
"22","Acanthaxius_spinosissimus",63.9784946236559,62.2311827956989,67.2043010752688
"23","Acanthella_cavernosa",64.0449438202247,59.244126659857,64.7599591419816
"24","Acanthella_costata",62.6277372262774,61.3138686131387,64.5255474452555
"25","Acanthephyra_eximia",71.0707896754408,62.5521765056649,61.5810546043104
"26","Acanthephyra_quadrispinosa",61.2395474667978,52.6315789473684,60.0590260698475
"27","Acanthephyra_smithi",54.6695686584883,52.00633161852,51.3256826276217
"28","Acanthochaetetes_wellsi",76.2520193861066,75.4442649434572,76.0904684975767
"29","Acanthocybium_solandri",56.0079912822376,52.9676716309481,53.2691609153651
"30","Acanthodendrilla_australis",65.6716417910448,58.955223880597,74.6268656716418
"31","Acanthogorgia_spinosa",77.0588235294118,72.9411764705882,78.2352941176471
"32","Acanthophora_spicifera",69.3009118541033,66.3373860182371,68.693009118541
"33","Acanthopleura_gemmata",66.2484316185696,62.8607277289837,67.0012547051443
"34","Acanthopleura_spinosa",54.2056074766355,51.7133956386293,58.0996884735203
"35","Acanthosphex_leurynnis",59.7256857855362,57.356608478803,62.8428927680798
"36","Acanthosquilla_derijardi",68.6063218390805,64.5114942528736,68.1752873563218
"37","Acanthosquilla_multifasciata",67.1084337349398,62.4096385542169,69.2771084337349
"38","Acanthurus_achilles",71.654373024236,71.0221285563751,73.1296101159115
"39","Acanthurus_albipectoralis",85.1351351351351,82.1621621621622,74.3243243243243
"40","Acanthurus_auranticavus",64.2211055276382,59.2964824120603,64.9246231155779
"41","Acanthurus_blochii",66.1261261261261,61.7117117117117,65.3153153153153
"42","Acanthurus_dussumieri",67.2205438066465,63.368580060423,66.4652567975831
"43","Acanthurus_fowleri",59.5808383233533,55.8383233532934,62.7245508982036
"44","Acanthurus_grammoptilus",75.7396449704142,69.2307692307692,82.8402366863905
"45","Acanthurus_guttatus",67.8825622775801,65.2135231316726,67.7046263345196
"46","Acanthurus_japonicus",58.3333333333333,55.0546448087432,61.3387978142076
"47","Acanthurus_leucopareius",70.5382436260623,68.7440982058546,71.2936732766761
"48","Acanthurus_lineatus",69.4686756542427,65.979381443299,68.8342585249802
"49","Acanthurus_maculiceps",63.1221719457014,58.9366515837104,62.7828054298643
"50","Acanthurus_mata",69.5067264573991,66.0687593423019,69.2077727952167
"51","Acanthurus_nigricans",69.8447893569845,66.3710273466371,69.179600886918
"52","Acanthurus_nigricauda",65.7559198542805,61.7486338797814,65.2094717668488
"53","Acanthurus_nigrofuscus",69.359756097561,66.4634146341463,68.8262195121951
"54","Acanthurus_nigroris",69.1901408450704,65.4929577464789,68.75
"55","Acanthurus_nubilus",70.264474624732,67.2623302358828,69.9070764832023
"56","Acanthurus_olivaceus",67.7652733118971,64.2282958199357,66.9614147909968
"57","Acanthurus_pyroferus",69.453125,65.78125,68.671875
"58","Acanthurus_thompsoni",67.479674796748,63.4146341463415,67.0731707317073
"59","Acanthurus_triostegus",70.3886925795053,67.4204946996466,69.8233215547703
"60","Acanthurus_xanthopterus",70.4045422285309,67.3527324343506,69.7657913413769
"61","Acar_domingensis",66.006600660066,61.5511551155115,65.9240924092409
"62","Acar_plicata",69.9315068493151,66.7808219178082,70.0684931506849
"63","Acarnus_caledoniensis",50.6172839506173,44.4444444444444,65.4320987654321
"64","Acartia_danae",69.7841726618705,69.4244604316547,79.4964028776978
"65","Acartia_negligens",100,100,100
"66","Acasta_conica",62.0294599018003,60.392798690671,68.5761047463175
"67","Acasta_cyathus",72.0437457279562,68.4894053315106,71.4285714285714
"68","Acasta_echinata",60.0811907983762,57.1041948579161,63.5994587280108
"69","Acasta_fenestrata",62.012987012987,58.4415584415584,62.7705627705628
"70","Acasta_japonica",56.3567362428843,52.7514231499051,59.9620493358634
"71","Acasta_purpurata",58.7557603686636,56.9124423963134,68.8940092165899
"72","Acaudina_molpadioides",58.165548098434,54.2505592841163,61.0738255033557
"73","Accalathura_themeda",77.5401069518716,74.8663101604278,75.9358288770053
"74","Acentrogobius_janthinopterus",60.3592814371257,56.5269461077844,62.7544910179641
"75","Acentrogobius_moloanus",59.9260172626387,55.4870530209618,62.0221948212084
"76","Acentrogobius_nebulosus",57.4555403556772,54.5827633378933,60.875512995896
"77","Acentrogobius_suluensis",62.1428571428571,57.2857142857143,64.2857142857143
"78","Acentronura_breviperula",64.3141153081511,59.9403578528827,64.7117296222664
