"","feature","EM_ClimatePriorityArea_o2os_585","EM_ClimatePriorityArea_phos_585","EM_ClimatePriorityArea_tos_585","EM_ClimatePriorityArea_CombinedMetric_585","EM_ClimatePriorityArea_MHW_585","EM_ClimatePriorityArea_velocity_585"
"1","Abalistes_filamentosus",38.6986301369863,37.4143835616438,35.958904109589,35.0171232876712,36.472602739726,37.9280821917808
"2","Abalistes_stellaris",40.390625,35.9375,38.515625,37.34375,38.59375,37.109375
"3","Abdopus_abaculus",39.0852390852391,37.2141372141372,37.006237006237,35.7588357588358,36.1746361746362,33.4719334719335
"4","Abietinaria_immersa",34.4594594594595,35.1351351351351,33.5585585585586,34.009009009009,33.7837837837838,40.7657657657658
"5","Ablennes_hians",44.0028901734104,34.971098265896,39.7398843930636,42.485549132948,38.2225433526012,37.7167630057803
"6","Abralia_andamanica",40.4133998574483,35.424091233072,37.5623663578047,36.3506771204562,38.1325730577334,36.9208838203849
"7","Abralia_astrosticta",39.5711500974659,35.7699805068226,36.1111111111111,39.083820662768,35.7212475633528,37.037037037037
"8","Abraliopsis_hoylei",37.6649746192893,33.9424703891709,35.1945854483926,38.0033840947547,36.243654822335,36.6159052453469
"9","Abudefduf_septemfasciatus",43.0075187969925,35.187969924812,38.8721804511278,41.4285714285714,38.9473684210526,38.4962406015038
"10","Abudefduf_sexfasciatus",42.1671826625387,35.4798761609907,37.5232198142415,39.8142414860681,37.7708978328173,37.5232198142415
"11","Abudefduf_sordidus",43.8864628820961,35.080058224163,39.5924308588064,42.3580786026201,38.4279475982533,37.9184861717613
"12","Abudefduf_vaigiensis",42.7294398092968,35.2205005959476,38.0810488676996,40.6436233611442,37.3063170441001,37.0083432657926
"13","Abyla_haeckeli",41.6140009722897,34.3704423918328,37.0442391832766,39.8152649489548,36.8983957219251,36.1691784151677
"14","Abylopsis_eschscholtzi",42.2199695894577,34.6680182463254,36.999493157628,39.5337050177395,37.0501773948302,36.5433350228079
"15","Abylopsis_tetragona",43.7875751503006,34.7695390781563,38.4268537074148,39.2785571142285,37.8256513026052,37.875751503006
"16","Acalyptophis_peronii",40.9778812572759,35.3899883585565,37.1362048894063,36.4377182770664,37.8346915017462,34.4586728754366
"17","Acanthanas_pusillus",40.6545454545455,33.8909090909091,33.8909090909091,39.2,34.2545454545455,33.4545454545455
"18","Acanthaster_planci",41.4309484193012,34.9417637271215,37.0493621741542,39.48973932335,36.8275097060455,36.3838047698281
