"","feature","EM_ClimatePriorityArea_CombinedMetric_585","EM_ClimatePriorityArea_MHW_585","EM_ClimatePriorityArea_velocity_585"
"1","Abalistes_filamentosus",35.0171232876712,36.472602739726,37.9280821917808
"2","Abalistes_stellaris",37.34375,38.59375,37.109375
"3","Abdopus_abaculus",35.7588357588358,36.1746361746362,33.4719334719335
"4","Abietinaria_immersa",34.009009009009,33.7837837837838,40.7657657657658
"5","Ablennes_hians",42.485549132948,38.2225433526012,37.7167630057803
"6","Abralia_andamanica",36.3506771204562,38.1325730577334,36.9208838203849
"7","Abralia_astrosticta",39.083820662768,35.7212475633528,37.037037037037
"8","Abraliopsis_hoylei",38.0033840947547,36.243654822335,36.6159052453469
"9","Abudefduf_septemfasciatus",41.4285714285714,38.9473684210526,38.4962406015038
"10","Abudefduf_sexfasciatus",39.8142414860681,37.7708978328173,37.5232198142415
"11","Abudefduf_sordidus",42.3580786026201,38.4279475982533,37.9184861717613
"12","Abudefduf_vaigiensis",40.6436233611442,37.3063170441001,37.0083432657926
"13","Abyla_haeckeli",39.8152649489548,36.8983957219251,36.1691784151677
"14","Abylopsis_eschscholtzi",39.5337050177395,37.0501773948302,36.5433350228079
"15","Abylopsis_tetragona",39.2785571142285,37.8256513026052,37.875751503006
"16","Acalyptophis_peronii",36.4377182770664,37.8346915017462,34.4586728754366
"17","Acanthanas_pusillus",39.2,34.2545454545455,33.4545454545455
"18","Acanthaster_planci",39.48973932335,36.8275097060455,36.3838047698281
"19","Acanthastrea_echinata",40.0821596244131,37.0305164319249,36.6784037558685
"20","Acanthastrea_ishigakiensis",35.4385964912281,37.2631578947368,37.1929824561403
"21","Acanthaxius_miyazakiensis",36.75604970569,38.1294964028777,38.6527141922825
"22","Acanthaxius_spinosissimus",42.8131416837782,35.1129363449692,32.9568788501027
"23","Acanthella_cavernosa",36.085626911315,37.6911314984709,38.0733944954128
"24","Acanthella_costata",34.7921225382932,37.199124726477,37.308533916849
"25","Acanthephyra_eximia",34.5485495425207,31.6121710759628,31.5908929711327
"26","Acanthephyra_quadrispinosa",33.9201877934272,35.3677621283255,34.3114241001565
"27","Acanthephyra_smithi",30.1940415523324,30.6579119299621,30.4292434339475
"28","Acanthochaetetes_wellsi",33.133971291866,34.4497607655502,38.8755980861244
"29","Acanthocybium_solandri",32.1327895399748,30.1325496311402,30.0485815390152
"30","Acanthodendrilla_australis",34.5360824742268,31.4432989690722,46.9072164948454
"31","Acanthogorgia_spinosa",34.6153846153846,38.4615384615385,44.8717948717949
"32","Acanthophora_spicifera",40.6466512702078,37.29792147806,36.7782909930716
"33","Acanthopleura_gemmata",44.3695861405197,38.9797882579403,37.4398460057748
"34","Acanthopleura_spinosa",35.6213017751479,37.5147928994083,34.0828402366864
"35","Acanthosphex_leurynnis",37.1698113207547,38.2075471698113,34.811320754717
"36","Acanthosquilla_derijardi",36.7853290183387,37.4865156418554,37.2707659115426
"37","Acanthosquilla_multifasciata",39.7169811320755,37.7358490566038,37.6415094339623
"38","Acanthurus_achilles",40.0966183574879,36.7149758454106,38.4057971014493
"39","Acanthurus_albipectoralis",34.46088794926,42.0718816067653,47.3572938689218
"40","Acanthurus_auranticavus",34.5921450151057,37.8398791540785,37.3111782477341
"41","Acanthurus_blochii",35.357624831309,38.3940620782726,38.663967611336
"42","Acanthurus_dussumieri",35.2112676056338,37.8591549295775,38.0845070422535
"43","Acanthurus_fowleri",36.3532110091743,38.9908256880734,34.6330275229358
"44","Acanthurus_grammoptilus",34,41,42
"45","Acanthurus_guttatus",36.4983164983165,37.3063973063973,37.2390572390572
"46","Acanthurus_japonicus",38.0903490759754,38.911704312115,35.7289527720739
"47","Acanthurus_leucopareius",37.4545454545455,35.5636363636364,38.2545454545455
"48","Acanthurus_lineatus",39.9518652226233,37.1841155234657,37.0637785800241
"49","Acanthurus_maculiceps",35.089209855565,35.6839422259983,36.6185216652506
"50","Acanthurus_mata",39.0862944162437,37.3942470389171,36.9994359842076
"51","Acanthurus_nigricans",38.3240223463687,37.3743016759777,36.5921787709497
"52","Acanthurus_nigricauda",34.9965823650034,37.9357484620643,37.9357484620643
"53","Acanthurus_nigrofuscus",40.427993059572,37.3626373626374,37.0734528629266
"54","Acanthurus_nigroris",33.8624338624339,36.2433862433862,37.2354497354497
"55","Acanthurus_nubilus",38.903960933261,37.4932175800326,36.8421052631579
"56","Acanthurus_olivaceus",35.0782190132371,37.6654632972323,37.8459687123947
"57","Acanthurus_pyroferus",37.5664500886001,37.3892498523331,36.8576491435322
"58","Acanthurus_thompsoni",33.9634146341463,36.890243902439,37.5609756097561
"59","Acanthurus_triostegus",39.5933654360621,37.0251471375067,36.5971107544141
