"","feature","EM_Feature_CombinedMetric_585","EM_Feature_MHW_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"1","Abalistes_filamentosus",46.1472602739726,51.1130136986301,54.9657534246575,49.2294520547945,43.236301369863,41.0102739726027
"2","Abalistes_stellaris",56.015625,57.421875,52.96875,46.484375,45,44.296875
"3","Abdopus_abaculus",52.8066528066528,48.2328482328482,48.8565488565489,53.8461538461538,47.8170478170478,38.4615384615385
"4","Abietinaria_immersa",33.7837837837838,59.009009009009,84.2342342342342,31.7567567567568,34.9099099099099,40.3153153153153
"5","Ablennes_hians",57.5867052023121,55.9971098265896,60.0433526011561,49.9277456647399,43.135838150289,50.7225433526012
"6","Abralia_andamanica",55.5951532430506,55.5951532430506,51.2473271560941,45.9016393442623,46.0441910192445,42.8367783321454
"7","Abralia_astrosticta",47.1734892787524,52.9239766081871,57.7972709551657,49.4152046783626,41.4230019493177,46.0038986354776
"8","Abraliopsis_hoylei",51.8781725888325,52.419627749577,55.4314720812183,46.497461928934,43.1810490693739,44.8730964467005
"9","Abudefduf_septemfasciatus",57.218045112782,56.015037593985,60.2255639097744,49.6992481203008,41.6541353383459,49.8496240601504
"10","Abudefduf_sexfasciatus",54.6130030959752,57.0278637770898,58.2043343653251,49.9071207430341,41.7956656346749,47.3065015479876
"11","Abudefduf_sordidus",57.5691411935953,55.9679767103348,59.8981077147016,49.7088791848617,42.9403202328967,50.509461426492
"12","Abudefduf_vaigiensis",54.8867699642431,56.9129916567342,58.1048867699642,49.9404052443385,42.6102502979738,47.9737783075089
"13","Abyla_haeckeli",53.475935828877,55.8094312105007,57.8512396694215,49.6840058337385,42.3432182790472,47.2532814778804
"14","Abylopsis_eschscholtzi",53.3198175367461,56.8170299036999,57.7293461733401,49.9746578813989,41.1556006082108,46.9336036492651
"15","Abylopsis_tetragona",53.1563126252505,57.1643286573146,60.5711422845691,52.2545090180361,39.2284569138276,48.997995991984
"16","Acalyptophis_peronii",60.5355064027939,54.0162980209546,48.7776484284051,47.6135040745052,47.8463329452852,40.8614668218859
"17","Acanthanas_pusillus",54.5454545454545,54.4727272727273,51.0545454545455,51.4909090909091,43.3454545454546,44.8727272727273
"18","Acanthaster_planci",54.0210759844703,56.5723793677205,57.5707154742097,49.9168053244592,42.4292845257904,47.8646699944537
"19","Acanthastrea_echinata",54.6361502347418,56.1032863849765,58.0399061032864,50.4694835680751,42.3708920187793,47.7112676056338
"20","Acanthastrea_ishigakiensis",52.5614035087719,55.3684210526316,56.140350877193,47.0175438596491,42.4561403508772,42.6666666666667
"21","Acanthaxius_miyazakiensis",52.648790058862,53.0412034009156,53.6298234139961,45.0621321124918,43.6886854153041,40.4839764551995
"22","Acanthaxius_spinosissimus",57.8028747433265,52.258726899384,49.0759753593429,53.1827515400411,45.6878850102669,43.429158110883
"23","Acanthella_cavernosa",53.9755351681957,55.6574923547401,54.8929663608563,47.0183486238532,43.8073394495413,42.737003058104
"24","Acanthella_costata",48.1400437636761,52.2975929978118,54.5951859956236,49.1247264770241,46.9365426695842,42.3413566739606
"25","Acanthephyra_eximia",46.4359174409533,49.840414213774,52.4150648982197,45.1024895382651,35.8536066387687,46.1663947797716
"26","Acanthephyra_quadrispinosa",55.7511737089202,48.2003129890454,45.1095461658842,41.0406885758998,49.1784037558685,36.5414710485133
"27","Acanthephyra_smithi",36.8221612439566,35.015680125441,35.1365477590487,38.5959754344701,49.2747941983536,37.0442963543708
"28","Acanthochaetetes_wellsi",41.3875598086124,54.5454545454545,58.133971291866,48.5645933014354,38.2775119617225,43.6602870813397
"29","Acanthocybium_solandri",40.7005337971571,37.7076710849877,37.566724644635,40.5985725424339,50.1799316259821,38.2804534276975
"30","Acanthodendrilla_australis",35.5670103092784,49.4845360824742,85.5670103092783,34.5360824742268,36.5979381443299,32.9896907216495
