"","feature","EM_Penalty_CombinedMetric_585","EM_Penalty_MHW_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"1","Abalistes_filamentosus",51.1986301369863,52.3116438356164,47.7739726027397,48.2876712328767,51.9691780821918,45.0342465753425
"2","Abalistes_stellaris",43.515625,51.09375,47.109375,44.21875,47.421875,43.984375
"3","Abdopus_abaculus",64.033264033264,59.043659043659,48.6486486486487,47.1933471933472,50.1039501039501,42.2037422037422
"4","Abietinaria_immersa",59.4594594594595,47.7477477477478,54.7297297297297,42.7927927927928,54.5045045045045,43.9189189189189
"5","Ablennes_hians",43.0635838150289,54.2630057803468,49.9277456647399,48.8439306358381,48.771676300578,45.2312138728324
"6","Abralia_andamanica",42.3378474697078,50.1069137562366,43.9771917320029,42.1240199572345,47.1133285816108,40.8410548823949
"7","Abralia_astrosticta",48.4405458089669,51.2670565302144,47.6608187134503,49.0740740740741,48.4405458089669,46.1988304093567
"8","Abraliopsis_hoylei",41.082910321489,47.3773265651438,43.9255499153976,43.248730964467,44.2301184433164,42.5042301184433
"9","Abudefduf_septemfasciatus",43.7593984962406,53.5338345864662,51.2781954887218,49.3233082706767,47.5187969924812,46.1654135338346
"10","Abudefduf_sexfasciatus",45.2012383900929,50.2786377708978,48.359133126935,47.4922600619195,47.1207430340557,44.8916408668731
"11","Abudefduf_sordidus",43.0131004366812,54.2212518195051,50.1455604075691,48.6899563318777,48.6171761280932,45.1965065502183
"12","Abudefduf_vaigiensis",44.5768772348033,50.953516090584,47.2586412395709,47.4374255065554,47.9737783075089,44.5172824791418
"13","Abyla_haeckeli",42.1973748176957,49.4895478852698,45.3573164803111,46.3296062226543,45.1142440447253,43.1210500729217
"14","Abylopsis_eschscholtzi",42.9295489102889,50.3294475418145,45.8692346680182,47.0349721236695,45.159655347187,43.4870755195134
"15","Abylopsis_tetragona",43.8877755511022,50.751503006012,46.4929859719439,48.8476953907816,43.687374749499,44.6392785571142
"16","Acalyptophis_peronii",44.2374854481956,47.0314318975553,42.2584400465658,40.7450523864959,46.5657741559953,38.0675203725262
"17","Acanthanas_pusillus",41.0181818181818,48.8727272727273,45.6727272727273,46.4,44.2909090909091,42.4727272727273
"18","Acanthaster_planci",44.0377149195785,49.9168053244592,46.3117027176927,47.3100388241819,46.4226289517471,44.2595673876872
"19","Acanthastrea_echinata",44.1901408450704,49.9413145539906,46.7136150234742,47.3591549295775,47.7112676056338,44.0727699530516
"20","Acanthastrea_ishigakiensis",44.280701754386,47.859649122807,44.9824561403509,45.3333333333333,47.1578947368421,42.3859649122807
"21","Acanthaxius_miyazakiensis",43.1000654022237,49.1170699803793,45.2583387835186,43.8848920863309,47.351209941138,41.7920209287116
"22","Acanthaxius_spinosissimus",46.5092402464066,54.7227926078029,46.2012320328542,47.9466119096509,48.1519507186858,42.5051334702259
"23","Acanthella_cavernosa",45.7186544342508,49.6177370030581,46.0244648318043,45.2599388379205,48.4709480122324,43.1192660550459
"24","Acanthella_costata",55.7986870897155,55.5798687089716,50.328227571116,49.3435448577681,53.5010940919037,46.9365426695842
"25","Acanthephyra_eximia",32.0448258741755,36.9742534931555,35.9529044613093,36.8607702673948,31.307184906731,35.8039577274984
"26","Acanthephyra_quadrispinosa",35.2895148669797,46.8701095461659,40.1017214397496,39.358372456964,40.7668231611894,38.7715179968701
"27","Acanthephyra_smithi",32.9543969685091,31.1642493139945,30.0601071475238,31.3929178100091,36.0446883575069,31.5039853652163
"28","Acanthochaetetes_wellsi",49.7607655502392,48.5645933014354,48.2057416267943,55.0239234449761,51.9138755980861,51.7942583732057
"29","Acanthocybium_solandri",32.0368260061177,31.2271336891981,31.2811131769927,32.3397109098543,36.4541474239789,30.7773046242428
"30","Acanthodendrilla_australis",64.4329896907217,45.360824742268,42.7835051546392,38.1443298969072,54.639175257732,35.0515463917526
"31","Acanthogorgia_spinosa",56.4102564102564,57.6923076923077,50,54.7008547008547,58.1196581196581,50.4273504273504
"32","Acanthophora_spicifera",45.0923787528868,50.9815242494226,47.0554272517321,47.9214780600462,47.6905311778291,44.8036951501155
"33","Acanthopleura_gemmata",41.385948026949,56.6891241578441,49.9518768046198,48.3156881616939,49.9518768046198,46.5832531280077
"34","Acanthopleura_spinosa",46.1538461538462,48.9940828402367,43.4319526627219,42.1301775147929,48.6390532544379,37.396449704142
"35","Acanthosphex_leurynnis",41.6981132075472,47.3584905660377,42.5471698113208,40.7547169811321,46.2264150943396,39.2452830188679
"36","Acanthosquilla_derijardi",44.2286947141316,48.9212513484358,44.9298813376483,46.655879180151,46.0086299892125,43.5275080906149
"37","Acanthosquilla_multifasciata",41.3207547169811,50.2358490566038,45.9433962264151,45.5188679245283,46.3207547169811,42.8301886792453
"38","Acanthurus_achilles",54.5088566827697,55.7971014492754,52.5764895330113,54.9114331723027,53.2206119162641,50.402576489533
"39","Acanthurus_albipectoralis",50.1057082452431,63.8477801268499,56.8710359408034,60.4651162790698,49.0486257928118,57.9281183932347
"40","Acanthurus_auranticavus",47.0543806646526,50.5287009063444,45.7703927492447,45.392749244713,48.1117824773414,42.5226586102719
"41","Acanthurus_blochii",48.3805668016194,50.1349527665317,46.6261808367072,46.9635627530364,47.7732793522267,44.1970310391363
"42","Acanthurus_dussumieri",43.7746478873239,48.056338028169,44.6760563380282,44.8450704225352,45.4647887323944,43.0985915492958
"43","Acanthurus_fowleri",42.6605504587156,51.3761467889908,42.7752293577982,43.348623853211,44.3807339449541,39.7935779816514
"44","Acanthurus_grammoptilus",48.5,85,57.5,75,51.5,54.5
"45","Acanthurus_guttatus",50.5723905723906,49.96632996633,47.1380471380471,48.4175084175084,50.2356902356902,44.7138047138047
"46","Acanthurus_japonicus",43.3264887063655,48.2546201232033,43.8398357289528,41.4784394250513,48.2546201232033,39.5277207392197
"47","Acanthurus_leucopareius",53.6727272727273,53.3818181818182,50.7636363636364,53.0181818181818,50.1818181818182,49.1636363636364
"48","Acanthurus_lineatus",45.367027677497,51.323706377858,47.4127557160048,48.0746089049338,47.8339350180505,44.705174488568
"49","Acanthurus_maculiceps",45.7094307561597,46.7289719626168,44.9447748513169,44.3500424808836,45.5395072217502,41.6312659303314
"50","Acanthurus_mata",42.6395939086294,49.6897913141568,46.3620981387479,47.2645234066554,46.0800902425268,44.3880428652002
"51","Acanthurus_nigricans",43.7430167597765,49.1061452513966,46.145251396648,47.3743016759777,46.536312849162,44.4692737430168
"52","Acanthurus_nigricauda",48.4620642515379,49.3506493506493,45.8646616541353,46.2747778537252,48.3253588516746,43.2672590567327
"53","Acanthurus_nigrofuscus",45.1127819548872,50.6072874493927,47.0213996529786,47.888953152111,47.6576055523424,44.9971081550029
"54","Acanthurus_nigroris",49.4047619047619,48.5449735449735,44.2460317460317,48.1481481481481,48.8095238095238,44.2460317460317
"55","Acanthurus_nubilus",44.3298969072165,50.3526858383071,45.7406402604449,48.2365708084645,44.872490504612,44.384156266956
"56","Acanthurus_olivaceus",45.1865222623345,47.4729241877256,44.7653429602888,45.5475330926594,47.4729241877256,43.5018050541516
"57","Acanthurus_pyroferus",45.2451269935027,49.7341996455995,46.4264619019492,47.6077968103957,46.6627288836385,44.4772593030124
"58","Acanthurus_thompsoni",45.8536585365854,48.9024390243902,44.4512195121951,46.3414634146341,47.2560975609756,43.4146341463415
"59","Acanthurus_triostegus",43.1781701444623,49.8662386302836,46.2279293739968,47.565543071161,45.9069020866774,44.6762974852862
"60","Acanthurus_xanthopterus",42.9566148901982,50.0803427959293,46.598821638993,47.4558114622389,45.7953936797001,44.5099089448313
"61","Acar_domingensis",42.8924598269468,47.4660074165637,44.3139678615575,45.7354758961681,44.6229913473424,42.8306551297899
"62","Acar_plicata",42.5686172967374,50.1294665976178,46.1936820300362,47.2812014500259,45.6240290005179,44.018643190057
"63","Acarnus_caledoniensis",68.3760683760684,45.2991452991453,34.1880341880342,35.042735042735,59.8290598290598,35.042735042735
"64","Acartia_danae",44.1860465116279,62.2093023255814,44.7674418604651,55.5232558139535,46.5116279069767,46.2209302325581
"65","Acartia_negligens",100,100,100,100,100,50
"66","Acasta_conica",49.375,53.375,47.875,48.625,44.75,43.375
"67","Acasta_cyathus",44.3352302121055,51.4743921365753,46.8701500258665,49.4050698396275,44.2834971546818,45.4733574754268
"68","Acasta_echinata",39.2561983471074,48.0371900826446,41.7355371900826,40.599173553719,44.5247933884297,38.3264462809917
"69","Acasta_fenestrata",44.4897959183673,50.4489795918367,45.8775510204082,44.1632653061225,47.3469387755102,42.9387755102041
"70","Acasta_japonica",37.6727272727273,48.0727272727273,41.7454545454545,40,43.8545454545455,38.8363636363636
"71","Acasta_purpurata",59.9640933572711,54.3985637342908,51.3464991023339,50.9874326750449,56.5529622980251,45.2423698384201
"72","Acaudina_molpadioides",41.2563667232598,49.0662139219015,41.9354838709677,40.8319185059423,44.1426146010187,38.1154499151104
"73","Accalathura_themeda",53.3864541832669,58.5657370517928,56.5737051792829,60.9561752988048,63.7450199203187,54.9800796812749
"74","Acentrogobius_janthinopterus",45.5776173285199,51.3537906137184,45.3068592057762,44.2238267148014,48.826714801444,42.5992779783394
"75","Acentrogobius_moloanus",45.9684893419833,51.3438368860056,44.578313253012,43.5588507877665,48.8415199258573,41.7052826691381
"76","Acentrogobius_nebulosus",43.4917355371901,47.7272727272727,44.3181818181818,41.5289256198347,48.9669421487603,38.9462809917355
"77","Acentrogobius_suluensis",44.0129449838188,52.1035598705502,46.38619201726,44.5523193096009,47.0334412081985,43.042071197411
"78","Acentronura_breviperula",44.4940476190476,48.9583333333333,45.610119047619,45.0892857142857,47.5446428571429,42.8571428571429
"79","Acesta_rathbuni",40.6197654941374,49.1624790619765,41.2897822445561,40.8710217755444,43.9698492462312,38.4422110552764
"80","Achaeus_curvirostris",42.0828905419766,50.2656748140276,43.4643995749203,42.0828905419766,44.6333687566419,38.5759829968119
"81","Achaeus_lacertosus",46.25,52.0833333333333,45.4166666666667,43.3333333333333,49.6875,40.9375
"82","Achelia_assimilis",39.1304347826087,51.8740629685157,46.1769115442279,44.127936031984,46.0769615192404,43.6781609195402
"83","Achelia_besnardi",45.3189726594863,49.8757249378625,47.3073736536868,45.8989229494615,46.7274233637117,42.9991714995857
"84","Achelia_nana",43.9172749391727,47.992700729927,46.0462287104623,42.4574209245742,46.1678832116788,41.301703163017
"85","Achelia_sawayai",43.6664885088188,50.7215392838054,46.6060929983966,48.4767504008552,45.8043826830572,45.0561197220738
"86","Aciculites_orientalis",48.7704918032787,47.7459016393443,52.9713114754098,49.8975409836066,52.0491803278688,48.9754098360656
"87","Aciculites_tulearensis",42.8952042628774,49.2895204262877,42.3623445825933,41.1190053285968,45.1154529307282,38.5435168738899
"88","Acoetes_pacifica",50.7692307692308,69.5384615384615,58.1538461538462,63.6923076923077,52.9230769230769,56.9230769230769
"89","Acreichthys_radiatus",45.5255681818182,48.4375,45.5965909090909,45.5255681818182,47.8693181818182,42.96875
"90","Acreichthys_tomentosus",44.2035815268614,49.8586239396795,46.0885956644675,43.9208294062205,47.502356267672,42.9783223374175
"91","Acrocalanus_gibber",37.2281234193222,48.457258472433,43.2979261507334,41.1734951947395,43.7531613555893,40.8700050581689
"92","Acropoma_japonicum",40.8646003262643,50.5709624796085,43.8825448613377,41.5986949429038,46.7373572593801,40.5383360522023
"93","Acropoma_lecorneti",49.685204616999,44.0713536201469,34.2077649527807,38.9296956977964,40.6086044071354,41.8153200419727
"94","Acropora_abrotanoides",45.675355450237,51.718009478673,47.4526066350711,48.4597156398104,47.6303317535545,45.1421800947867
"95","Acropora_aculeus",45.2445652173913,48.2336956521739,45.7201086956522,44.9048913043478,47.8940217391304,42.866847826087
"96","Acropora_anthocercis",47.1223021582734,49.568345323741,45.8992805755396,44.8201438848921,48.7769784172662,42.6618705035971
"97","Acropora_aspera",43.9333333333333,48.2,44.7333333333333,44.5333333333333,46.1333333333333,42.6
"98","Acropora_austera",44.6026097271649,50.8896797153025,47.3309608540925,47.508896797153,47.7461447212337,44.6026097271649
"99","Acropora_carduus",44.8424953675108,51.5132798023471,47.0043236565781,47.2513897467573,47.8072884496603,43.5453983940704
"100","Acropora_cerealis",46.6933867735471,49.0981963927856,45.8917835671343,46.0253841015364,47.7621910487642,43.5537742150969
"101","Acropora_chesterfieldensis",50.8384819064431,50.1323918799647,46.954986760812,48.7202118270079,51.1032656663725,44.6601941747573
"102","Acropora_clathrata",45.0277949351452,51.9456454601606,47.5602223594812,47.6837554045707,48.1161210623842,44.5954292773317
"103","Acropora_cytherea",45.8087367178276,51.5348288075561,47.4025974025974,48.2290436835891,47.7567886658796,44.9232585596222
"104","Acropora_danai",46.5303593556382,51.9826517967782,48.636926889715,47.9553903345725,48.9467162329616,44.6716232961586
"105","Acropora_dendrum",46.2519936204147,48.3253588516746,44.896331738437,43.7001594896332,48.0861244019139,41.6267942583732
"106","Acropora_digitifera",44.7716346153846,50.9014423076923,47.4158653846154,47.5961538461538,48.2572115384615,44.5913461538462
"107","Acropora_divaricata",45.446735395189,50.8591065292096,46.3058419243986,44.3298969072165,48.0240549828179,43.298969072165
"108","Acropora_donei",46.1598746081505,49.8432601880878,46.2382445141066,45.3761755485893,48.7460815047022,43.4169278996865
"109","Acropora_echinata",44.9152542372881,49.9152542372881,46.5254237288136,45.6779661016949,47.5423728813559,44.1525423728814
"110","Acropora_efflorescens",44.4061962134251,50.2581755593804,46.1273666092943,44.2340791738382,47.5903614457831,43.2874354561102
"111","Acropora_elseyi",44.7080291970803,51.5206812652068,47.323600973236,48.0535279805353,47.8710462287105,44.647201946472
"112","Acropora_exquisita",45.4268292682927,48.4756097560976,45.4268292682927,45.1219512195122,46.6463414634146,42.530487804878
"113","Acropora_florida",44.822373393802,48.8284202569917,45.578231292517,45.124716553288,48.2237339380197,43.0839002267574
"114","Acropora_formosa",44.8955223880597,50.9850746268657,47.044776119403,47.9402985074627,47.7014925373134,44.4179104477612
