"","feature","percentile_tos_245","percentile_tos_126","imptfeature_velocity_585","imptfeature_o2os_585","imptfeature_phos_585","imptfeature_tos_585","penalty_velocity_585","penalty_o2os_585","penalty_phos_585","penalty_tos_585","feature_velocity_585","feature_o2os_585","feature_phos_585","feature_tos_585","percentile_velocity_585","percentile_o2os_585","percentile_phos_585","percentile_tos_585","uninformed"
"1","Abalistes_filamentosus",90.4290429042904,93.3993399339934,100,100,100,100,52.1387283236994,50.0578034682081,46.7052023121387,50.7514450867052,51.9075144508671,53.8728323699422,55.028901734104,51.3294797687861,47.3597359735974,47.6897689768977,47.6897689768977,47.029702970297,51.2138728323699
"2","Abalistes_stellaris",91.6417910447761,94.9253731343284,100,100,100,100,44.258872651357,42.4843423799582,47.4947807933194,41.9624217118998,48.8517745302714,49.7912317327766,51.2526096033403,47.9123173277662,46.3443396226415,46.1194029850746,43.4328358208955,45.3731343283582,46.2421711899791
"3","Abdopus_abaculus",95.2755905511811,99.2125984251969,100,100,100,100,58.5635359116022,55.8011049723757,52.2099447513812,61.6022099447514,63.8121546961326,62.707182320442,61.3259668508287,62.1546961325967,49.6062992125984,48.8188976377953,49.6062992125984,48.4251968503937,57.4585635359116
"4","Abietinaria_immersa",99.1803278688525,97.5409836065574,100,100,100,100,47.8510028653295,59.3123209169054,42.4068767908309,52.4355300859599,37.5358166189112,40.1146131805158,38.9684813753582,34.6704871060172,43.8524590163934,48.3606557377049,50,48.3606557377049,36.676217765043
"5","Ablennes_hians",89.9728997289973,92.6829268292683,100,100,100,100,44.6445497630332,40.7582938388626,42.1800947867299,40,44.4549763033175,44.8341232227488,45.0236966824645,42.5592417061611,46.6124661246612,44.3089430894309,43.0894308943089,43.9024390243902,41.4218009478673
"6","Abralia_andamanica",89.945652173913,94.2934782608696,100,100,100,100,42.2857142857143,40.5714285714286,46.3809523809524,40.4761904761905,48.1904761904762,48.952380952381,50.5714285714286,47.4285714285714,45.6340956340956,46.0597826086957,43.75,44.9728260869565,45.8095238095238
"7","Abralia_astrosticta",86.7491166077738,91.5194346289753,100,100,100,100,48.1435643564356,43.6881188118812,40.6559405940594,45.4207920792079,47.2772277227723,46.5346534653465,47.1534653465347,46.5965346534653,46.0247349823322,47.0848056537102,48.1020942408377,43.6395759717314,45.4207920792079
"8","Abraliopsis_hoylei",86.576354679803,91.1330049261084,100,100,100,100,40.7503234152652,38.3786114704614,39.4566623544631,39.8016386373437,44.7606727037516,46.4424320827943,45.7524795170332,45.4506252695127,45.935960591133,45.7512315270936,43.9655172413793,43.2266009852217,44.0275981026304
"9","Abudefduf_septemfasciatus",89.5184135977337,92.3512747875354,100,100,100,100,45.0396825396825,40.3769841269841,43.0555555555556,40.1785714285714,44.047619047619,45.4365079365079,45.734126984127,42.6587301587302,46.8838526912181,44.6175637393768,43.2011331444759,43.6260623229462,41.5674603174603
"10","Abudefduf_sexfasciatus",89.2773892773893,93.2400932400932,100,100,100,100,43.0204081632653,43.0204081632653,44.6530612244898,41.1428571428571,44.8979591836735,46.8571428571429,48.2448979591837,44,47.6689976689977,45.1048951048951,43.2400932400932,43.8228438228438,43.1020408163265
"11","Abudefduf_sordidus",89.8907103825137,92.896174863388,100,100,100,100,44.8275862068966,40.8045977011494,42.2413793103448,40.3256704980843,44.2528735632184,44.9233716475096,45.4022988505747,42.72030651341,46.5846994535519,44.2622950819672,43.0327868852459,43.8524590163934,41.6666666666667
"12","Abudefduf_vaigiensis",89.6860986547085,93.4977578475336,100,100,100,100,43.0588235294118,42.8235294117647,44.078431372549,41.0980392156863,45.0980392156863,46.3529411764706,47.6862745098039,44,47.3094170403587,44.9551569506726,43.2735426008969,44.0582959641256,42.9019607843137
"13","Abyla_haeckeli",89.5220588235294,92.8308823529412,100,100,100,100,40.4118404118404,40.9266409266409,42.4066924066924,38.996138996139,45.1737451737452,46.010296010296,47.4259974259974,44.8519948519949,46.5047393364929,45.4044117647059,43.4742647058824,44.4852941176471,43.5649935649936
"14","Abylopsis_eschscholtzi",89.6353166986564,93.2821497120921,100,100,100,100,41.2239408204438,41.8291862811029,43.3086751849361,39.8789509078682,45.7296570275723,46.2004034969738,48.1506388702085,44.9899125756557,46.4547677261614,45.3934740882917,43.6660268714012,44.2418426103647,43.7794216543376
"15","Abylopsis_tetragona",89.5635673624288,92.5996204933586,100,100,100,100,42.4966799468791,42.7622841965471,44.3559096945551,41.2350597609562,46.1487383798141,45.5511288180611,47.0119521912351,44.8871181938911,47.0588235294118,45.4459203036053,45.6356736242884,44.3074003795066,43.3598937583001
"16","Acalyptophis_peronii",92.4778761061947,93.3628318584071,100,100,100,100,39.5348837209302,41.0852713178295,48.2170542635659,38.7596899224806,51.937984496124,52.4031007751938,52.2480620155039,50.2325581395349,48.0842911877395,44.4690265486726,43.5840707964602,46.9026548672566,48.062015503876
"17","Acanthanas_pusillus",90,94.3243243243243,100,100,100,100,40.2081362346263,36.7076631977294,41.6272469252602,36.0454115421003,48.0605487228004,46.7360454115421,48.6281929990539,47.682119205298,46.8543046357616,44.4594594594595,44.0540540540541,45.8108108108108,44.6546830652791
"18","Acanthaster_planci",89.5833333333333,92.7083333333333,100,100,100,100,42.0131291028446,41.7213712618527,42.8154631655726,40.2625820568928,45.1495258935084,45.8789204959883,47.7024070021882,44.2742523705325,47.0833333333333,45.1041666666667,43.2291666666667,44.2708333333333,42.9613420860686
"19","Acanthastrea_echinata",88.6917960088692,93.3481152993348,100,100,100,100,42.5135764158262,42.5135764158262,43.677269200931,40.6516679596587,45.1512800620636,46.5477114041893,47.711404189294,43.8324282389449,47.450110864745,45.1219512195122,43.2372505543237,43.9024390243902,43.1342125678821
"20","Acanthastrea_ishigakiensis",89.247311827957,94.0860215053764,100,100,100,100,43.7323279924599,43.6380772855796,45.1460885956645,41.564561734213,47.8793590951932,49.6701225259189,50.4241281809614,46.6540999057493,47.8494623655914,45.9677419354839,43.4139784946237,43.9516129032258,45.5230914231857
"21","Acanthaxius_miyazakiensis",90.4040404040404,93.9393939393939,100,100,100,100,42.5663716814159,44.2477876106195,46.3716814159292,42.1238938053097,49.9115044247788,51.1504424778761,52.4778761061947,49.0265486725664,47.2943722943723,46.2121212121212,43.4343434343434,45.5808080808081,48.5840707964602
"22","Acanthaxius_spinosissimus",92.72030651341,94.6360153256705,100,100,100,100,45.2956989247312,42.8763440860215,46.1021505376344,41.9354838709677,50.2688172043011,50.1344086021505,51.6129032258064,50.2688172043011,47.8747203579418,45.0191570881226,46.7432950191571,46.9348659003831,47.9838709677419
"23","Acanthella_cavernosa",90.6705539358601,94.1690962099125,100,100,100,100,45.1481103166496,44.6373850868233,46.9867211440245,42.5944841675179,48.6210418794688,50.1532175689479,50.4596527068437,46.6802860061287,47.8134110787172,46.3556851311953,43.731778425656,44.3148688046647,45.9652706843718
"24","Acanthella_costata",90.4166666666667,91.6666666666667,100,100,100,100,57.5182481751825,49.3430656934307,47.007299270073,52.7007299270073,52.1167883211679,52.5547445255474,53.5766423357664,51.5328467153285,47.2916666666667,48.3333333333333,47.9166666666667,45.625,49.0510948905109
"25","Acanthephyra_eximia",87.9776101241178,87.296179119007,100,100,100,100,31.6466479257177,32.8818468353352,30.9992333248147,33.1288866172587,39.0663599965926,39.0067297044041,39.0152483175739,39.9778516057586,44.0009734728644,44.7189097103918,45.52791492594,43.526405451448,39.3815486838743
"26","Acanthephyra_quadrispinosa",91.7134831460674,91.8539325842697,100,100,100,100,38.5636989670438,40.482046237088,47.9094933595671,41.711756025578,52.1396950319725,53.0742744712248,52.7791441219872,51.7461878996557,47.6863753213368,48.1741573033708,44.0308988764045,47.8230337078652,51.4510575504181
"27","Acanthephyra_smithi",85.8451102317694,87.0661390616167,100,100,100,100,32.5524337158686,32.406015037594,30.0356153541749,32.5128611001187,30.0870597546498,30.4234269885239,30.0831024930748,30.5263157894737,43.3804409270774,44.2453363482193,43.8835500282646,44.4149236856981,30.4907004352988
